שם מלא/שם עסק,קטגוריה,תת-התמחות,עיר,טלפון,אתר,אימייל פומבי,מספר רישיון/הסמכה,מקור המידע (URL),מקור רישוי/הסמכה (URL),תאריך בדיקה,סטטוס אימות/הערה
"ד""ר רון קדם-גירושים, חישובים, אקטוארים",אקטוארים לאיזון משאבים,איזון משאבים/זכויות פנסיוניות,הוד השרון,072-3267135,,,,https://www.d.co.il/80343580/3660/,https://www.gov.il/he/pages/experts_lists,2026-07-19,הספק מפרסם שירות אקטוארי; התאמה לתיק משפחה ואישור מקצועי יש לאמת מול הספק
ליוביץ אבישי,אקטוארים לאיזון משאבים,חישובים וחוות דעת אקטואריות,תל אביב,03-6415939,,,,https://www.d.co.il/10136970/3660/,https://www.gov.il/he/pages/experts_lists,2026-07-19,הספק מפרסם שירות אקטוארי; התאמה לתיק משפחה ואישור מקצועי יש לאמת מול הספק
בר-אור אבי,אקטוארים לאיזון משאבים,חישובים וחוות דעת אקטואריות,תל אביב,03-6422180,,,,https://www.d.co.il/6654300/3660/,https://www.gov.il/he/pages/experts_lists,2026-07-19,הספק מפרסם שירות אקטוארי; התאמה לתיק משפחה ואישור מקצועי יש לאמת מול הספק
משה טריקה - שירותי אקטואריה,אקטוארים לאיזון משאבים,חישובים וחוות דעת אקטואריות,חיפה,054-3255790,,,,https://www.d.co.il/80152358/3660/,https://www.gov.il/he/pages/experts_lists,2026-07-19,הספק מפרסם שירות אקטוארי; התאמה לתיק משפחה ואישור מקצועי יש לאמת מול הספק
"יעוץ לי בע""מ",אקטוארים לאיזון משאבים,חישובים וחוות דעת אקטואריות,תל אביב,03-6914611,,,,https://www.d.co.il/35828480/3660/,https://www.gov.il/he/pages/experts_lists,2026-07-19,הספק מפרסם שירות אקטוארי; התאמה לתיק משפחה ואישור מקצועי יש לאמת מול הספק
קופר אלי,אקטוארים לאיזון משאבים,חישובים וחוות דעת אקטואריות,פתח תקווה,03-9231220,,,,https://www.d.co.il/2272800/3660/,https://www.gov.il/he/pages/experts_lists,2026-07-19,הספק מפרסם שירות אקטוארי; התאמה לתיק משפחה ואישור מקצועי יש לאמת מול הספק
איציק אמזלג ייעוץ כלכלי גירושין,אקטוארים לאיזון משאבים,איזון משאבים/זכויות פנסיוניות,תל אביב,054-8667786,,,,https://www.d.co.il/80284952/3660/,https://www.gov.il/he/pages/experts_lists,2026-07-19,הספק מפרסם שירות אקטוארי; התאמה לתיק משפחה ואישור מקצועי יש לאמת מול הספק
"ג.אליגון בע""מ",אקטוארים לאיזון משאבים,חישובים וחוות דעת אקטואריות,רמת גן,03-6149500,,,,https://www.d.co.il/4637520/3660/,https://www.gov.il/he/pages/experts_lists,2026-07-19,הספק מפרסם שירות אקטוארי; התאמה לתיק משפחה ואישור מקצועי יש לאמת מול הספק
ויסברג אליאור - אקטואר,אקטוארים לאיזון משאבים,חישובים וחוות דעת אקטואריות,הרצליה,09-8626680,,,,https://www.d.co.il/66507660/3660/,https://www.gov.il/he/pages/experts_lists,2026-07-19,הספק מפרסם שירות אקטוארי; התאמה לתיק משפחה ואישור מקצועי יש לאמת מול הספק
"אלן דובין פ.ס.א בע""מ",אקטוארים לאיזון משאבים,חישובים וחוות דעת אקטואריות,ירושלים,02-6519034,,,,https://www.d.co.il/80173423/3660/,https://www.gov.il/he/pages/experts_lists,2026-07-19,הספק מפרסם שירות אקטוארי; התאמה לתיק משפחה ואישור מקצועי יש לאמת מול הספק
טאטי דניאל,אקטוארים לאיזון משאבים,חישובים וחוות דעת אקטואריות,ירושלים,02-6404618,,,,https://www.d.co.il/62224910/3660/,https://www.gov.il/he/pages/experts_lists,2026-07-19,הספק מפרסם שירות אקטוארי; התאמה לתיק משפחה ואישור מקצועי יש לאמת מול הספק
כהנא פרופ' יהודה,אקטוארים לאיזון משאבים,חישובים וחוות דעת אקטואריות,הרצליה,09-9586357,,,,https://www.d.co.il/20273570/3660/,https://www.gov.il/he/pages/experts_lists,2026-07-19,הספק מפרסם שירות אקטוארי; התאמה לתיק משפחה ואישור מקצועי יש לאמת מול הספק
אורזיצר ישעיהו,אקטוארים לאיזון משאבים,חישובים וחוות דעת אקטואריות,רמת גן,03-6114139,,,,https://www.d.co.il/14806640/3660/,https://www.gov.il/he/pages/experts_lists,2026-07-19,הספק מפרסם שירות אקטוארי; התאמה לתיק משפחה ואישור מקצועי יש לאמת מול הספק
