unit_id,draft_post_id,draft_slug,target_url,primary_query,words,todo_verify
U01,21708,raw-wave1-u01,/medical-malpractice-in-the-united-states/,"עו""ד רשלנות רפואית בארצות הברית",952,0
U02,21709,raw-wave1-u02,/malpractice-cerebral-palsy/,איך להגיש תביעת רשלנות רפואית בלידה,1073,8
U03,21710,raw-wave1-u03,/what-is-medical-malpractice-definition-examples/,הוכחת רשלנות רפואית,966,5
U04,21711,raw-wave1-u04,/medical-malpractice-common-errors-doctors-hospitals/,רשלנות רפואית: שגיאות נפוצות של רופאים ובתי חולים,674,0
U05,21712,raw-wave1-u05,/anesthesia-medical-malpractice/,"רשלנות ברדמה (אנסתזיה): פיצויים, התעוררות בניתוח",716,1
U06,21713,raw-wave1-u06,/decision50014-01-19/,השופטת יעל ייטב: החלטה בדבר מינוי מומחה מטעם בית,503,13
U07,21714,raw-wave1-u07,/medical-malpractice-surgery/,"רשלנות בניתוח: סוגים, פיצויים ואיך מוכיחים",775,4
U08,21715,raw-wave1-u08,/decision55016-06-17a/,"השופטת אורית ליפשיץ: פס""ד בתביעת רשלנות רפואית",398,12
U09,21716,raw-wave1-u09,/medical-malpractice-lawyer-birth-recommended/,עורך דין רשלנות רפואית בלידה מומלץ,724,1
U10,21717,raw-wave1-u10,/medical-malpractice-lawyers-law-medical-israel/,עורכי דין מובילים בתחום רשלנות רפואית בעולם,826,3
U11,21718,raw-wave1-u11,/decision39696-06-16/,"פיצוי של 4,330,162 ₪ בגין רשלנות רפואית בטיפול",391,11
U12,21719,raw-wave1-u12,/רשלנות-רפואית-באבחון-אבחנה-שגויה-ומאו/,רשלנות רפואית באבחון: אבחנה שגויה ומאוחרת: פיצויים,714,5
U13,21720,raw-wave1-u13,/klumpke-paralysis/,רשלנות רפואית בלידה: מה זה שיתוק קלומקה?,761,9
U14,21721,raw-wave1-u14,/birth-injury/,"רשלנות רפואית בלידה: פיצויים, שיתוק מוחין ותביעה",712,7
U15,21722,raw-wave1-u15,/birth-injury-lawyer/,עורך דין לפגיעות לידה,646,1
U16,21723,raw-wave1-u16,/medical-malpractice-pregnancy-birth/,רשלנות רפואית במהלך הריון ולידה רשימת דברים שכדאי,752,5
U17,21724,raw-wave1-u17,/medical-malpractice-israel-medical/,מקרי רשלנות רפואית בישראל,638,4
U18,21725,raw-wave1-u18,/medical-malpractice-lawyer-lawsuit-surgery-medical/,תביעת רשלנות רפואית בניתוח,818,7
U19,21726,raw-wave1-u19,/10918-10-19/,"פס""ד בתביעת הורי תינוקת שנפטרה בגין רשלנות רפואית",334,10
U20,21727,raw-wave1-u20,/medical-malpractice-lawsuit-pregnancy-20346-03-17/,דחיית תביעה רשלנות רפואית הריון שהובילה לפטירתה של,368,10
U21,21728,raw-wave1-u21,/medical-malpractice-attorney/,שכר טרחה עורך דין רשלנות רפואית,711,7
U22,21729,raw-wave1-u22,/medical-malpractice-law/,דיני נזיקין רשלנות רפואית,698,8
U23,21730,raw-wave1-u23,/brain-damage-at-birth/,נזק מוחי בלידה,732,7
U24,21731,raw-wave1-u24,/medical-malpractice-judge-decision-lawsuit-4392-03-23/,השופטת אירית קלמן ברום: החלטה בתביעה בגין התיישנות,393,9
U25,21732,raw-wave1-u25,/medical-malpractice-statistics/,נתוני רשלנות רפואית בישראל 2026,707,8
U26,21733,raw-wave1-u26,/התיישנות-רשלנות-רפואית/,רשלנות רפואית התיישנות,969,9
U27,21734,raw-wave1-u27,/פיצויים-רשלנות-רפואית/,פיצויים ברשלנות רפואית,842,3
U28,21735,raw-wave1-u28,/אחוזי-נכות-פיצויים-רשלנות-רפואית/,אחוזי נכות ופיצויים רשלנות רפואית,878,4
U29,21736,raw-wave1-u29,/רשלנות-רפואית-שיניים/,רשלנות רפואית שיניים,843,4
U30,21737,raw-wave1-u30,/הסכם-פשרה-רשלנות-רפואית/,הסכם פשרה רשלנות רפואית,827,4
