group,path,mapped_target,role_or_topic,live_or_route_status,gsc_clicks,gsc_impressions,gsc_position,metric_source,risk,proposed_action,required_before_action,blocked_actions,status
medical_primary_target,/medical-malpractice-lawyer/,REST ID 11607; REST ID 1130; fee article; birth/pregnancy page,clean commercial pillar candidate,DUPLICATE_IDENTITY_REVIEW_THEN_COMPARE,0,0,,NO_BASELINE_GSC_SIGNAL,PROTECTED_REVIEW,DUPLICATE_IDENTITY_REVIEW_THEN_CURRENT_URL_UPDATE_ONLY_AFTER_OWNER_APPROVAL,resolve_duplicate_cms_identity; focused_gsc_export; owner_legal_source_approval; wordpress_editor_database_backup,cms_upload; slug_change; redirect; canonical_change; noindex; sitemap_change; taxonomy_change; public_internal_link_write,NOT_FINAL_BASELINE_PENDING_FOCUSED_GSC_EXPORT
medical_protected_support,/medical-malpractice-in-the-united-states/,Israeli medical-malpractice pillar,US malpractice article,SEPARATE_INTERNATIONAL_CONTEXT,0,0,,NO_BASELINE_GSC_SIGNAL,UNKNOWN_NEEDS_GSC,KEEP_SEPARATE_INTERNATIONAL_CONTEXT_DO_NOT_MERGE_INTO_ISRAELI_SERVICE_HUB,focused_gsc_export; owner_approval; source_legal_privacy_review; anti_cannibalization_role_decision,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,NOT_FINAL_BASELINE_PENDING_FOCUSED_GSC_EXPORT
medical_protected_support,/anesthesia-medical-malpractice/,/medical-malpractice-lawyer/; surgery support,anesthesia support page,KEEP_SUPPORT_SOURCE_REVIEW,0,0,,NO_BASELINE_GSC_SIGNAL,UNKNOWN_NEEDS_GSC,KEEP_LIVE_REVIEW_ROLE_BEFORE_UPLOAD_OR_LINK_CHANGE,focused_gsc_export; owner_approval; source_legal_privacy_review; anti_cannibalization_role_decision,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,NOT_FINAL_BASELINE_PENDING_FOCUSED_GSC_EXPORT
medical_protected_support,/personal-injury/medical-malpractice/surgery/,/medical-malpractice-lawyer/; surgical-errors page,nested surgery support page,REVIEW_NESTED_URL_AND_SUPPORT_ROLE,0,0,,NO_BASELINE_GSC_SIGNAL,UNKNOWN_NEEDS_GSC,KEEP_LIVE_REVIEW_ROLE_BEFORE_UPLOAD_OR_LINK_CHANGE,focused_gsc_export; owner_approval; source_legal_privacy_review; anti_cannibalization_role_decision,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,NOT_FINAL_BASELINE_PENDING_FOCUSED_GSC_EXPORT
medical_protected_support,/surgical-errors-medical-malpractice/,/medical-malpractice-lawyer/; anesthesia page,thin surgery support page,EXPAND_AFTER_SOURCE_REVIEW,0,0,,NO_BASELINE_GSC_SIGNAL,UNKNOWN_NEEDS_GSC,KEEP_LIVE_REVIEW_ROLE_BEFORE_UPLOAD_OR_LINK_CHANGE,focused_gsc_export; owner_approval; source_legal_privacy_review; anti_cannibalization_role_decision,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,NOT_FINAL_BASELINE_PENDING_FOCUSED_GSC_EXPORT
medical_protected_support,/medical-malpractice-vs-negligence-differences-israel/,/medical-malpractice-lawyer/; definition page,definition/comparison support,KEEP_INFORMATIONAL_SUPPORT,0,0,,NO_BASELINE_GSC_SIGNAL,UNKNOWN_NEEDS_GSC,KEEP_LIVE_REVIEW_ROLE_BEFORE_UPLOAD_OR_LINK_CHANGE,focused_gsc_export; owner_approval; source_legal_privacy_review; anti_cannibalization_role_decision,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,NOT_FINAL_BASELINE_PENDING_FOCUSED_GSC_EXPORT
medical_protected_support,/what-is-medical-malpractice-definition-examples/,/medical-malpractice-lawyer/,definition/examples page,KEEP_INFORMATIONAL_SUPPORT,0,0,,NO_BASELINE_GSC_SIGNAL,PROTECTED_REVIEW,KEEP_LIVE_REVIEW_ROLE_BEFORE_UPLOAD_OR_LINK_CHANGE,focused_gsc_export; owner_approval; source_legal_privacy_review; anti_cannibalization_role_decision,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,NOT_FINAL_BASELINE_PENDING_FOCUSED_GSC_EXPORT
medical_protected_support,/medical-malpractice-common-errors-doctors-hospitals/,/medical-malpractice-lawyer/; definition page,thin common-errors support,EXPAND_AFTER_SOURCE_REVIEW,0,0,,NO_BASELINE_GSC_SIGNAL,UNKNOWN_NEEDS_GSC,KEEP_LIVE_REVIEW_ROLE_BEFORE_UPLOAD_OR_LINK_CHANGE,focused_gsc_export; owner_approval; source_legal_privacy_review; anti_cannibalization_role_decision,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,NOT_FINAL_BASELINE_PENDING_FOCUSED_GSC_EXPORT
medical_protected_support,/birth-injury/,/medical-malpractice-lawyer/; old birth/pregnancy page,birth injury support,KEEP_SUPPORT_COMPARE,0,0,,NO_BASELINE_GSC_SIGNAL,PROTECTED_REVIEW,KEEP_LIVE_REVIEW_ROLE_BEFORE_UPLOAD_OR_LINK_CHANGE,focused_gsc_export; owner_approval; source_legal_privacy_review; anti_cannibalization_role_decision,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,NOT_FINAL_BASELINE_PENDING_FOCUSED_GSC_EXPORT
medical_protected_support,/birth-injury-lawyer/,/birth-injury/; future birth-malpractice slug,birth injury lawyer support,KEEP_SUPPORT_COMPARE,0,0,,NO_BASELINE_GSC_SIGNAL,PROTECTED_REVIEW,KEEP_LIVE_REVIEW_ROLE_BEFORE_UPLOAD_OR_LINK_CHANGE,focused_gsc_export; owner_approval; source_legal_privacy_review; anti_cannibalization_role_decision,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,NOT_FINAL_BASELINE_PENDING_FOCUSED_GSC_EXPORT
medical_protected_support,/birth-injury-causes/,/birth-injury/,thin birth-injury causes page,MERGE_OR_EXPAND_AFTER_REVIEW,0,0,,NO_BASELINE_GSC_SIGNAL,PROTECTED_REVIEW,KEEP_LIVE_REVIEW_ROLE_BEFORE_UPLOAD_OR_LINK_CHANGE,focused_gsc_export; owner_approval; source_legal_privacy_review; anti_cannibalization_role_decision,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,NOT_FINAL_BASELINE_PENDING_FOCUSED_GSC_EXPORT
medical_protected_support,/brain-damage-at-birth/,/birth-injury/; old birth/pregnancy page,brain damage at birth support,KEEP_SUPPORT_SOURCE_REVIEW,0,0,,NO_BASELINE_GSC_SIGNAL,PROTECTED_REVIEW,KEEP_LIVE_REVIEW_ROLE_BEFORE_UPLOAD_OR_LINK_CHANGE,focused_gsc_export; owner_approval; source_legal_privacy_review; anti_cannibalization_role_decision,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,NOT_FINAL_BASELINE_PENDING_FOCUSED_GSC_EXPORT
