route,date_range,query,clicks,impressions,ctr,position,intent_bucket,owner_note
/national-insurance-attorney/,last_3_months,PASTE_QUERY_01,,,,,unknown,
/national-insurance-attorney/,last_3_months,PASTE_QUERY_02,,,,,unknown,
/national-insurance-attorney/,last_3_months,PASTE_QUERY_03,,,,,unknown,
/national-insurance-attorney/,last_3_months,PASTE_QUERY_04,,,,,unknown,
/national-insurance-attorney/,last_3_months,PASTE_QUERY_05,,,,,unknown,
/national-insurance-attorney/,last_16_months,PASTE_QUERY_06,,,,,unknown,
/national-insurance-attorney/,last_16_months,PASTE_QUERY_07,,,,,unknown,
/national-insurance-attorney/,last_16_months,PASTE_QUERY_08,,,,,unknown,
/bituach-leumi-appeal-guide/,last_3_months,PASTE_QUERY_01,,,,,unknown,
/bituach-leumi-appeal-guide/,last_3_months,PASTE_QUERY_02,,,,,unknown,
/bituach-leumi-appeal-guide/,last_3_months,PASTE_QUERY_03,,,,,unknown,
/bituach-leumi-appeal-guide/,last_3_months,PASTE_QUERY_04,,,,,unknown,
/bituach-leumi-appeal-guide/,last_3_months,PASTE_QUERY_05,,,,,unknown,
/bituach-leumi-appeal-guide/,last_16_months,PASTE_QUERY_06,,,,,unknown,
/bituach-leumi-appeal-guide/,last_16_months,PASTE_QUERY_07,,,,,unknown,
/bituach-leumi-appeal-guide/,last_16_months,PASTE_QUERY_08,,,,,unknown,
