section,claim_or_content_need,source_type,source_url,verification_status,publication_action,notes
הסדרי שהות בבית הדין הרבני,בקשה לקביעת הסדרי שהות לילדים מוגשת כדי להכריע בחלוקת זמני השהות לטובת הילדים,official_gov,https://www.gov.il/he/service/stay-arrangements,PARTIAL_SEARCH_VERIFIED,VERIFY_BEFORE_PUBLICATION,"Search result on 2026-05-10 includes direct language about חלוקת זמני השהות לטובת הילדים. Direct PowerShell request returned 403; verify in browser before final citation."
תביעה בסכסוך משפחתי,תביעה בענייני ילדים/הסדרי ראייה מוגשת לאחר הליך יישוב סכסוך כאשר אין הסכמה,official_gov,https://www.gov.il/he/service/filing-lawsuit-family-dispute,PARTIAL_SEARCH_VERIFIED,VERIFY_BEFORE_PUBLICATION,"Search result confirms filing claim after dispute-resolution process and lists arrangements for time with children/visitation. gov.il direct checks returned 403."
יישוב סכסוך,הליך יישוב סכסוך חל גם על מחלוקות בין הורים וילדים וכולל מזונות רכוש והסדרי ראייה,official_gov,https://www.gov.il/he/service/asking_for_family_dispute_settlements,PARTIAL_SEARCH_VERIFIED,VERIFY_BEFORE_PUBLICATION,"Search snippet includes family disputes, arrangements and urgent child-contact preservation. Confirm current terms in browser."
סעד זמני בסכסוך משפחתי,סעד זמני יכול לשמור מצב קיים או למנוע נזק during dispute-resolution period including exit-prevention contexts,official_gov,https://www.gov.il/he/service/asking_for_prohibited_steps_order,PARTIAL_SEARCH_VERIFIED,VERIFY_BEFORE_PUBLICATION,"Search result on 2026-05-10 confirms preservation/status quo and preventing departure. Use for urgent-situation section only after browser verification."
יחידות הסיוע,יחידות הסיוע מסייעות למשפחות במשבר ולטיפול בסכסוכים סביב יחסי הורים-ילדים זמני שהות משמורת וחינוך,official_gov,https://www.gov.il/he/Departments/units/molsa-court-assiatance-units,PARTIAL_SEARCH_VERIFIED,VERIFY_BEFORE_PUBLICATION,"Search result identifies 37 units and their role in reducing escalation while preserving child/family welfare. Direct check returned 403."
סיוע משפטי,Legal aid may cover family/children/violence/emergency-related proceedings subject to eligibility,official_gov,https://www.gov.il/he/service/legal_aid_application,PARTIAL_SEARCH_VERIFIED,VERIFY_BEFORE_PUBLICATION,"Use only for access-to-help context; do not advise eligibility or guarantee representation."
עובד סוציאלי לסדרי דין,Family courts may refer parenting-time/custody disputes to professional welfare reports or recommendations,municipal_reference,https://www.tel-aviv.gov.il/Residents/HealthAndSocial/Pages/CrisisCare.aspx,PARTIAL_SEARCH_VERIFIED,VERIFY_BEFORE_PUBLICATION,"Municipal page appeared in search and describes court referrals for social-work reports in custody/time-sharing disputes. Prefer official welfare/court source if found."
חזקת הגיל הרך,Article mentions סעיף 25 and children under 6; exact legal framing must be reviewed,statutory_legal_review_required,,NOT_VERIFIED,LAWYER_REVIEW_REQUIRED,"Do not publish simplified rule. Need statutory text/current case-law review by family lawyer."
טובת הילד,Article describes best-interest factors such as stability safety relationship age needs and parental cooperation,legal_review_required,,NOT_VERIFIED,LAWYER_REVIEW_REQUIRED,"Principle is central but factor list and phrasing must be lawyer-approved and preferably sourced to statute/case law."
משמורת מול זמני שהות,Article says public searches still use משמורת while professional/legal language increasingly uses זמני שהות/אחריות הורית,terminology_review_required,,NOT_VERIFIED,LAWYER_REVIEW_REQUIRED,"Validate terminology with Maya before publication; avoid implying statutory term fully disappeared."
רצון הילד,Article states child's wishes may matter in older ages but are not the only factor,legal_review_required,,NOT_VERIFIED,LAWYER_REVIEW_REQUIRED,"Requires current legal review and careful wording; avoid age thresholds unless sourced."
ניכור הורי,Article warns not every contact difficulty is parental alienation and not every allegation is correct,legal_review_required,,NOT_VERIFIED,LAWYER_REVIEW_REQUIRED,"Highly sensitive. Publish only after legal/clinical review or keep very high-level."
אלימות/סיכון/דחיפות,Article flags violence threats non-return travel relocation and urgent harm as situations needing immediate advice/emergency help,official_and_legal_review_required,,NOT_VERIFIED,LAWYER_REVIEW_REQUIRED,"Add emergency resources and legal review before publication. Do not rely only on article text."
הפרת זמני שהות,Article recommends documentation and legal advice before unilateral action,legal_review_required,,NOT_VERIFIED,LAWYER_REVIEW_REQUIRED,"Keep as process/preparation guidance. Do not provide enforcement instructions without lawyer review."
הוכחות ותיעוד,Article discourages involving children publishing claims online or aggressive evidence gathering,legal_ethics_review_required,,NOT_VERIFIED,LAWYER_REVIEW_REQUIRED,"Good safety posture, but evidence/recording boundaries require legal review."
הסכם זמני שהות,Article lists agreement topics but does not provide legal template,content_policy,,VERIFIED_IN_REPO,KEEP_POLICY,"Safe direction: structure/checklist only. Do not publish a copy-paste legal form without lawyer approval."
FAQ schema,FAQ markup only if final visible FAQ remains and answers are legally reviewed,structured_data_policy,,VERIFIED_IN_REPO,KEEP_POLICY,"No FAQ schema until legal review and visible FAQ are final."
