"target_slug","conflict_count","expected_role","topic_clusters","post_types","exact_current_slug_count","exact_current_urls","proposed_primary_url_for_review","proposed_primary_post_id","proposed_primary_post_type","proposed_primary_title","proposed_primary_word_count","highest_word_count_url","highest_word_count_title","highest_word_count","recommended_next_action","gsc_required","owner_approval_required","status","notes"
"child-support","30","supporting_article","family-law-divorce","articles|page","1","http://jus-tice.co.il/child-support/","http://jus-tice.co.il/child-support/","19213","page","מזונות ילדים: מדריך מעשי לפני הסכם, תביעה או שינוי מצב","2767","http://jus-tice.co.il/psakdin/%D7%91%D7%A2%D7%9D-919-15-%D7%94%D7%9C%D7%9B%D7%AA-%D7%94%D7%9E%D7%96%D7%95%D7%A0%D7%95%D7%AA-%D7%94%D7%97%D7%93%D7%A9%D7%94/","בע״ם 919/15 | הלכת המזונות החדשה","39818","KEEP_EXACT_URL_AS_PRIMARY_REVIEW_MERGE_DUPLICATES","YES","YES","REVIEW_ONLY_NO_URL_CHANGE","Generated from refreshed public REST URL map; do not redirect or rename until GSC/SERP/manual review approves the primary URL."
"medical-malpractice-lawyer","27","pillar","medical-malpractice","articles","2","http://jus-tice.co.il/medical-malpractice-lawyer/","http://jus-tice.co.il/medical-malpractice-lawyer/","11607","articles","עורך דין רשלנות רפואית | עו”ד רשלנות רפואית","5135","http://jus-tice.co.il/%D7%94%D7%A7%D7%98%D7%A0%D7%AA-%D7%94%D7%95%D7%A6%D7%90%D7%95%D7%AA-%D7%AA%D7%91%D7%99%D7%A2%D7%95%D7%AA-%D7%A8%D7%A9%D7%9C%D7%A0%D7%95%D7%AA-%D7%A8%D7%A4%D7%95%D7%90%D7%99%D7%AA/","תביעות רשלנות רפואית: הדרכים להקטנת ההוצאה הציבורית | דין וחשבון","118502","EXACT_SLUG_DUPLICATE_REVIEW","YES","YES","REVIEW_ONLY_NO_URL_CHANGE","Generated from refreshed public REST URL map; do not redirect or rename until GSC/SERP/manual review approves the primary URL."
"criminal-lawyer","13","pillar","criminal-law","articles","0","","http://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%A4%D7%9C%D7%99%D7%9C%D7%99-%D7%90%D7%99%D7%A8%D7%95%D7%A4%D7%94-%D7%94%D7%92%D7%A0%D7%94-%D7%A4%D7%9C%D7%99%D7%9C%D7%99%D7%AA-%D7%99%D7%A2%D7%99%D7%9C%D7%94-%D7%9E%D7%96%D7%A8%D7%97-%D7%90%D7%99%D7%A8%D7%95%D7%A4%D7%94/","7743","articles","עורך דין פלילי אירופה | הגנה פלילית יעילה מזרח אירופה","140502","http://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%A4%D7%9C%D7%99%D7%9C%D7%99-%D7%90%D7%99%D7%A8%D7%95%D7%A4%D7%94-%D7%94%D7%92%D7%A0%D7%94-%D7%A4%D7%9C%D7%99%D7%9C%D7%99%D7%AA-%D7%99%D7%A2%D7%99%D7%9C%D7%94-%D7%9E%D7%96%D7%A8%D7%97-%D7%90%D7%99%D7%A8%D7%95%D7%A4%D7%94/","עורך דין פלילי אירופה | הגנה פלילית יעילה מזרח אירופה","140502","SELECT_PRIMARY_AND_PLAN_REDIRECTS_LATER","YES","YES","REVIEW_ONLY_NO_URL_CHANGE","Generated from refreshed public REST URL map; do not redirect or rename until GSC/SERP/manual review approves the primary URL."
"child-custody","12","supporting_article","family-law-divorce","articles|page","1","http://jus-tice.co.il/child-custody/","http://jus-tice.co.il/child-custody/","19214","page","משמורת ילדים וזמני שהות: איך מתכננים הסדר שמתאים לילדים","2397","http://jus-tice.co.il/articles/%D7%96%D7%9B%D7%95%D7%AA-%D7%94%D7%95%D7%A8%D7%94-%D7%92%D7%A8%D7%95%D7%A9-%D7%9C%D7%94%D7%A2%D7%AA%D7%99%D7%A7-%D7%90%D7%AA-%D7%9E%D7%92%D7%95%D7%A8%D7%99%D7%95-%D7%95%D7%90%D7%A3-%D7%9C%D7%94%D7%92/","זכות הורה גרוש להעתיק את מגוריו ואף להגר לארץ אחרת; השיקולים לקביעת המשמורת והיחס בין זכותו האמורה של ההורה לבין המשמורת – 1330348-1 – ביה”ד הגדול","11468","KEEP_EXACT_URL_AS_PRIMARY_REVIEW_MERGE_DUPLICATES","YES","YES","REVIEW_ONLY_NO_URL_CHANGE","Generated from refreshed public REST URL map; do not redirect or rename until GSC/SERP/manual review approves the primary URL."
"will","10","needs_editorial_classification","inheritance-wills|real-estate","articles","0","","http://jus-tice.co.il/%D7%91%D7%A7%D7%A9%D7%94-%D7%9C%D7%A7%D7%99%D7%95%D7%9D-%D7%A6%D7%95%D7%95%D7%90%D7%94-%D7%9B%D7%A0%D7%92%D7%93-%D7%94%D7%AA%D7%A0%D7%92%D7%93%D7%95%D7%AA%D7%95-%D7%A9%D7%9C-%D7%91%D7%9F-%D7%94%D7%9E%D7%A0%D7%95%D7%97%D7%94-%D7%A9%D7%94%D7%95%D7%93%D7%A8-%D7%9E%D7%94%D7%A6%D7%95%D7%95%D7%90%D7%94-%D7%91%D7%98%D7%A2%D7%A0%D7%94-%D7%A9%D7%9C%D7%90-%D7%94%D7%99%D7%99%D7%AA%D7%94-%D7%9B%D7%A9%D7%99%D7%A8%D7%94/","6426","articles","השופטת נלי רוסמן-גליס: פס”ד בבקשה לקיום צוואה כנגד התנגדותו של בן המנוחה שהודר מהצוואה בטענה שלא הייתה כשירה (ת”ע 3612-09-18)","15311","http://jus-tice.co.il/%D7%91%D7%A7%D7%A9%D7%94-%D7%9C%D7%A7%D7%99%D7%95%D7%9D-%D7%A6%D7%95%D7%95%D7%90%D7%94-%D7%9B%D7%A0%D7%92%D7%93-%D7%94%D7%AA%D7%A0%D7%92%D7%93%D7%95%D7%AA%D7%95-%D7%A9%D7%9C-%D7%91%D7%9F-%D7%94%D7%9E%D7%A0%D7%95%D7%97%D7%94-%D7%A9%D7%94%D7%95%D7%93%D7%A8-%D7%9E%D7%94%D7%A6%D7%95%D7%95%D7%90%D7%94-%D7%91%D7%98%D7%A2%D7%A0%D7%94-%D7%A9%D7%9C%D7%90-%D7%94%D7%99%D7%99%D7%AA%D7%94-%D7%9B%D7%A9%D7%99%D7%A8%D7%94/","השופטת נלי רוסמן-גליס: פס”ד בבקשה לקיום צוואה כנגד התנגדותו של בן המנוחה שהודר מהצוואה בטענה שלא הייתה כשירה (ת”ע 3612-09-18)","15311","SELECT_PRIMARY_AND_PLAN_REDIRECTS_LATER","YES","YES","REVIEW_ONLY_NO_URL_CHANGE","Generated from refreshed public REST URL map; do not redirect or rename until GSC/SERP/manual review approves the primary URL."
"pretrial-detention","8","supporting_article","criminal-law","articles","0","","http://jus-tice.co.il/%D7%94%D7%9C%D7%99%D7%9A-%D7%94%D7%9E%D7%A2%D7%A6%D7%A8-%D7%9B%D7%9E%D7%94-%D7%A2%D7%95%D7%9C%D7%94-%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%9E%D7%A2%D7%A6%D7%A8%D7%99%D7%9D-%D7%9E%D7%97%D7%99%D7%A8%D7%95%D7%9F-%D7%A2%D7%95%D7%93-%D7%A4%D7%9C%D7%99%D7%9C%D7%99/","12073","articles","עו”ד פלילי על סוגי עבירות פליליות | טבלת ענישה והליך המעצר | כמה עולה עורך דין מעצרים? מחירון 2025","12868","http://jus-tice.co.il/%D7%94%D7%9C%D7%99%D7%9A-%D7%94%D7%9E%D7%A2%D7%A6%D7%A8-%D7%9B%D7%9E%D7%94-%D7%A2%D7%95%D7%9C%D7%94-%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%9E%D7%A2%D7%A6%D7%A8%D7%99%D7%9D-%D7%9E%D7%97%D7%99%D7%A8%D7%95%D7%9F-%D7%A2%D7%95%D7%93-%D7%A4%D7%9C%D7%99%D7%9C%D7%99/","עו”ד פלילי על סוגי עבירות פליליות | טבלת ענישה והליך המעצר | כמה עולה עורך דין מעצרים? מחירון 2025","12868","SELECT_PRIMARY_AND_PLAN_REDIRECTS_LATER","YES","YES","REVIEW_ONLY_NO_URL_CHANGE","Generated from refreshed public REST URL map; do not redirect or rename until GSC/SERP/manual review approves the primary URL."
"divorce-lawyer","7","pillar","family-law-divorce","articles|page","1","http://jus-tice.co.il/divorce-lawyer/","http://jus-tice.co.il/divorce-lawyer/","7274","page","עורך דין גירושין: מדריך עומק לבחירה נכונה, תהליך, עלויות, ילדים ורכוש","3205","http://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%9C%D7%A2%D7%A0%D7%99%D7%99%D7%A0%D7%99-%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F/","עורך דין גירושין – מדריך להליכים, עלויות, זכויות ושלבי התהליך","9077","KEEP_EXACT_URL_AS_PRIMARY_REVIEW_MERGE_DUPLICATES","YES","YES","REVIEW_ONLY_NO_URL_CHANGE","Generated from refreshed public REST URL map; do not redirect or rename until GSC/SERP/manual review approves the primary URL."
"car-accident-lawyer","4","supporting_article","needs-classification|personal-injury","articles","0","","http://jus-tice.co.il/%D7%A4%D7%99%D7%A6%D7%95%D7%99-%D7%92%D7%91%D7%95%D7%94%D7%94-%D7%AA%D7%90%D7%95%D7%A0%D7%AA-%D7%93%D7%A8%D7%9B%D7%99%D7%9D-%D7%97%D7%91%D7%A8%D7%AA-%D7%91%D7%99%D7%98%D7%95%D7%97/","3364","articles","פיצוי גבוהה תאונת דרכים 4,112,031 ש”ח","5684","http://jus-tice.co.il/%D7%A4%D7%99%D7%A6%D7%95%D7%99-%D7%92%D7%91%D7%95%D7%94%D7%94-%D7%AA%D7%90%D7%95%D7%A0%D7%AA-%D7%93%D7%A8%D7%9B%D7%99%D7%9D-%D7%97%D7%91%D7%A8%D7%AA-%D7%91%D7%99%D7%98%D7%95%D7%97/","פיצוי גבוהה תאונת דרכים 4,112,031 ש”ח","5684","SELECT_PRIMARY_AND_PLAN_REDIRECTS_LATER","YES","YES","REVIEW_ONLY_NO_URL_CHANGE","Generated from refreshed public REST URL map; do not redirect or rename until GSC/SERP/manual review approves the primary URL."
"divorce-mediation","3","supporting_article","family-law-divorce","articles|page","1","http://jus-tice.co.il/divorce-mediation/","http://jus-tice.co.il/divorce-mediation/","19212","page","גישור גירושין: מתי זה נכון, איך מתכוננים ומה חשוב לבדוק","2493","http://jus-tice.co.il/divorce-mediation/","גישור גירושין: מתי זה נכון, איך מתכוננים ומה חשוב לבדוק","2493","KEEP_EXACT_URL_AS_PRIMARY_REVIEW_MERGE_DUPLICATES","YES","YES","REVIEW_ONLY_NO_URL_CHANGE","Generated from refreshed public REST URL map; do not redirect or rename until GSC/SERP/manual review approves the primary URL."
"divorce-property-division","3","supporting_article","family-law-divorce","articles|page","1","http://jus-tice.co.il/divorce-property-division/","http://jus-tice.co.il/divorce-property-division/","19215","page","חלוקת רכוש בגירושין: נכסים, חובות, דירה, פנסיה ועסק משפחתי","2443","http://jus-tice.co.il/%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%91%D7%A2%D7%9C%D7%95%D7%AA-%D7%95%D7%97%D7%9C%D7%95%D7%A7%D7%AA-%D7%90%D7%AA%D7%A8-%D7%90%D7%99%D7%A0%D7%98%D7%A8%D7%A0%D7%98-%D7%97%D7%9C%D7%95%D7%A7%D7%AA-%D7%A8%D7%9B%D7%95%D7%A9-%D7%91%D7%99%D7%9F-%D7%91%D7%A0%D7%99-%D7%96%D7%95%D7%92/","גירושים: בעלות וחלוקת אתר אינטרנט | חלוקת רכוש בין בני זוג","3006","KEEP_EXACT_URL_AS_PRIMARY_REVIEW_MERGE_DUPLICATES","YES","YES","REVIEW_ONLY_NO_URL_CHANGE","Generated from refreshed public REST URL map; do not redirect or rename until GSC/SERP/manual review approves the primary URL."
