priority,cluster,primary_hub,business_reason,safe_next_action,public_change_status
1,family-law-divorce,https://jus-tice.co.il/family-law/,"Highest immediate lawyer-lead fit; Maya Rotenberg supply exists; many GSC-visible family/divorce support pages","Prepare factual homepage card copy and support-to-hub links; owner approval before public change","NOT_CHANGED"
2,medical-malpractice,https://jus-tice.co.il/medical-malpractice-lawyer/,"Recovered commercial route plus strong P0 GSC signals around birth malpractice, experts, claim costs and examples","Build medical-malpractice support-to-hub map and protect high-GSC pages before editing","NOT_CHANGED"
3,criminal-law,https://jus-tice.co.il/criminal-defense-attorney/,"Large GSC demand and stable hub; strong urgent legal intent but trust-claim cleanup is needed","Rewrite risky trust claims and protect high-GSC pages before merge/prune decisions","NOT_CHANGED"
4,real-estate,https://jus-tice.co.il/real-estate-attorney/,"High impressions and strong transaction intent; current copy has recommended/free-consultation risk","Decide canonical hub and rewrite trust-claim posture before homepage promotion","NOT_CHANGED"
5,traffic-law,https://jus-tice.co.il/traffic-lawyer/,"Urgent commercial intent with good lead-routing fit","Audit support links from Marvad, license and drunk-driving pages into the hub","NOT_CHANGED"
6,employment-law,TBD,"Meaningful P0 volume but lawyer supply and canonical cluster need confirmation","Run employment-law cluster review before homepage promotion","NOT_CHANGED"
7,inheritance-wills,TBD,"Commercial intent exists but source/legal/document boundaries need tighter review","Keep secondary until source-safe owner approval package is ready","NOT_CHANGED"
8,personal-injury,TBD,"Related to damages and medical-malpractice money intent but canonical routing is unresolved","Map pages to personal-injury or medical-malpractice before homepage prominence","NOT_CHANGED"
9,foreign-citizenship-relocation,TBD,"Some traffic exists but weaker fit for immediate Israeli lawyer subscription goal","Keep discoverable through sitemap/articles; avoid top homepage priority","NOT_CHANGED"
10,broad-informational-nonlegal,TBD,"Can generate traffic but may dilute legal-money relevance","Classify and propose preserve/de-emphasize/merge/noindex only after owner approval","NOT_CHANGED"
