order,section,source_template,current_live_status,user_signal,google_signal,business_signal,recommended_action,priority,status,approval_gate,notes
1,"Header / primary navigation","site-header.php","LIVE_WITH_REVIEW_ITEMS","Fast access to directory articles lead form and lawyer registration","Crawlable top-level paths","Supports consumer and lawyer funnels","Replace page_id links only after target confirmation","HIGH","PROPOSED","OWNER_APPROVAL_REQUIRED","No menu/header changes executed."
2,"Hero search and CTAs","template-parts/sections/hero.php","LIVE","Clear immediate legal-help search path","Strong broad lawyer/legal-help signal","Routes to directory and articles","Keep structure; verify city filter values against /lawyers/ slug contract","CRITICAL","PROPOSED","TECHNICAL_VERIFICATION_REQUIRED","Hero city values may not match city taxonomy slugs."
3,"Curated major legal-field hubs","hero quick links + practice grid","LIVE_BUT_TAXONOMY_DRIVEN","Guides user by legal problem","Creates topical hub paths","Supports approved pillar strategy","Replace top-count taxonomy order with approved curated hubs","CRITICAL","PROPOSED","OWNER_APPROVAL_REQUIRED","Avoid raw slugs duplicate labels and empty categories."
4,"Lawyer directory entry","/lawyers/ archive + homepage CTA","LIVE_BUT_GSC_WEAK","Clear place to find lawyers","Strengthens /lawyers/ as future directory primary","Core monetization path","Add clearer directory value only when real approved profiles and index rules are ready","HIGH","PROPOSED","OWNER_APPROVAL_REQUIRED","/lawyers/ returned no visible GSC rows in prior page-to-query check."
5,"Find-a-lawyer guide summary","template-parts/sections/find-lawyer-guide.php","LIVE_LONG","Practical education before contacting lawyer","Supports find-lawyer intent","Builds trust","Keep summary on homepage; consider full guide page later","MEDIUM","PROPOSED","LEGAL_REVIEW_REQUIRED","Cost/free/review claims need source/compliance review."
6,"Curated important legal guides by cluster","latest-articles replacement","LIVE_LATEST_ONLY","Shows useful content by need rather than recency","Improves cluster clarity","Feeds content funnel","Replace latest-only module with curated cluster guides after approval","HIGH","PROPOSED","OWNER_APPROVAL_REQUIRED","Latest-only homepage currently skews to family-law content."
7,"Real lawyer mini-site proof block","template-parts/sections/featured-lawyers.php","LIVE_EMPTY_STATE","Can build trust only if real profile appears","Adds E-E-A-T only if verified","Shows paid lawyer product","Show Maya only after approval or hide empty state","HIGH","PROPOSED","OWNER_APPROVAL_REQUIRED","No fake lawyer data should appear."
8,"Ask-lawyer / lead intake","template-parts/sections/ask-lawyer.php","LIVE","Clear next step for uncertain users","Strong conversion/legal-help signal","Lead generation surface","Verify CRM delivery and GA4 generate_lead","CRITICAL","PROPOSED","TECHNICAL_VERIFICATION_REQUIRED","Form posts to admin-post with nonce/spam fields."
9,"Trust / disclosure / editorial limits","template-parts/sections/trust-section.php","LIVE","Builds confidence if claims are accurate","Authority/entity support","Trust conversion support","Use dynamic counts; verify or soften hard-coded claims","MEDIUM","PROPOSED","OWNER_APPROVAL_REQUIRED","No trust copy changes executed."
10,"Lawyer onboarding CTA","page-home.php / lawyer-cta.php","NOT_VISIBLE_IN_LIVE_SCRAPE","Separates lawyer business funnel from consumer path","Secondary B2B signal","Monetization path","Add lower on page after product/funnel copy approval","MEDIUM","PROPOSED","OWNER_APPROVAL_REQUIRED","Should not compete with consumer hero."
11,"LegalTech / tools entry","page-home.php / legaltech-tools.php","NOT_VISIBLE_IN_LIVE_SCRAPE","Shows product depth only if tools work","Legal-tech entity support","Future product revenue","Keep hidden until real routes/tools/prices are verified","LOW","PLANNED_LATER","PRODUCT_APPROVAL_REQUIRED","Avoid dead links and fake product cards."
12,"Bottom CTA / footer","template-parts/sections/cta-section.php","LIVE","Repeats directory phone and search paths","Reinforces conversion paths","Final conversion prompt","Keep; verify phone ownership and phone_click tracking","MEDIUM","PROPOSED","TECHNICAL_VERIFICATION_REQUIRED","No CTA changes executed."
