package_id,wave,item_type,target,current_input,readiness_status,why,required_before_public_upload,blocked_actions,next_step
FD-UPLOAD-001,Wave 1A,pillar,/divorce-lawyer/,divorce-lawyer draft plus section merge outline,READY_FOR_FINAL_DRAFT_PACKAGE,Commercial anchor and highest-priority divorce-lawyer intent,Owner approval final merged Hebrew copy title/H1 QA related-card approval disclaimers,redirect noindex deletion canonical sitemap_removal old_url_retirement,Prepare final merged draft/update package
FD-UPLOAD-002,Wave 1A,protected_old_url,REFERENCE:DIVORCE-OLD-HEBREW-GSC-001,side-by-side review and GSC browser evidence,PROTECT_KEEP_LIVE,Old URL has visible divorce-lawyer impressions,GSC API and owner approval before any URL action,redirect noindex canonical delete sitemap_removal,Keep live during first upload
FD-UPLOAD-003,Wave 1A,merge_source,large Hebrew divorce-lawyer duplicate,duplicate comparison and section merge outline,USE_AS_SOURCE_ONLY,Strong live word count and relevant sections,Final draft review and owner approval,public_equal_competitor redirect delete noindex,Use useful sections in pillar draft
FD-UPLOAD-004,Wave 1B,support_page,/consensual-divorce/,consensual divorce draft,REVIEW_REQUIRED,Core low-conflict and agreement support intent,Source/freshness review disclaimer QA title/H1 uniqueness,redirect old agreement URLs template promises fake legal advice,Review draft and agreement boundaries
FD-UPLOAD-005,Wave 1B,support_page,/divorce-mediation/,divorce mediation draft,REVIEW_REQUIRED_DOCX_GATE,Core mediation support intent but DOCX asset is protected,DOCX strategy source/freshness review disclaimer QA,title/H1 cannibalization DOCX removal noindex redirect,Review draft with DOCX warning strategy
FD-UPLOAD-006,Wave 1B,support_page,/child-support/,child support draft,REVIEW_REQUIRED_TOOL_GATE,Core support page but calculator owns tool/search intent,Calculator split source/freshness review disclaimer QA,noindex redirect calculator deletion binding formula claim,Review draft without replacing calculator
FD-UPLOAD-007,Wave 1B,support_page,/child-custody/,child custody draft,REVIEW_REQUIRED_ASSET_GATE,Core custody page but article PDF and case URL are protected,Article/PDF/case split terminology review disclaimer QA,redirect noindex delete custody assets unsupported doctrine claims,Review draft with protected assets alive
FD-UPLOAD-008,Wave 1B,support_page,/divorce-property-division/,property division draft,REVIEW_REQUIRED,Core property division support page,Source/freshness review case-link policy title/H1 QA,overgeneralize case-law redirect delete noindex,Review draft and case boundaries
FD-UPLOAD-009,Wave 1B,support_page,/family-dispute-resolution/,family dispute resolution draft,REVIEW_REQUIRED,Core dispute-resolution support page,Source/freshness review form/urgent-relief caution title/H1 QA,procedure advice without source redirect delete noindex,Review draft and old dispute pages
FD-UPLOAD-010,Wave 1C,support_page,/divorce-costs-2025/,existing cost article,HOLD_FRESHNESS_REVIEW,Cost content is useful but date and price sensitive,Freshness/source review and careful cost-driver framing,fixed price promises unsupported fee claims,Use after cost section approval
FD-UPLOAD-011,Wave 1C,support_page,/divorce-consultation-guide/,existing consultation guide,HOLD_SUPPORT_REVIEW,Useful pre-consultation support intent,Owner approval and final pillar link decision,merge full article blindly redirect delete,Keep separate support if useful
FD-UPLOAD-012,Wave 1C,agreement_support,agreement and template pages,current readiness queue,HOLD_TEMPLATE_POLICY,Agreement/template intent is important but riskier,Template policy disclaimer source review,unsafe template promotion document deletion,Review after mediation/consensual pages
FD-UPLOAD-013,Wait,broad_hub,/family-law/,existing family-law route,HOLD_SEPARATE_HUB,Family-law hub intent is broader than divorce pillar,Separate hub strategy and template/content review,overload divorce pillar duplicate family-lawyer intent,Plan after divorce wave
FD-UPLOAD-014,Wait,future_hub,/family-lawyer/,future broad lawyer hub,HOLD_ROUTE_STRATEGY,Broad lawyer intent is separate and route state is not approved,URL strategy owner approval GSC/API check,create/redirect without strategy,Plan after Family/Divorce first wave
FD-UPLOAD-015,Wait,term_or_page,prenuptial agreement future page/term,term slug collision noted,HOLD_TERM_CLEANUP,Important keyword but current slug map has collision risk,Term cleanup English slug approval content plan,wrong term assignment slug conflict,Resolve after first wave
FD-UPLOAD-016,Wait,lawyer_trust_pages,recommended top trusted family/divorce pages,current readiness queue,HOLD_COMPLIANCE_REVIEW,Trust/ranking pages are risky without real rules/data,Review policy verification rules reputation module,top recommended trusted fake claims schema ratings,Exclude from first upload
FD-UPLOAD-017,Wait,lawyer_profile,Maya Rotenberg profile links,Maya profile and ranking-style article,HOLD_PROFILE_APPROVAL,Profile value is high but must use verified facts only,Maya mini-site source/reputation approval,ratings reviews badges top-ranked claims,Handle in Maya mini-site workstream
FD-UPLOAD-018,Wait,product_or_editorial,LegalTech and AI family-law pages,current readiness queue,HOLD_PRODUCT_REVIEW,Product/editorial intent is not urgent legal-help funnel,Product readiness and claim review,unavailable tool promises wrong-funnel links,Separate product/content strategy later
FD-UPLOAD-019,QA,post_upload_checks,all first-wave pages,minimum checklist and protected assets,BLOCKED_UNTIL_UPLOAD,QA is mandatory after preview or public update,Upload or preview environment,status canonical title H1 related cards disclaimers asset checks,Run after owner-approved upload
FD-UPLOAD-020,GSC,pre_url_action_export,all protected URLs and first-wave pages,GSC API plan,BLOCKED_UNTIL_GSC_API,Needed before migration or retiring old assets,Search Console API credentials/export,redirect noindex delete canonical sitemap_removal,Run after API setup
