journey,priority,path,role,status,initialHttp,http,redirectLocation,bytes,links,title,h1,canonical,robots,finalUrl,issues
"user","critical","/","homepage lead entry","PASS","200","200","","127259","165","עורכי דין בישראל | מדריך עורכי דין, מאמרים משפטיים וייעוץ","עורכי דין בישראל — מאגר עורכי דין, מאמרים משפטיים ומדריכים מקצועיים","https://jus-tice.co.il/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","https://jus-tice.co.il/",""
"googlebot","critical","/site-map/","dynamic crawl hub","PASS","200","200","","313505","1431","מפת אתר | Jus-Tice","מפת אתר","https://jus-tice.co.il/site-map/","index, follow, max-image-preview:large","https://jus-tice.co.il/site-map/",""
"googlebot","critical","/articles/","article discovery hub","PASS","200","200","","128451","206","מאמרים משפטיים לפי הבעיה שלכם | Jus-Tice","מדריכים משפטיים לפי הבעיה שלכם","https://jus-tice.co.il/articles/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","https://jus-tice.co.il/articles/",""
"user","critical","/family-law/","family law practice page","PASS","200","200","","129711","107","דיני משפחה וגירושין | עורך דין לענייני משפחה | Jus-Tice","דיני משפחה","https://jus-tice.co.il/family-law/","index, follow, max-image-preview:large","https://jus-tice.co.il/family-law/",""
"lawyer","high","/lawyers/?area=family-law","family lawyer directory filter","PASS","200","200","","60998","70","עורך דין דיני משפחה | מצאו עורך דין מתאים","עורך דין דיני משפחה","","noindex,follow|noindex, follow","https://jus-tice.co.il/lawyers/?area=family-law",""
"user","critical","/medical-malpractice-lawyer/","medical malpractice commercial path","PASS","200","200","","152372","92","רשלנות רפואית | עורך דין רשלנות רפואית | Jus-Tice","עורך דין רשלנות רפואית","https://jus-tice.co.il/medical-malpractice-lawyer/","index, follow, max-image-preview:large","https://jus-tice.co.il/medical-malpractice-lawyer/",""
"user","critical","/real-estate-lawyer-guide/","real estate lawyer guide recovery path","PASS","200","200","","80680","76","מדריך עורך דין מקרקעין | קנייה, מכירה ורישום דירה | Jus-Tice","דיני מקרקעין","https://jus-tice.co.il/real-estate-lawyer-guide/","index, follow, max-image-preview:large","https://jus-tice.co.il/real-estate-lawyer-guide/",""
"user","critical","/criminal-defense-attorney/","criminal lawyer commercial path","PASS","200","200","","99981","118","עורך דין פלילי מומלץ | השוואת עו&quot;ד לפי ביקורות | Jus-Tice","עורך דין פלילי מומלץ | השוואת עו&quot;ד לפי ביקורות | Jus-Tice","https://jus-tice.co.il/criminal-defense-attorney/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","https://jus-tice.co.il/criminal-defense-attorney/",""
"user","critical","/traffic-lawyer/","traffic lawyer commercial path","PASS","200","200","","82628","91","עורך דין תעבורה: שלילה, נקודות, נהיגה בשכרות וקנסות | Jus-Tice","עורך דין תעבורה: שלילה, נקודות, נהיגה בשכרות וקנסות","https://jus-tice.co.il/traffic-lawyer/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","https://jus-tice.co.il/traffic-lawyer/",""
"user","critical","/inheritance-lawyer/","inheritance and wills lawyer commercial path","PASS","200","200","","92561","97","עורך דין ירושה וצוואות | צו ירושה, צוואה והתנגדות לצוואה | Jus-Tice","עורך דין ירושה וצוואות","https://jus-tice.co.il/inheritance-lawyer/","index, follow, max-image-preview:large","https://jus-tice.co.il/inheritance-lawyer/",""
"user","high","/contact/","legacy contact path","PASS","200","200","","77469","70","יצירת קשר | Jus-Tice","יצירת קשר","https://jus-tice.co.il/contact/","index, follow, max-image-preview:large","https://jus-tice.co.il/contact/",""
"user","medium","/about/","trust/about path","PASS","200","200","","77081","70","אודות Jus-Tice | Jus-Tice","אודות Jus-Tice","https://jus-tice.co.il/about/","index, follow, max-image-preview:large","https://jus-tice.co.il/about/",""
