item,page_or_component,live_evidence,problem,code_change,status,next_action
homepage_title,https://jus-tice.co.il/,"Title: עורכי דין מומלצים אינדקס | חיפוש עורך דין ומשרדי עורכי דין | עו""ד מומלץ","Recommendation-heavy legacy title still live","No direct title edit in this batch; existing SEO title fixes still need deployment verification","NOT LIVE VERIFIED","After deploy/cache clear, re-export homepage title"
lawyers_title,https://jus-tice.co.il/lawyers/,"Title: עורכי דין Archive | Jus-Tice.co.il","English Archive leak still live","No direct title edit in this batch; existing SEO title fixes still need deployment verification","NOT LIVE VERIFIED","After deploy/cache clear, re-export /lawyers/ title"
header_topic_strip,template-parts/layout/site-header.php,"Several planned pillar URLs currently redirect to homepage","Header could send users and Google to homepage redirects","Topic strip now uses safe primary/fallback topic links","CODE FIXED","Verify rendered live links after deployment"
featured_pillars,template-parts/sections/featured-pillars.php,"Real estate/labor planned pages not safely live","Homepage cards could point to redirect-home URLs","Featured pillar cards now use safe primary/fallback URLs","CODE FIXED","Verify cards after deployment"
topic_clusters,template-parts/sections/topic-clusters.php,"Cluster headings and static family links could point to not-yet-published pages","Topic clusters could create weak/broken journeys before migration approval","Cluster links now use safe primary/fallback URLs","CODE FIXED","Verify family cluster after deployment"
url_migration,sitewide,"No URL changes approved","Changing slugs now would risk SEO loss without redirect map","No slugs or redirects changed","VERIFIED","Continue mapping before migration"
homepage_title_after_pull,https://jus-tice.co.il/,"Title: עורכי דין בישראל | מדריך עורכי דין, מאמרים משפטיים וייעוץ","Legacy recommendation-heavy title replaced live","Existing SEO title fix is now live","LIVE VERIFIED","Continue CTR monitoring in GSC"
lawyers_title_after_pull,https://jus-tice.co.il/lawyers/,"Title: מדריך עורכי דין בישראל | Jus-Tice","English Archive leak fixed live","Existing SEO title fix is now live","LIVE VERIFIED","Continue directory content/title optimization"
traffic_topic_fallback,https://jus-tice.co.il/traffic-law/,"Returns 301 to homepage","Rendered topic-strip fallback still unsafe for traffic","Traffic fallback changed to /lawyers/?area=traffic-law","CODE FIXED_NOT_LIVE_VERIFIED","Pull latest code and recheck topic-strip link"
legaltech_topic_fallback,https://jus-tice.co.il/legal-tools/ai-intake/,"Returns 301 to homepage","AI intake and legal-tool CTA links currently lead to homepage redirects","Header and LegalTech fallback links changed to /#ask-lawyer until tool pages exist","CODE FIXED_NOT_LIVE_VERIFIED","Pull latest code and recheck homepage LegalTech links"
