current_slug,proposed_slug,hebrew_topic,priority
article-12007,bgz-infidelity-adultery-supreme-court-ruling,בגץ הבוגדת - Supreme Court ruling on adultery,P1
article-9128,un-convention-against-corruption-israel,אמנת האומות המאוחדות נגד שחיתות,P1
article-9126,innocent-prisoner-dilemma-criminal-defense-israel,דילמת אסיר חף מפשע,P1
article-8808,plastic-surgeon-face-malpractice-israel,מנתח פלסטי פנים - רשלנות,P1
article-8318,doctor-role-duties-professional-obligations-israel,מהו רופא תפקידו וחובותיו המקצועיות,P1
article-8142,types-of-doctors-medical-specializations-israel,סוגים שונים של רופאים,P1
lawyer-recommended-law-price,military-lawyer-israel-court-martial-defense,עורך דין צבאי - WRONG INTENT FIX,P1
article-6882,police-crime-data-transparency-report-israel,police crime data transparency publications,P1
article-5585,divorce-alimony-property-expert-witness-court,גירושין עדות מומחה רכוש בית משפט,P2
article-5957,criminal-defense-right-to-counsel-israel,זכות ייצוג משפטי סנגוריה ציבורית,P2
article-6039,company-dissolution-receivership-court-order-israel,פירוק חברה כונס נכסים צו בית משפט,P2
article-6477,civil-appeal-court-ruling-compensation-israel,ערעור אזרחי פסיקת פיצויים בית משפט,P2
article-3250,legal-rights-awareness-israel-guide,מודעות זכויות משפטיות ישראל,P2
article-3069,civil-lawsuit-procedure-israel-district-court,הליך תביעה אזרחית בית משפט מחוזי,P2
article-2738,labor-law-employee-rights-israel-employment,חוק עבודה זכויות עובדים ישראל,P2
article-2380,legal-forms-israel-official-government,טפסים משפטיים רשמיים ממשלה ישראל,P2
article-2288,legal-contracts-obligations-israel-guide,חוזים התחייבויות משפטיות ישראל,P2
article-2177,class-action-lawsuit-israel-consumer-rights,תביעה ייצוגית ישראל זכויות צרכן,P2
article-2160,criminal-procedure-rights-israel-detention,סדר הדין הפלילי זכויות עצור ישראל,P2
article-2103,criminal-law-sentencing-guidelines-israel,גזירת עונש פלילי קווים מנחים ישראל,P2
article-2031,labor-dispute-employer-employee-israel,סכסוך עבודה מעסיק עובד ישראל,P2
