field_id,field,required_before_step,value_present,potential_private_contact_or_secret,review_status,expected_value_type,repo_storage_rule,raw_values_echoed
EVID-01,owner_controlled_test_approval,WALK-01,no,no,BLOCKED_BLANK_OWNER_VALUE,approve / reject / park / needs_more_evidence,no_pii_summary_only,no
EVID-02,controlled_identity_alias,WALK-01,no,no,BLOCKED_BLANK_OWNER_VALUE,"short alias, not real name unless owner explicitly approves live record evidence storage",no_pii_summary_only,no
EVID-03,controlled_inbox_and_phone_owner_confirmed,WALK-01,no,no,BLOCKED_BLANK_OWNER_VALUE,yes / no plus private evidence location,do_not_store_email_or_phone,no
EVID-04,selected_payment_path,WALK-02,no,no,BLOCKED_BLANK_OWNER_VALUE,manual_invoice / approved_payment_link / provider_link / no_charge_dry_run,"provider/path label only, no full payment URL",no
EVID-05,live_registration_allowed,WALK-07,no,no,BLOCKED_BLANK_OWNER_VALUE,yes / no,approval note only,no
EVID-06,controlled_lawyer_profile_or_post_id,WALK-08,no,no,BLOCKED_BLANK_OWNER_VALUE,wp-admin ID or private evidence location,ID ok only if owner confirms test record,no
EVID-07,controlled_lawyer_user_login_confirmed,WALK-10,no,no,BLOCKED_BLANK_OWNER_VALUE,yes / no plus private evidence location,"no password, no email address",no
EVID-08,service_request_ids,WALK-11,no,no,BLOCKED_BLANK_OWNER_VALUE,payment_link / upgrade / downgrade / cancel / refund / invoice request IDs,"IDs only, no sensitive message body",no
EVID-09,controlled_consented_lead_id,WALK-12,no,no,BLOCKED_BLANK_OWNER_VALUE,lead ID plus consent/routing hold status,"ID and status only, no client PII",no
EVID-10,invoice_or_payment_reference,WALK-13,no,no,BLOCKED_BLANK_OWNER_VALUE,"invoice reference, payment evidence location or no-charge dry-run note","reference/location only, no full payment link",no
EVID-11,revenue_counting_decision,WALK-14,no,no,BLOCKED_BLANK_OWNER_VALUE,count_revenue / do_not_count / blocked,owner decision and proof summary only,no
