full_name,entity_type,guide_code,sample_source_url
ABADI & CO. Law Firm,firm,G3,https://www.legal500.com/c/israel/commercial-corporate-and-ma
AOi - עבדי וקנין ושות' עורכי דין,firm,G2,https://www.bdicode.com/bdilaw2025/22/
AYR - Amar Reiter Jeanne Shochatovitch & Co,firm,G3,https://www.legal500.com/c/israel/banking-and-finance
AYR - עמר רייטר ז'אן שוכטוביץ ושות',firm,G1,https://www.duns100.co.il/rating/עורכי_דין/דיני_אינטרנט
Adulam & Co.,firm,G3,https://www.legal500.com/c/israel/real-estate-and-construction
Agmon with Tulchinsky Law Firm,firm,G3,https://www.legal500.com/c/israel/banking-and-finance
Alter Attorneys at Law,firm,G3,https://www.legal500.com/c/israel/tax
"Amit, Pollak, Matalon",firm,G3,https://www.legal500.com/c/israel/banking-and-finance
Ampeli Tax Law Office,firm,G3,https://www.legal500.com/c/israel/tax
"Ariel Dubinsky, Law Office",firm,G3,https://www.legal500.com/c/israel/intellectual-property/disputes
Arnon Segev & Co.,firm,G3,https://www.legal500.com/c/israel/capital-markets
"Arnon, Tadmor-Levy",firm,G3,https://www.legal500.com/c/israel/banking-and-finance
Asserson Law Offices,firm,G3,https://www.legal500.com/c/israel/dispute-resolution-mediation-and-international-arbitration
BGR בוטבול גלבוע רם - משרד עורכי דין,firm,G2,https://www.bdicode.com/bdilaw2025/26/
BRACHA & CO,firm,G3,https://www.legal500.com/c/israel/tax
BYSD בן יעקב שוימר דולב,firm,G1,https://www.duns100.co.il/rating/עורכי_דין/ליטיגציה_מסחרית
"Balter, Guth, Aloni & Co",firm,G3,https://www.legal500.com/c/israel/insurance
Banai Azriel Stern,firm,G3,https://www.legal500.com/c/israel/hi-tech-and-start-ups
Barnea Jaffa Lande & Co.,firm,G3,https://www.legal500.com/c/israel/banking-and-finance
"Ben Ami, Bigon & Co",firm,G3,https://www.legal500.com/c/israel/tax
Ben-Natan & Co. Law Office,firm,G3,https://www.legal500.com/c/israel/employment
Benjamini & Co.,firm,G3,https://www.legal500.com/c/israel/tax
Berkman & Co,firm,G3,https://www.legal500.com/c/israel/dispute-resolution/dispute-resolution-class-actions-including-derivative-actions
"CBA שרקון, בן עמי, אשר ושות'",firm,G2,https://www.bdicode.com/bdilaw2025/32/
"CBA שרקון, בן-עמי, אשר ושות' - משרד עורכי דין",firm,G1,https://www.duns100.co.il/rating/עורכי_דין/אגודות_שיתופיות
CDS-LUTHI לוטי ושת',firm,G2,https://www.bdicode.com/bdilaw2025/32/
Cassouto & Co.,firm,G3,https://www.legal500.com/c/israel/dispute-resolution-local-litigation-and-arbitration
"Cohn, de Vries, Stadler & Co. (Herzog Patents)",firm,G3,https://www.legal500.com/c/israel/intellectual-property/filingprosecution
DLE - דושניק לוין ארבן ושות',firm,G1,https://www.duns100.co.il/rating/עורכי_דין/סייבר
DLE דושניק לוין ארבן ושות',firm,G2,https://www.bdicode.com/bdilaw2025/22/
Dafna Shmuelevich & Co. law office,firm,G3,https://www.legal500.com/c/israel/employment
"Doron, Tikotzky, Kantor, Gutman, Nass, Amit Gross & Co.",firm,G3,https://www.legal500.com/c/israel/restructuring-and-insolvency
