decision_id,area,current_url,current_status,evidence,recommended_action,owner_approval_question,approval_status,blocked_actions,notes
NATIONAL-INSURANCE-PRACTICE-AREA-001,national-insurance-practice-area,https://jus-tice.co.il/practice-areas/national-insurance/,"Existing practice-area term; count 0; description exists","category-map marks ביטוח לאומי as REVIEW_EMPTY_TERM; practice-area export confirms slug national-insurance","KEEP_EMPTY_HUB_CANDIDATE_REVIEW","Should the existing national-insurance practice area remain a hub candidate before any index/menu/sitemap decision?","OWNER_APPROVAL_REQUIRED","No menu homepage sitemap noindex canonical breadcrumb related-card lawyer-card or CMS edit","Existing taxonomy term is not an approved pillar."
NATIONAL-INSURANCE-STRATEGIC-SLUG-001,strategic-clean-slug,https://jus-tice.co.il/national-insurance-lawyer/,"Strategic future target only; not verified as current public URL","url-migration-map proposes old calculator URL to national-insurance-lawyer with status PROPOSED_ENGLISH_SLUG_NEEDS_REVIEW","MIGRATION_MAP_REQUIRED","Should /national-insurance-lawyer/ be treated as a future target only after owner approval and redirect map?","OWNER_APPROVAL_REQUIRED","No creation migration redirect canonical sitemap noindex or CMS edit","Do not create duplicate live page."
NATIONAL-INSURANCE-CALCULATOR-001,calculator-tool,OLD_HEBREW_CALCULATOR_URL,"Published old Hebrew calculator; 1778 words; quality 5/10; no internal links","content-quality-audit recommends KEEP_OR_SUPPORT_PILLAR_REVIEW; url-migration-map proposes national-insurance-lawyer but not approved","PROTECT_CALCULATOR_TOOL_REVIEW","Should the calculator remain a standalone tool page or support a future pillar?","OWNER_APPROVAL_REQUIRED","No redirect migration title meta content rewrite canonical sitemap internal-link batch or CMS edit","Calculator/tool intent is not automatically lawyer-service intent."
NATIONAL-INSURANCE-DISABILITY-REGULATIONS-001,law-text-source-support,OLD_HEBREW_DISABILITY_REGULATIONS_URL,"Published old Hebrew regulations page; 24883 words; quality 4/10; outdated; no internal links","content-quality-audit recommends REWRITE; url-migration-map status NEEDS_EDITORIAL_SLUG_MAPPING","LAW_TEXT_SOURCE_SUPPORT_REVIEW","Should this law-text page become source support, be rewritten, or be handled later after legal review?","OWNER_APPROVAL_REQUIRED","No rewrite redirect noindex canonical sitemap title meta or CMS edit","Long legal text is not a pillar by word count alone."
WORK-ACCIDENT-BOUNDARY-001,work-accident-boundary,https://jus-tice.co.il/work-accident-lawyer/,"Future candidate only; current exact clean URL not verified in inventory","GSC checked תאונת עבודה row has 0 clicks and 0 impressions; targeted queue marks work-accident as NOT_VERIFIED_RECHECK","BOUNDARY_REVIEW_REQUIRED","Should work accident belong under personal injury, employment law, national insurance, or an overlap page?","OWNER_APPROVAL_REQUIRED","No page creation migration redirect internal-link sitemap canonical related-card or CMS edit","Do not create or migrate from zero-row evidence alone."
INCOME-PROTECTION-001,private-insurance-boundary,https://jus-tice.co.il/income-protection-insurance/,"Published current clean URL; 778 words; quality 2/10; thin/outdated","content-quality-audit recommends REWRITE; cluster outdated-corona-legacy","OUTDATED_PRIVATE_INSURANCE_REVIEW","Should income-protection insurance stay separate from national insurance public-benefit content?","OWNER_APPROVAL_REQUIRED","No rewrite merge redirect noindex canonical sitemap or CMS edit","Private insurance and public national insurance intent must be separated."
UNEMPLOYMENT-CORONA-LEGACY-001,outdated-unemployment-insurance,EXISTING_UNEMPLOYMENT_INSURANCE_ARTICLE,"Published legacy COVID unemployment-insurance page; 591 words; quality 4/10; thin/outdated","content-quality-audit recommends REWRITE; url-migration-map needs editorial slug mapping","LEGACY_OUTDATED_REVIEW","Should this be preserved, rewritten, noindexed later, or redirected later after traffic review?","OWNER_APPROVAL_REQUIRED","No deletion noindex redirect rewrite canonical sitemap or CMS edit","Do not delete old legal content without approval."
PENSION-INSURANCE-BOUNDARY-001,pension-insurance-boundary,https://jus-tice.co.il/pension-insurance-complete-guide/,"Published current clean URL; 5325 words; quality 6/10; needs classification","content-quality-audit recommends REVIEW_CLASSIFY","CLASSIFY_SEPARATELY","Should pension insurance remain outside the national-insurance cluster unless intent review says otherwise?","OWNER_APPROVAL_REQUIRED","No cluster reassignment related-card redirect sitemap canonical or CMS edit","Likely pension/private-insurance content, not automatic national-insurance support."
NATIONAL-INSURANCE-GSC-001,gsc-evidence-gap,ALL_NATIONAL_INSURANCE_URLS,"Direct GSC query evidence incomplete","Only checked תאונת עבודה row shows GSC_BROWSER_VERIFIED_ZERO_ROWS; national-insurance variants are not fully verified","DIRECT_GSC_SERP_REQUIRED","Approve direct GSC/SERP checks before any public execution?","OWNER_APPROVAL_REQUIRED","No title H1 meta content URL redirect canonical sitemap or CMS edit","Queries needed: עורך דין ביטוח לאומי, ביטוח לאומי, ועדה רפואית, נכות כללית, תאונת עבודה ביטוח לאומי, פגיעה בעבודה."
NATIONAL-INSURANCE-SOURCE-LEGAL-001,source-and-legal-review,ALL_NATIONAL_INSURANCE_URLS,"Source/legal review not complete","National Insurance Institute procedures, medical committees, disability benefits, work injury, unemployment and official forms require source review","SOURCE_LEGAL_REVIEW_REQUIRED","Approve official-source and legal-review checklist before public rewrites?","OWNER_APPROVAL_REQUIRED","No public legal claims rewrite or publish without review","Sensitive public-benefit content needs careful source/legal review."
