practice_area,cluster,subcluster,recommended_article_title_hebrew,recommended_slug_english,search_intent,target_keyword_hebrew,secondary_keywords_hebrew,business_value,lead_value,competition_level,priority,recommended_page_type,pillar_or_support,required_official_sources,recommended_internal_links,recommended_cta,notes,existing_url,gap_type
משפט פלילי,criminal-law,investigation,ייעוץ לפני חקירה במשטרה — מה חשוב לדעת,advice-before-police-interrogation,informational,ייעוץ לפני חקירה,חקירה במשטרה זכויות נחקר,HIGH,HIGH,MEDIUM,CRITICAL,article,SUPPORT,כל-זכות חוק סדר הדין הפלילי,/criminal-lawyer/ /police-investigation/,חיפוש עורך דין פלילי,MISSING — high-intent query with no dedicated article,,NEW_ARTICLE_NEEDED
משפט פלילי,criminal-law,investigation,זכויות נחקר במשטרה — המדריך המלא,rights-of-interrogated-suspect,informational,זכויות נחקר,זכות שתיקה זכות להיוועץ בעורך דין,HIGH,HIGH,MEDIUM,CRITICAL,article,SUPPORT,כל-זכות חוק המעצרים,/criminal-lawyer/ /police-investigation/,ייעוץ לפני חקירה,MISSING — core trust/YMYL content,,NEW_ARTICLE_NEEDED
משפט פלילי,criminal-law,detention,מעצר ימים — כל מה שצריך לדעת,pretrial-detention-days,informational,מעצר ימים,מעצר שחרור חלופת מעצר,HIGH,HIGH,HIGH,CRITICAL,article,SUPPORT,חוק המעצרים פסיקת בית משפט עליון,/criminal-lawyer/ /pretrial-detention/,מצאו עורך דין פלילי,MISSING — pretrial detention subpage,,NEW_ARTICLE_NEEDED
משפט פלילי,criminal-law,indictment,שימוע לפני כתב אישום — איך להיערך,pre-indictment-hearing-preparation,transactional,שימוע לפני כתב אישום,הסדר מותנה סגירת תיק,HIGH,HIGH,MEDIUM,HIGH,article,SUPPORT,חוק סדר הדין הפלילי הנחיות פרקליטות,/criminal-lawyer/ /indictment/,פנייה לייעוץ ראשוני,MISSING — high legal value,,NEW_ARTICLE_NEEDED
משפט פלילי,criminal-law,indictment,הסדר מותנה — מהו ומתי מוצע,conditional-agreement-criminal,informational,הסדר מותנה,סגירת תיק פלילי חלופה לכתב אישום,HIGH,HIGH,LOW,HIGH,article,SUPPORT,הנחיות פרקליטות המדינה,/criminal-lawyer/ /indictment/,ייעוץ לפני שימוע,PARTIAL — existing article may exist,NEEDS_CHECK,VERIFY_EXISTING
משפט פלילי,criminal-law,record,מחיקת רישום פלילי — מתי אפשרי ואיך,expunging-criminal-record,transactional,מחיקת רישום פלילי,רישום פלילי שינוי עילת סגירה,HIGH,HIGH,LOW,HIGH,article,SUPPORT,חוק המרשם הפלילי,/criminal-lawyer/,חיפוש עורך דין,PARTIAL — existing article may exist,NEEDS_CHECK,VERIFY_EXISTING
משפט פלילי,criminal-law,record,רישום פלילי — מה זה ואיך משפיע,criminal-record-explainer,informational,רישום פלילי,השפעת הרשעה עבודה רישיון מקצועי,HIGH,MEDIUM,LOW,HIGH,article,SUPPORT,חוק המרשם הפלילי,/criminal-lawyer/ /expunging-criminal-record/,ייעוץ מוקדם,MISSING — educational content,,NEW_ARTICLE_NEEDED
משפט פלילי,criminal-law,offenses,עבירות סמים — זכויות חשוד ומה לצפות,drug-offenses,informational,עבירות סמים,החזקת סמים סחר בסמים,HIGH,HIGH,MEDIUM,HIGH,article,SUPPORT,פקודת הסמים המסוכנים,/criminal-lawyer/,מצאו עורך דין פלילי,EXISTS_PARTIALLY — verify if content is adequate,http://jus-tice.co.il/drug-offenses/,ENRICH_EXISTING
משפט פלילי,criminal-law,offenses,עבירות אלימות ואיומים — המדריך לנחקר,violence-assault-offenses,informational,עבירות אלימות,איומים תקיפה מעצר בגין אלימות,HIGH,HIGH,MEDIUM,MEDIUM,article,SUPPORT,חוק העונשין,/criminal-lawyer/,חיפוש עורך דין,PARTIAL,,VERIFY_EXISTING
משפט פלילי,criminal-law,offenses,עבירות מין — זכויות חשוד הליך ראייתי,sex-offenses,informational,עבירות מין,הליך פלילי עבירת מין ראיות דיגיטליות,HIGH,HIGH,HIGH,MEDIUM,article,SUPPORT,חוק העונשין,/criminal-lawyer/,ייעוץ מוקדם,SENSITIVE — careful tone required,,VERIFY_EXISTING
משפט פלילי,criminal-law,white-collar,עבירות צווארון לבן — מה לדעת לפני חקירה,white-collar-offenses,informational,עבירות צווארון לבן,עבירות מס הלבנת הון שוחד,HIGH,HIGH,LOW,MEDIUM,article,SUPPORT,חוק ניירות ערך חוק העונשין,/criminal-lawyer/,ייעוץ פלילי כלכלי,MISSING,,NEW_ARTICLE_NEEDED
משפט פלילי,criminal-law,youth,עבירות נוער — ייצוג קטין בהליך פלילי,juvenile-criminal-offenses,informational,עבירות נוער,קטין חקירת נוער הורים,HIGH,MEDIUM,LOW,MEDIUM,article,SUPPORT,חוק הנוער שפיטה ענישה ודרכי טיפול,/criminal-lawyer/,ייעוץ לקטין והוריו,MISSING,,NEW_ARTICLE_NEEDED
משפט פלילי,criminal-law,appeal,ערעור פלילי — מתי ואיך מגישים,criminal-appeal,informational,ערעור פלילי,ערעור על הכרעת דין ערעור על עונש,MEDIUM,MEDIUM,LOW,MEDIUM,article,SUPPORT,חוק סדר הדין הפלילי,/criminal-lawyer/ /indictment/,ייעוץ לאחר הרשעה,MISSING,,NEW_ARTICLE_NEEDED
