id,path,role,status,gate,title,h1,word_estimate,export_match_count,incoming_internal_link_count,outgoing_cluster_link_count,overlap_risk,decision,protected_intent,allowed_relationship,editor_instruction,public_action_approved
ROUTE-01,/divorce-lawyer-tel-aviv/,target_private_candidate,404,PASS_TARGET_NOT_PUBLIC_200,Page not found | Jus-Tice.co.il,העמוד לא נמצא,290,0,0,0,none_while_404,KEEP_PRIVATE_DRAFT_ONLY,future local fit-check and preparation page only,No public route until owner/SEO/legal approval.,confirm target is not already public before private drafting continues,no
ROUTE-02,/divorce-lawyer/,central_divorce_pillar,200,PASS_PILLAR_REACHABLE,"איך לבחור עורך דין גירושין | ניסיון, מחיר ושאלות נכונות | Jus-Tice","איך לבחור עורך דין גירושין | ניסיון, מחיר ושאלות נכונות | Jus-Tice",4066,1,6,0,high_if_local_page_repeats_broad_guide,PRESERVE_AS_PRIMARY_PILLAR,"broad divorce-lawyer guidance, experience, price and decision questions",Local page may link to this as the main divorce guide; broad how-to-choose content stays here.,protect from local-page duplication and send broad intent here,no
ROUTE-03,/family-law/,family_law_hub,200,LIVE_ASSOCIATED_PAGE_REVIEW,דיני משפחה וגירושין | עורך דין לענייני משפחה | Jus-Tice,דיני משפחה,5824,1,0,0,medium_if_local_page_becomes_family_hub,PRESERVE_AS_FAMILY_HUB,general family-law category and related family disputes,Potential supporting link only after approval; do not duplicate family-law overview.,check whether family-law hub should link to the eventual local page only after approval,no
ROUTE-04,/child-custody/,specific_family_issue,200,LIVE_ASSOCIATED_PAGE_REVIEW,משמורת ילדים וזמני שהות: איך מתכננים הסדר שמתאים לילדים | Jus-Tice,משמורת ילדים וזמני שהות: איך מתכננים הסדר שמתאים לילדים,3253,1,6,0,medium_if_local_page_adds_issue_advice,PROTECT_ISSUE_SPECIFIC_PAGE,custody or other specific family-law issue intent,Mention only as a possible related topic; link only if legal/editor review approves.,do not absorb custody advice into the Tel Aviv divorce page,no
ROUTE-05,/child-support-calculator-2023/,calculator_specific_intent,200,LIVE_ASSOCIATED_PAGE_REVIEW,מחשבון מזונות ילדים 2023 | Jus-Tice.co.il,מחשבון מזונות ילדים 2023,863,0,0,0,high_if_local_page_adds_calculator_or_formula_claims,PROTECT_CALCULATOR_INTENT,child-support calculation intent,Do not summarize calculation logic; link later only if the user task genuinely needs it.,link only if user task genuinely needs child-support calculation context,no
ROUTE-06,/divorce-mediation/,mediation_specific_intent,200,LIVE_ASSOCIATED_PAGE_REVIEW,"גישור גירושין: מתי זה נכון, איך מתכוננים ומה חשוב לבדוק | Jus-Tice","גישור גירושין: מתי זה נכון, איך מתכוננים ומה חשוב לבדוק",4282,1,6,0,medium_if_local_page_becomes_mediation_guide,PROTECT_MEDIATION_INTENT,divorce mediation guide intent,Do not explain mediation process beyond a review-only related-page pointer.,avoid making the Tel Aviv page a mediation guide,no
ROUTE-07,/what-is-a-divorce-settlement-agreement/,settlement_agreement_article,200,LIVE_ASSOCIATED_PAGE_REVIEW,מהו הסכם גירושין | מה צריך לכלול הסכם הסדר גירושין?| Jus-Tice.co.il,הסכם גירושין,1193,1,3,0,medium_if_local_page_explains_agreement_terms,PROTECT_SETTLEMENT_EXPLANATION,settlement agreement explanation intent,May inform the document checklist after legal/editor review; avoid agreement drafting advice.,can support document checklist only after legal/editor review,no
ROUTE-08,/free-divorce-agreement-template/,template_article,200,LIVE_ASSOCIATED_PAGE_REVIEW,הסכם גירושין דוגמא | תבנית הסכם גירושין | טופס הסכם גירושין בחינם | Jus-Tice.co.il,הסכם גירושין דוגמא | תבנית הסכם גירושין | טופס הסכם גירושין בחינם,1791,1,3,0,high_if_local_page_promises_template_suffices,PROTECT_TEMPLATE_INTENT,free divorce agreement template intent,Do not imply template is enough; link only after owner/legal approval.,avoid promising that a template is enough for a local case,no
ROUTE-09,/how-much-does-a-divorce-agreement-cost/,cost_article,200,LIVE_ASSOCIATED_PAGE_REVIEW,כמה עולה הסכם גירושין? | עלות הסכם גירושין | Jus-Tice.co.il,כמה עולה הסכם גירושין? | עלות הסכם גירושין,1050,1,3,0,high_if_local_page_adds_prices,PROTECT_COST_INTENT,divorce agreement cost and price comparison intent,No price claims; link only if owner/legal approves exact cost wording.,do not copy price claims into a local lawyer page without review,no
ROUTE-10,/lawyers/?city=tel-aviv&area=family-law,filtered_lawyer_directory,200,LIVE_ASSOCIATED_PAGE_REVIEW,עורך דין דיני משפחה בתל אביב | Jus-Tice,עורך דין דיני משפחה בתל אביב,764,0,7,0,low_if_used_as_directory_path,USE_CANONICAL_AREA_DIRECTORY_ONLY,lawyer directory filtering for Tel Aviv family law,Use as canonical filtered lawyer path in private planning only.,canonical directory evidence route; public draft stays blocked until real filtered lawyer readiness is verified,no
ROUTE-11,/lawyers/?city=tel-aviv&practice=family-law,unsupported_directory_alias,200,LIVE_ASSOCIATED_PAGE_REVIEW,עורכי דין בתל אביב | Jus-Tice,עורכי דין בתל אביב,756,0,7,0,high_if_used_as_coverage_proof,EXCLUDE_FROM_DRAFT_LINK_PLAN,none; unsupported alias is city-only/generic in current checks,QA warning only; do not use in draft or public internal links.,keep this out of publication gates unless a public alias fix is approved,no
