post_id,title,current_url,word_count,depth_score,subtopic,article_type,decision,target_id,target_title,quality_status,notes
1819,בע״ם 919/15 | הלכת המזונות החדשה,http://jus-tice.co.il/psakdin/בעם-919-15-הלכת-המזונות-החדשה,39820,55,child_support,guide,SUPPORT,1728,משמורת מזונות | ההלכה החדשה במזונות 919/15,STRONG,Good supporting article — link to pillar 1728
12535,עקרונות הלכתיים ויישום קביעתם של הסדרי השהות בגירושין על פי טובת הילד | חיובי המזונות היקפם וחלוקתם,http://jus-tice.co.il/1360470/5,51223,35,child_support,guide,UPGRADE_OR_MERGE,1728,משמורת מזונות | ההלכה החדשה במזונות 919/15,STRONG,Content thin — upgrade to standalone or merge into pillar 1728
2874,מעמדן של התחייבויות למזונות שבהסכם והעילות לביטולן או שינויין מכוח שינוי נסיבות,http://jus-tice.co.il/מזונות-שבהסכם-והעילות-לביטולן-או-שינויין-מכוח-שינוי-נסיבות,32483,35,child_support,guide,UPGRADE_OR_MERGE,1728,משמורת מזונות | ההלכה החדשה במזונות 919/15,STRONG,Content thin — upgrade to standalone or merge into pillar 1728
7256,רבני מזונות ילדים יסודות חיוב בדמי טיפול,http://jus-tice.co.il/articles/רבני-מזונות-ילדים-יסודות-חיוב-בדמי-טיפ,15960,35,child_support,guide,UPGRADE_OR_MERGE,1728,משמורת מזונות | ההלכה החדשה במזונות 919/15,STRONG,Content thin — upgrade to standalone or merge into pillar 1728
6435,זכויות רכוש משמורת ומזונות ידועים בציבור,http://jus-tice.co.il/פסיקה-תביעות-רכוש-משמורת-ומזונות-לידועים-בציבור,11944,35,child_support,guide,UPGRADE_OR_MERGE,1728,משמורת מזונות | ההלכה החדשה במזונות 919/15,STRONG,Content thin — upgrade to standalone or merge into pillar 1728
6903,"קביעת גדר חיוב האב במזונות קטנים מעל גיל שש, על פי שיטת הרשבא",http://jus-tice.co.il/articles/קביעת-גדר-חיוב-האב-במזונות-קטנים-מעל-גי,11467,35,child_support,guide,UPGRADE_OR_MERGE,1728,משמורת מזונות | ההלכה החדשה במזונות 919/15,STRONG,Content thin — upgrade to standalone or merge into pillar 1728
5351,תביעות בין בני זוג לשעבר על מזונות ומשמורת על בת קטינה משותפת,http://jus-tice.co.il/בני-זוג-לשעבר-תביעות-מזונות-ומשמורת-על-בת-קטינה,8708,35,child_support,guide,UPGRADE_OR_MERGE,1728,משמורת מזונות | ההלכה החדשה במזונות 919/15,STRONG,Content thin — upgrade to standalone or merge into pillar 1728
1714,"תביעה למזונות אישה וקטינות, תביעה למשמורת קטינות ותביעה רכושית",https://jus-tice.co.il/articles/תביעה-למזונות-אישה-וקטינות,3633,35,child_support,guide,UPGRADE_OR_MERGE,1728,משמורת מזונות | ההלכה החדשה במזונות 919/15,STRONG,Content thin — upgrade to standalone or merge into pillar 1728
6610,שלילת מזונות קטין כשהאמא מסרבת להפגיש אותו עם אביו בניגוד להחלטות בית הדין הרבני,http://jus-tice.co.il/שלילת-מזונות-קטין-כשהאמא-מסרבת-להפגיש-אותו-עם-אביו-בניגוד-להחלטות-בית-הדין-הרבני,1260,21,child_support,guide,UPGRADE_OR_MERGE,1728,משמורת מזונות | ההלכה החדשה במזונות 919/15,GOOD_BUT_NEEDS_UPDATE,Content thin — upgrade to standalone or merge into pillar 1728
11603,פירוק שיתוף הצהרתי מזונות אשה וקטינים (תלה&#8221;מ 22950-11-20) | פסק דין כב&#8217; שופטת גילה ספרא ברנע,http://jus-tice.co.il/decision22950-11-20,13346,55,child_support,case_law,CASE_LAW_KEEP,1728,משמורת מזונות | ההלכה החדשה במזונות 919/15,STRONG,"Substantial court ruling — keep as case law, link from child_support pillar"
12975,פס&#8221;ד ביטול החלטה לשלום בית ; הקפאת תשלום מזונות אישה,http://jus-tice.co.il/1396562-2,10197,55,child_support,case_law,CASE_LAW_KEEP,1728,משמורת מזונות | ההלכה החדשה במזונות 919/15,STRONG,"Substantial court ruling — keep as case law, link from child_support pillar"
6412,השופטת הבכירה שושנה ברגר: פס&#8221;ד בשתי תובענות בנושא גביית מזונות וביטול הסכם חלוקת עיזבון,http://jus-tice.co.il/פסד-בשתי-תובענות-בנושא-גביית-מזונות-וביטול-הסכם-חלוקת-עיזבון,6992,55,child_support,case_law,CASE_LAW_KEEP,1728,משמורת מזונות | ההלכה החדשה במזונות 919/15,STRONG,"Substantial court ruling — keep as case law, link from child_support pillar"
11993,בג&#8221;ץ 5988-21     פלוני נ. פלוני     (19.02.2025) | סמכות בית דין רבני מזונות ילדים,http://jus-tice.co.il/5988-21,16984,53,child_support,case_law,CASE_LAW_KEEP,1728,משמורת מזונות | ההלכה החדשה במזונות 919/15,STRONG,"Substantial court ruling — keep as case law, link from child_support pillar"
6511,&#8216;סמכות בית הדין בעניין מזונות הילדים לאחר הלכת שרגאי – בחינת ההלכות המשפטיות הוותיקות והחדשות ומעמדן &#8211; 1250217-3 &#8211; ביה&#8221;ד הגדול&#8217;,http://jus-tice.co.il/articles/סמכות-בית-הדין-בעניין-מזונות-הילדים-לא,28509,49,child_support,case_law,CASE_LAW_KEEP,1728,משמורת מזונות | ההלכה החדשה במזונות 919/15,STRONG,"Substantial court ruling — keep as case law, link from child_support pillar"
5655,תביעת האשה ל&#8221;השבת הוצאות&#8221; של מזונות קטינים,http://jus-tice.co.il/תביעת-האשה-להשבת-הוצאות-של-מזונות-קטינים,6648,49,child_support,case_law,CASE_LAW_KEEP,1728,משמורת מזונות | ההלכה החדשה במזונות 919/15,STRONG,"Substantial court ruling — keep as case law, link from child_support pillar"
5463,חיוב אם במזונות: תביעה למזונות והחזר כספים (תלה&#8221;מ 31090-06-17),http://jus-tice.co.il/psakdin/חיוב-אם-במזונות-תביעה-למזונות-והחזר-כס,6224,49,child_support,case_law,CASE_LAW_KEEP,1728,משמורת מזונות | ההלכה החדשה במזונות 919/15,STRONG,"Substantial court ruling — keep as case law, link from child_support pillar"
12650,תיק 1495176/4 יולי 2025 | שאלת סמכות בית הדין האזורי לדון בעניין מזונות הילדים,http://jus-tice.co.il/1495176/4,5952,49,child_support,case_law,CASE_LAW_KEEP,1728,משמורת מזונות | ההלכה החדשה במזונות 919/15,STRONG,"Substantial court ruling — keep as case law, link from child_support pillar"
7208,חיוב מזונות קטני קטנים מחיוב משפטי או מדין צדקה? תיק 1190454/6,http://jus-tice.co.il/האם-תשלם-מזונות-ילדים-בית-דין-רבני-2022,13961,43,child_support,case_law,CASE_LAW_KEEP,1728,משמורת מזונות | ההלכה החדשה במזונות 919/15,STRONG,"Substantial court ruling — keep as case law, link from child_support pillar"
6613,חישוב מזונות הילדים– האם לפי צריכה בפועל או ערך שולי?  תיק 1161022/12,http://jus-tice.co.il/מזונות-הילדים-האם-לפי-צריכה-בפועל-או-ערך-שולי,36946,35,child_support,case_law,CASE_LAW_KEEP,1728,משמורת מזונות | ההלכה החדשה במזונות 919/15,STRONG,"Substantial court ruling — keep as case law, link from child_support pillar"
7002,"מזונות הילדים – תשלום פעוטון, צהרון ומחציות &#8211; 1161022-12 &#8211; ביה&#8221;ד באר שבע",http://jus-tice.co.il/articles/מזונות-הילדים-תשלום-פעוטון-צהרון-ומ,15776,35,child_support,case_law,CASE_LAW_KEEP,1728,משמורת מזונות | ההלכה החדשה במזונות 919/15,STRONG,"Substantial court ruling — keep as case law, link from child_support pillar"
9002,השופטת אורית בן דור ליבל: פס&#8221;ד שעניינו לאיזון משאבים ולחלוקת רכוש ובתביעה למזונות ילדים בין בני זוג לשעבר (תלה&#8221;מ 3859-11-20),http://jus-tice.co.il/3859-11-20,15049,35,child_support,case_law,CASE_LAW_KEEP,1728,משמורת מזונות | ההלכה החדשה במזונות 919/15,STRONG,"Substantial court ruling — keep as case law, link from child_support pillar"
8344,פס&#8221;ד בתביעה להפחתת מזונות ילדים שנקבעו בהסכם פרידה ויחסי ממון (תלה&#8221;מ 41188-08-20),http://jus-tice.co.il/psakdin/פסד-בתביעה-להפחתת-מזונות-ילדים-שנקבעו,8462,35,child_support,case_law,CASE_LAW_KEEP,1728,משמורת מזונות | ההלכה החדשה במזונות 919/15,STRONG,"Substantial court ruling — keep as case law, link from child_support pillar"
7254,"השופטת הילה גורביץ עובדיה: פס&#8221;ד שעניינו בתביעת מזונות, זמני שהות שווים, אך בין ההורים פערי הכנסה משמעותיים (תלה&#8221;מ 5987-10-16)",http://jus-tice.co.il/decision5987-10-16,6985,35,child_support,case_law,CASE_LAW_KEEP,1728,משמורת מזונות | ההלכה החדשה במזונות 919/15,STRONG,"Substantial court ruling — keep as case law, link from child_support pillar"
