query,clicks,impressions,ctr,position
רשות ניירות ערך בעלי תפקידים,4,18,0.2222222222222222,2.9444444444444446
חיפוש עורך דין לפי שם,3,571,0.005253940455341506,8.152364273204903
ייעוץ עורך דין אונליין חינם,3,78,0.038461538461538464,11.08974358974359
רעות קסלר,3,30,0.1,3.3666666666666667
הסכם גירושין דוגמא doc,2,42,0.047619047619047616,11.642857142857142
חיפוש עורכי דין,2,256,0.0078125,10.00390625
jus tice,1,1,1,1
oui,1,1,1,1
איתור עורך דין,1,341,0.002932551319648094,7.105571847507331
ארז מלמד שופט,1,1,1,21
אריאל ממן שופט,1,42,0.023809523809523808,9.19047619047619
השופט אריאל ממן,1,29,0.034482758620689655,10.758620689655173
השופטת אורית ליפשיץ,1,3,0.3333333333333333,8
השופטת רונית גורביץ,1,11,0.09090909090909091,6.636363636363637
חיפוש עורך דין,1,226,0.004424778761061947,8.190265486725664
מאגר משפטי חינם,1,4,0.25,33.5
מציאת עורך דין,1,33,0.030303030303030304,7.212121212121212
נאיל מהנא,1,1,1,46
סעיף 63 לפקודת התעבורה,1,1,1,43
עורכי דין מומלצים,1,81,0.012345679012345678,16.987654320987655
קורסים לעורכי דין,1,14,0.07142857142857142,19.428571428571427
רשות ניירות ערך טלפון,1,13,0.07692307692307693,15.692307692307692
רשות ניירות ערך מחלקת תאגידים,1,21,0.047619047619047616,4.238095238095238
"""+30 231 231 2405""",0,2,0,2.5
"""nalp"" ""class of 2024"" ""mid-atlantic"" ""94.9%""",0,4,0,9.5
"""r 8"" ""u 9"" ""l 9"" ""d 8"" ""l 2""",0,2,0,7.5
"""visit website"" ""post permalink"" ""welcome, visitor!"" fantasy video",0,1,0,6
"""בית משפט""",0,3,0,29.666666666666668
"""חוק המרשם הפלילי ותקנת השבים"" סעיף 14 15 16 17 18",0,2,0,9.5
"""טרקטור משא"" תקנות התעבורה",0,2,0,8.5
"""עוסק זעיר"" פיצול מלאכותי בני זוג",0,1,0,11
"""רשלנות רפואית הגדרה""",0,264,0,13.878787878787879
"""תפסיק להתראיין רק טיק טוק טוב לך תעלה את הערך שלך כולם איתך אלון""",0,1,0,8
#justiceforatifali,0,1,0,1
#justiceforatifaliqadri,0,1,0,1
#justicefordeon,0,1,0,2
#justiceforrishabh,0,1,0,1
#justiceforrubail,0,1,0,1
#justiceforshandi,0,1,0,2
121-34,0,3,0,28
1ynet,0,1,0,65
"29,440/12",0,2,0,28
30. איזה תמרור מורה לעבור מקום מסומן מצדו השמאלי בלבד? 215 123 214 213,0,5,0,28
35787-02,0,8,0,54.875
418 תמרור,0,1,0,80
513936807,0,2,0,21
7023,0,2,0,1
[משכנתא לאזרח ותיק],0,1,0,85
anesthesia מה זה,0,1,0,18
apostille מה זה,0,2,0,41
association of lawyers,0,2,0,13
athens attorneys,0,1,0,88
athens bar association lawyer search,0,1,0,5
attorneys in athens,0,1,0,92
attorneys in greece,0,1,0,18
attorneys in italy,0,4,0,95.25
attorneys in law,0,1,0,29
attorneys of law,0,1,0,29
booking מספר טלפון,0,1,0,69
business and commercial law consulting services market,0,13,0,24.307692307692307
c.p,0,1,0,59
chambers,0,2,0,9
chambers and,0,1,0,19
chambers and partners,0,2,0,17
chambers and partners band 1,0,1,0,8
chambers and partners israel,0,3,0,24.666666666666668
chambers israel,0,2,0,30.5
chambers justin,0,1,0,100
cio שכר,0,1,0,96
civil attorney greece,0,4,0,25.75
claim justice israel,0,1,0,38
cms law firm,0,5,0,7.6
cms tel aviv,0,1,0,41
corporate legal advisory services comparison by industry,0,1,0,19
corporate legal advisory services comparisons by industry,0,14,0,18.071428571428573
court of justice,0,1,0,4
cp,0,27,0,56.77777777777778
dhl ישראל הזמנת איסוף,0,1,0,56
doctors - גירושין: בלי לפגוע בילדים,0,6,0,65.83333333333333
email,0,1,0,4
emmanouil peponas,0,8,0,49.375
english speaking lawyers in greece,0,1,0,63
extra members עורכי דין,0,1,0,33
find a lawyer greece,0,1,0,47
find lawyer,0,2,0,71.5
find lawyers,0,3,0,79.66666666666667
google jus,0,1,0,8
greek american lawyers,0,3,0,80
hall of justice,0,1,0,6
hastings lawyer,0,1,0,88
how many law firms are in the united states,0,2,0,53
how many law firms are in the us,0,1,0,54
how many law firms are there in the united states,0,1,0,37
how many law firms are there in the us,0,5,0,36
how many law firms in the us,0,4,0,39.5
how many law firms in us,0,1,0,12
how to determine if a law firm is headquartered or primarily operating in the united states,0,1,0,10
https://www.isa.gov.il,0,1,0,8
https://www.isa.gov.il/,0,4,0,9.5
ibisworld law firms in the us number of businesses 2024,0,6,0,7.666666666666667
ibisworld law firms in the us number of businesses 2025,0,3,0,9
ibisworld personal injury lawyers revenue 2023,0,1,0,10
iflr1000,0,4,0,8
images,0,1,0,10
in us?,0,1,0,15
international court of justice isreal,0,1,0,13
isa.gov.il,0,1,0,10
israel court of justice,0,1,0,13
israel criminal,0,1,0,3
italian lawyers,0,1,0,101
italy lawyers,0,20,0,86.65
j.u.s.t.i.c.e.,0,1,0,55
jastice,0,3,0,2.666666666666667
juctice,0,1,0,8
jus,0,1,0,9
jus-tice.co.il,0,1,0,1
jusics,0,1,0,73
justic,0,3,0,9
justice,0,95,0,10.947368421052632
justice israel,0,2,0,7
justice sms,0,1,0,11
justice sms מה זה,0,1,0,1
justicemogged,0,1,0,2
justicetale,0,1,0,3
justiz,0,22,0,2.409090909090909
justoce,0,1,0,4
jusyice,0,1,0,12
law firm industry,0,2,0,33
law firm industry analysis,0,1,0,77
law firm italy,0,4,0,93.75
law firms in greece,0,1,0,80
lawyer,0,1,0,2
lawyer directory,0,1,0,33
lawyers greece,0,1,0,30
lawyers in athens,0,1,0,58
lawyers in athens greece,0,6,0,72.33333333333333
lawyers in crete greece,0,1,0,109
lawyers in greece,0,4,0,52.25
lawyers in italy,0,22,0,94.36363636363636
lawyers in venice italy,0,14,0,54.642857142857146
lawyers organization,0,1,0,10
legal aid israel,0,1,0,13
legal services by industry,0,4,0,44.5
legtis,0,1,0,10
list of italian lawyers,0,2,0,57
local attorneys athens,0,2,0,98
local attorneys greece,0,6,0,47
local law offices greece,0,1,0,25
meuhedet app טיפת חלב,0,1,0,43
military lawyer,0,1,0,38
napyh,0,3,0,73
nhxho,0,1,0,12
"north american legal services company with 11 to 500 employees, excluding thyberglaw and its subsidiaries",0,1,0,5
nso כתובת,0,1,0,36
number of law firms in the us,0,9,0,29
number of law firms in us,0,1,0,89
nv zv tpuxyhk,0,2,0,48.5
nx acj,0,1,0,25
nx vfbxv,0,3,0,48.333333333333336
nx vfbxv bhfuhho,0,2,0,61
plaquenil תופעות לוואי,0,1,0,87
prysoline תרופה,0,1,0,71
quala salaries,0,2,0,19
sedentary תרגום,0,1,0,24
seo טכני,0,14,0,55.357142857142854
"seo טכני,-",0,4,0,56
site:shared-parenting.co.il,0,2,0,35
tax.gov.il,0,2,0,92.5
ten legal firm areas of expertise,0,5,0,6.4
tice,0,12,0,8.333333333333332
tjus,0,1,0,3
us embassy lawyers list,0,1,0,4
us firms,0,1,0,112
we are social! follow us for new exciting features share them anytime,0,1,0,43
who's this phone number,0,1,0,7
www mot gov il תשלום רישיון רכב,0,4,0,71.5
www.court.gov.il,0,1,0,75
xsrtv,0,2,0,30
xxvxxs,0,1,0,68
yמ,0,10,0,9
אבדן כושר עבודה,0,2,0,76.5
אבי לוי שופט,0,1,0,43
אבי מוטולה בת זוג,0,1,0,39
אביגדור דורות,0,21,0,11
אביגדור דורות שופט,0,5,0,8
אביגיל שיינין,0,1,0,98
אביחי אביעד,0,1,0,77
אביחי חכמון רואה חשבון,0,1,0,49
אביים ברקאי,0,3,0,55.666666666666664
אבישי רובס,0,1,0,42
אגרות אפוסטיל,0,1,0,66
אגרת אישור הסכם גירושין,0,1,0,44
אגרת אפוסטיל בית משפט,0,1,0,40
אגרת רישום הערת אזהרה 2025,0,21,0,45.333333333333336
אדירה כסף 2025,0,1,0,10
אובדן כושר עבודה,0,157,0,69.14649681528662
אובדן כושר עבודה פרטי,0,1,0,89
אובליגטורית,0,1,0,48
אוטומציה+של+מקצוע+עריכת+הדין,0,1,0,92
אופטימיזציה במנועי חיפוש,0,182,0,27.75824175824176
אופטימיזציה לקוד האתר,0,1,0,85
אופנוע לפי תקנה 177,0,1,0,79
"אופנוע מעל 47 כ""ס",0,2,0,76
אורית בן דור ליבל,0,2,0,76
אורית גרינברג,0,1,0,55
אורית ליפשיץ,0,8,0,10.625
אורית ליפשיץ שופטת,0,13,0,8.384615384615385
אורית שמאי,0,1,0,57
אורן ורסנו,0,1,0,63
אזהרת מירנדה,0,3,0,29.333333333333332
אזור מס הכנסה,0,1,0,62
אזרחות גרמנית מתוקף נישואין,0,2,0,90.5
אזרחות הונגרית לבן זוג,0,7,0,57
אזרחות מלטה,0,2,0,37
אחוז הגירושין בישראל הלשכה המרכזית לסטטיסטיקה,0,2,0,29
אחוזה באנגלית,0,1,0,73
אחוזי הרשעה בישראל,0,1,0,19
אחות בעלת רישיון,0,16,0,28.625
אחריות בעל מקרקעין בנזיקין,0,4,0,31
אחריות עורך דין בעסקת מקרקעין,0,8,0,64.125
אי אחיזת הגה בשתי ידיים,0,1,0,79
אי הגשת התנגדות לצוואה במועד דחיית תביעה,0,2,0,27
