"query","date_range","breakdown","total_clicks","total_impressions","total_ctr","total_position","page_url","page_clicks","page_impressions","page_ctr","page_position","classification","recommended_action","traffic_risk","status","notes"
"מזונות משותפת","Last 3 months","Pages","0","0","0%","0","NONE_VISIBLE","0","0","0%","0","NO_VISIBLE_SIGNAL","RECHECK_VARIANTS;DO_NOT_PRIORITIZE_FROM_THIS_FILTER_ALONE","UNKNOWN","GSC_BROWSER_VERIFIED_ZERO_ROWS","No visible GSC rows for this child-support sub-variant in the checked browser filter."
"הפחתת מזונות","Last 3 months","Pages","0","0","0%","0","NONE_VISIBLE","0","0","0%","0","NO_VISIBLE_SIGNAL","RECHECK_VARIANTS;DO_NOT_PRIORITIZE_FROM_THIS_FILTER_ALONE","UNKNOWN","GSC_BROWSER_VERIFIED_ZERO_ROWS","No visible GSC rows for this child-support reduction query in the checked browser filter."
"שינוי מזונות","Last 3 months","Pages","0","0","0%","0","NONE_VISIBLE","0","0","0%","0","NO_VISIBLE_SIGNAL","RECHECK_VARIANTS;DO_NOT_PRIORITIZE_FROM_THIS_FILTER_ALONE","UNKNOWN","GSC_BROWSER_VERIFIED_ZERO_ROWS","No visible GSC rows for this child-support change query in the checked browser filter."
"הלכת המזונות החדשה","Last 3 months","Pages","0","0","0%","0","NONE_VISIBLE","0","0","0%","0","NO_VISIBLE_SIGNAL","RECHECK_VARIANTS;DO_NOT_PRIORITIZE_FROM_THIS_FILTER_ALONE","UNKNOWN","GSC_BROWSER_VERIFIED_ZERO_ROWS","No visible GSC rows for this doctrine/new-child-support-law wording in the checked browser filter."
"בע""מ 919/15","Last 3 months","Pages","0","0","0%","0","NONE_VISIBLE","0","0","0%","0","NO_VISIBLE_SIGNAL","RECHECK_VARIANTS;DO_NOT_PRIORITIZE_FROM_THIS_FILTER_ALONE","UNKNOWN","GSC_BROWSER_VERIFIED_ZERO_ROWS","The gershayim spelling variant also returned no visible rows in this browser filter."
"משמורת בלעדית לאם","Last 3 months","Pages","0","107","0%","9.6","https://jus-tice.co.il/משמורת-בלעדית-לאם-ושיתופיות-יחסית-במסגרת-איזון-משאבים-תלהמ-37049-07-18/","0","107","0%","9.6","POSITION_5_20;URL_MIGRATION_RISK;CASE_LAW_SUPPORT","DO_NOT_TOUCH_HIGH_POSITION_URL;MERGE_REVIEW;LINK_TO_CHILD_CUSTODY_PRIMARY","HIGH","GSC_BROWSER_VERIFIED","A case-oriented old Hebrew URL owns the visible sole-mother custody sub-intent and ranks around position 9.6; protect before any URL/content change."
"חקירה במשטרה","Last 3 months","Pages","0","0","0%","0","NONE_VISIBLE","0","0","0%","0","NO_VISIBLE_SIGNAL","RECHECK_CRIMINAL_VARIANTS;DO_NOT_PRIORITIZE_FROM_THIS_FILTER_ALONE","UNKNOWN","GSC_BROWSER_VERIFIED_ZERO_ROWS","No visible rows for this police-investigation support query in the checked browser filter."
"עבירות סמים","Last 3 months","Pages","0","2","0%","65.5","https://jus-tice.co.il/decision6077-20/","0","1","0%","39.0","LOW_SAMPLE_CANNIBALIZATION_RISK;CASE_LAW_SUPPORT","PLAN_DRUG_OFFENSES_SUPPORT;ADD_INTERNAL_LINKS;RECHECK_VARIANTS","LOW","GSC_BROWSER_VERIFIED","Very low sample; a case-law page appears for drug-offense intent and should not be treated as the primary support page."
"עבירות סמים","Last 3 months","Pages","0","2","0%","65.5","https://jus-tice.co.il/משרד-עורכי-דין-פלילי-הכי-טוב-תל-אביב/","0","1","0%","92.0","LOW_SAMPLE_CANNIBALIZATION_RISK;CRIMINAL_LAWYER_OVERLAP","PLAN_DRUG_OFFENSES_SUPPORT;LINK_TO_CRIMINAL_LAWYER;RECHECK_VARIANTS","LOW","GSC_BROWSER_VERIFIED","Very low sample; old criminal-lawyer page appears weakly for drug-offense intent."
"נהיגה בשכרות","Last 3 months","Pages","0","7","0%","54","https://jus-tice.co.il/revocation-of-a-will-and-reviving-previous-will/","0","7","0%","54.0","WRONG_PAGE_MATCH","PLAN_DRUNK_DRIVING_SUPPORT;DO_NOT_OPTIMIZE_WILL_PAGE_FOR_TRAFFIC;ADD_INTERNAL_LINKS_AFTER_REVIEW","LOW","GSC_BROWSER_VERIFIED","Drunk-driving query maps to a will-revocation page; this is a wrong-page match and a traffic-law support content gap."
