page,device,clicks,impressions,ctr,position
https://jus-tice.co.il/,DESKTOP,8,2562,0.31%,23.4
https://jus-tice.co.il/,MOBILE,7,1439,0.49%,11.5
https://jus-tice.co.il/wp-content/uploads/2022/06/06102016_1.pdf,DESKTOP,4,105,3.81%,19.1
https://jus-tice.co.il/wp-content/uploads/2022/06/06102016_1.pdf,MOBILE,4,75,5.33%,6.9
https://jus-tice.co.il/wp-content/uploads/2021/03/%D7%A0%D7%95%D7%A1%D7%97-%D7%94%D7%A1%D7%9B%D7%9D-%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%93%D7%95%D7%92%D7%9E%D7%90-2021.docx,MOBILE,2,288,0.69%,43.0
https://jus-tice.co.il/62758-11-22/,DESKTOP,1,22,4.55%,26.5
https://jus-tice.co.il/62758-11-22/,MOBILE,1,77,1.30%,9.3
https://jus-tice.co.il/court-judge/,MOBILE,1,45,2.22%,17.0
https://jus-tice.co.il/court-judge/,TABLET,1,1,100.00%,21.0
https://jus-tice.co.il/decision55016-06-17a/,MOBILE,1,20,5.00%,15.3
https://jus-tice.co.il/decision67437-12-18/,DESKTOP,1,10,10.00%,38.2
https://jus-tice.co.il/legal-courses-for-lawyers/,TABLET,1,1,100.00%,11.0
https://jus-tice.co.il/wp-content/uploads/2020/01/hana_v9.32.88s.pdf,DESKTOP,1,392,0.26%,57.4
https://jus-tice.co.il/wp-content/uploads/2022/06/06102016_1.pdf,TABLET,1,1,100.00%,1.0
https://jus-tice.co.il/,TABLET,0,11,0.00%,5.1
https://jus-tice.co.il/%D7%90%D7%97%D7%A8%D7%99%D7%95%D7%AA-%D7%94%D7%91%D7%A2%D7%9C-%D7%9C%D7%97%D7%95%D7%91%D7%95%D7%AA-%D7%90%D7%A9%D7%AA%D7%95-%D7%A2%D7%9C-%D7%A4%D7%99-%D7%93%D7%99%D7%9F-%D7%AA%D7%95%D7%A8%D7%94-%D7%95%D7%A2%D7%9C-%D7%A4%D7%99-%D7%97%D7%95%D7%A7-%D7%99%D7%97%D7%A1%D7%99-%D7%9E%D7%9E%D7%95%D7%9F-%D7%96%D7%9B%D7%95%D7%99%D7%95%D7%AA-%D7%95%D7%97%D7%95%D7%91%D7%95%D7%AA-%D7%91%D7%9E%D7%A2%D7%A8%D7%9B%D7%AA-%D7%99%D7%97%D7%A1%D7%99%D7%9D-%D7%A9%D7%91%D7%94-%D7%94%D7%90%D7%99%D7%A9%D7%94-%D7%94%D7%99%D7%90-%D7%94%D7%9E%D7%A4%D7%A8%D7%A0%D7%A1%D7%AA/,DESKTOP,0,9,0.00%,62.0
https://jus-tice.co.il/%D7%90%D7%99%D7%96%D7%95%D7%9F-%D7%9E%D7%A9%D7%90%D7%91%D7%99%D7%9D-%D7%9B%D7%A1%D7%A4%D7%99%D7%9D-%D7%94%D7%9E%D7%A6%D7%95%D7%99%D7%99%D7%9D-%D7%91%D7%97%D7%A9%D7%91%D7%95%D7%A0%D7%95%D7%AA-%D7%91%D7%9F-%D7%96%D7%95%D7%92-%D7%94%D7%91%D7%A8%D7%97%D7%AA-%D7%A0%D7%9B%D7%A1%D7%99%D7%9D/,DESKTOP,0,19,0.00%,74.1
