"query","date_range","breakdown","total_clicks","total_impressions","total_ctr","total_position","page_url","page_clicks","page_impressions","page_ctr","page_position","classification","recommended_action","traffic_risk","status","notes"
"מזונות משותפת","Last 3 months","Pages","0","0","0%","0","NONE_VISIBLE","0","0","0%","0","NO_VISIBLE_SIGNAL","RECHECK_VARIANTS;DO_NOT_PRIORITIZE_FROM_THIS_FILTER_ALONE","UNKNOWN","GSC_BROWSER_VERIFIED_ZERO_ROWS","No visible rows for this shared-custody child-support variant."
"הפחתת מזונות","Last 3 months","Pages","0","0","0%","0","NONE_VISIBLE","0","0","0%","0","NO_VISIBLE_SIGNAL","RECHECK_VARIANTS;DO_NOT_PRIORITIZE_FROM_THIS_FILTER_ALONE","UNKNOWN","GSC_BROWSER_VERIFIED_ZERO_ROWS","No visible rows for this reduction/modification child-support variant."
"שינוי מזונות","Last 3 months","Pages","0","0","0%","0","NONE_VISIBLE","0","0","0%","0","NO_VISIBLE_SIGNAL","RECHECK_VARIANTS;DO_NOT_PRIORITIZE_FROM_THIS_FILTER_ALONE","UNKNOWN","GSC_BROWSER_VERIFIED_ZERO_ROWS","No visible rows for this broader child-support modification variant."
"הלכת המזונות החדשה","Last 3 months","Pages","0","0","0%","0","NONE_VISIBLE","0","0","0%","0","NO_VISIBLE_SIGNAL","RECHECK_CASE_LAW_VARIANTS;DO_NOT_PRIORITIZE_FROM_THIS_FILTER_ALONE","UNKNOWN","GSC_BROWSER_VERIFIED_ZERO_ROWS","No visible rows for this child-support case-law phrase."
"בע""מ 919/15","Last 3 months","Pages","0","0","0%","0","NONE_VISIBLE","0","0","0%","0","NO_VISIBLE_SIGNAL","RECHECK_CASE_LAW_VARIANTS;DO_NOT_PRIORITIZE_FROM_THIS_FILTER_ALONE","UNKNOWN","GSC_BROWSER_VERIFIED_ZERO_ROWS","No visible rows for the quoted 919/15 spelling variant."
"משמורת בלעדית לאם","Last 3 months","Pages","0","107","0%","9.6","https://jus-tice.co.il/משמורת-בלעדית-לאם-ושיתופיות-יחסית-במסגרת-איזון-משאבים-תלהמ-37049-07-18/","0","107","0%","9.6","POSITION_5_20;URL_MIGRATION_RISK;CASE_LAW_SUPPORT","PROTECT_OLD_URL;MAKE_CHILD_CUSTODY_SUPPORT_REVIEW;ADD_INTERNAL_LINKS_AFTER_APPROVAL","HIGH","GSC_BROWSER_VERIFIED","Old case-law page owns all visible impressions for this narrow custody query; protect it before any merge or redirect."
"חקירה במשטרה","Last 3 months","Pages","0","0","0%","0","NONE_VISIBLE","0","0","0%","0","NO_VISIBLE_SIGNAL","RECHECK_CRIMINAL_VARIANTS;DO_NOT_PRIORITIZE_FROM_THIS_FILTER_ALONE","UNKNOWN","GSC_BROWSER_VERIFIED_ZERO_ROWS","No visible rows for this police-investigation support query in the checked browser filter."
"עבירות סמים","Last 3 months","Pages","0","2","0%","65.5","https://jus-tice.co.il/decision6077-20/","0","1","0%","39.0","LOW_SAMPLE_CANNIBALIZATION_RISK","PLAN_DRUG_OFFENSES_SUPPORT;RECHECK_LAWYER_INTENT_VARIANTS","LOW","GSC_BROWSER_VERIFIED","Broad drug-offenses query has only one impression on a case-law page; do not create or redirect from this alone."
"עבירות סמים","Last 3 months","Pages","0","2","0%","65.5","https://jus-tice.co.il/משרד-עורכי-דין-פלילי-הכי-טוב-תל-אביב/","0","1","0%","92.0","LOW_SAMPLE_CANNIBALIZATION_RISK","PLAN_DRUG_OFFENSES_SUPPORT;RECHECK_LAWYER_INTENT_VARIANTS","LOW","GSC_BROWSER_VERIFIED","Broad drug-offenses query also touches the old criminal-lawyer URL; keep as criminal cluster evidence only."
"נהיגה בשכרות","Last 3 months","Pages","0","7","0%","54","https://jus-tice.co.il/revocation-of-a-will-and-reviving-previous-will/","0","7","0%","54.0","WRONG_PAGE_MATCH","PLAN_DRUNK_DRIVING_SUPPORT;DO_NOT_OPTIMIZE_WILL_PAGE_FOR_TRAFFIC;ADD_INTERNAL_LINKS_AFTER_REVIEW","LOW","GSC_BROWSER_VERIFIED","Drunk-driving query maps to a will-revocation page; this is a wrong-page signal and a traffic-law support gap, not a reason to rewrite the will page."
"עורך דין נהיגה בשכרות","Last 3 months","Pages","0","7","0%","54","https://jus-tice.co.il/revocation-of-a-will-and-reviving-previous-will/","0","7","0%","54.0","WRONG_PAGE_MATCH","PLAN_DRUNK_DRIVING_SUPPORT;DO_NOT_OPTIMIZE_WILL_PAGE_FOR_TRAFFIC;ADD_INTERNAL_LINKS_AFTER_REVIEW","LOW","GSC_BROWSER_VERIFIED","Lawyer-intent drunk-driving query maps to the same will-revocation URL; plan a traffic support page only after old-content review."
