target,liveSectionOrder,worksheetDecision,finalDecision,draftTargetSection,liveHeading,liveWords,operatorAction,uploadStatus,sourceFile
"/child-custody/","1","PARTIAL_OVERLAP_REVIEW","SKIP_UI_OR_NAV","","משפחה וגירושין","29","Do not import live taxonomy/category navigation text into the article body.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/child-custody.txt"
"/child-custody/","2","PARTIAL_OVERLAP_REVIEW","COVERED_NO_ACTION","H1 and introduction","משמורת ילדים וזמני שהות: איך מתכננים הסדר שמתאים לילדים","31","The clean draft already covers custody, parental responsibility, parenting time and safety framing.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/child-custody.txt"
"/child-custody/","4","PARTIAL_OVERLAP_REVIEW","SKIP_UI_CTA","","התאמה לעורך דין","47","Do not import generic lawyer-matching CTA copy into the informational body.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/child-custody.txt"
"/child-custody/","5","REVIEW_FOR_MERGE","SKIP_UI_CTA","","משמורת ילדים הסבר ברור לפני פנייה לעורך דין","39","Do not import generic pre-lawyer CTA copy; the draft already has a safe Jus-Tice help section.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/child-custody.txt"
"/child-custody/","6","PARTIAL_OVERLAP_REVIEW","SKIP_RELATED_LINK_BLOCK","Related pages","קישור למדריכים תומכים","36","Use the controlled related-links section instead of importing live related-link UI text.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/child-custody.txt"
"/child-custody/","7","PARTIAL_OVERLAP_REVIEW","SKIP_UI_CTA","","אפשרות להשארת פנייה מסודרת","32","Do not import generic lead-form CTA copy into the article body.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/child-custody.txt"
"/child-custody/","8","PARTIAL_OVERLAP_REVIEW","SKIP_RELATED_LINK_BLOCK","Related pages","מסלול קריאה באשכול משפחה וגירושין","27","Use the controlled related-links section instead of importing live reading-path UI text.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/child-custody.txt"
"/child-custody/","10","PARTIAL_OVERLAP_REVIEW","COVERED_NO_ACTION","Introduction and terminology section","זמני שהות ואחריות הורית: מדריך להורים בגירושין בלי להפוך את הילדים לזירת מאבק","67","The clean draft already explains custody versus parenting time without turning children into a conflict arena.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/child-custody.txt"
"/child-custody/","11","COVERED_BY_DRAFT","COVERED_NO_ACTION","Custody or parenting time?","משמורת ילדים או זמני שהות?","62","The clean draft already covers the public term custody and the professional shift to parenting time and parental responsibility.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/child-custody.txt"
"/child-custody/","13","PARTIAL_OVERLAP_REVIEW","COVERED_NO_ACTION","Best interests of the child","מהו עקרון טובת הילד?","54","The clean draft already covers the best-interests principle, stability, safety, relationship, needs, distance and parental capacity.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/child-custody.txt"
"/child-custody/","19","COVERED_BY_DRAFT","COVERED_NO_ACTION","Best interests of the child","מה זמינות כל הורה.","61","The clean draft already covers availability, communication, risk and factual preparation.","NO_DRAFT_EDIT_REQUIRED","reports/family-divorce-live-target-backup-2026-05-21/child-custody.txt"
