full_name,tier1_hits,total_rows,categories
נשיץ ברנדס אמיר ושות',10,13,דיני נזיקין | דיני עבודה | התחדשות עירונית | ליטיגציה
"ארנון, תדמור-לוי",8,14,דיני משפחה וירושה | דיני נזיקין | דיני עבודה | התחדשות עירונית
גולדפרב גרוס זליגמן,8,14,דיני משפחה וירושה | דיני עבודה | התחדשות עירונית | ליטיגציה
שבלת ושות',7,10,דיני משפחה וירושה | דיני עבודה | התחדשות עירונית | ליטיגציה
פירון משרד עורכי דין,7,10,דיני משפחה וירושה | דיני עבודה | התחדשות עירונית | ליטיגציה
ש. הורוביץ,6,10,דיני משפחה וירושה | דיני עבודה | התחדשות עירונית | ליטיגציה
"ש. פרידמן, אברמזון ושות'",6,9,דיני עבודה | התחדשות עירונית | ליטיגציה | ליטיגציה מסחרית
אגמון עם טולצ'ינסקי,6,7,דיני עבודה | התחדשות עירונית | ליטיגציה | ליטיגציה מסחרית
ליפא ושות',6,7,דיני עבודה | התחדשות עירונית | ליטיגציה | ליטיגציה מסחרית
FBC & Co פישר,6,6,דיני משפחה וירושה | דיני עבודה | התחדשות עירונית | ליטיגציה
"בלטר, גוט, אלוני ושות' - עורכי דין",5,8,דיני נזיקין | דיני עבודה | התחדשות עירונית | ליטיגציה
הרצוג,5,7,דיני משפחה וירושה | דיני עבודה | התחדשות עירונית | ליטיגציה
עורכי דין | מיתר,5,7,דיני משפחה וירושה | דיני עבודה | התחדשות עירונית | ליטיגציה
מיתר | עורכי דין,5,5,דיני עבודה | התחדשות עירונית | ליטיגציה מסחרית | צווארון לבן
GNY גורניצקי,5,5,"דיני עבודה | התחדשות עירונית | ליטיגציה | מיסוי נדל""ן"
הרצוג פוקס נאמן,4,6,דיני משפחה וירושה | דיני עבודה | התחדשות עירונית | ליטיגציה מסחרית
"עמית, פולק, מטלון ושות'",4,6,דיני משפחה וירושה | דיני עבודה | התחדשות עירונית | ליטיגציה
פישר (.FBC & Co),4,5,דיני משפחה וירושה | דיני עבודה | התחדשות עירונית | ליטיגציה מסחרית
"איתן האזרחי ושות', משרד עורכי דין",4,5,דיני נזיקין | ליטיגציה | נזיקין | רשלנות רפואית
"ארדינסט, בן נתן, טולידאנו EBN",4,5,"דיני עבודה | התחדשות עירונית | ליטיגציה | מיסוי נדל""ן"
