check_id,gate,required_before_upload,current_status,verification_method,next_step,notes
FAM-UPLOAD-001,Compare /divorce-lawyer/ with old Hebrew divorce article,YES,VERIFIED,Side-by-side content and GSC risk comparison,Use comparison before upload decision,Old Hebrew URL has known GSC value and must be protected short term
FAM-UPLOAD-002,Decide old Hebrew divorce URL treatment,YES,BLOCKED,Owner approval plus redirect/canonical plan,Keep live until approved,No redirect or canonical change yet
FAM-UPLOAD-003,Decide divorce PDF strategy,YES,VERIFIED PLANNING,Protected asset strategy plus GSC browser evidence,Keep PDF protected until GSC API and owner approval,Do not remove noindex redirect or promote document yet
FAM-UPLOAD-004,Decide mediation DOCX strategy,YES,VERIFIED PLANNING,Protected asset strategy plus document-risk review,Keep DOCX protected until GSC API owner and legal review,Do not promote as safe template or remove/noindex/redirect yet
FAM-UPLOAD-005,Decide child-support calculator relationship,YES,VERIFIED PLANNING,Protected asset strategy plus child-support packet,Keep calculator URL protected as tool intent,Do not redirect noindex delete or claim binding formula yet
FAM-UPLOAD-006,Decide custody article/PDF/case-law relationship,YES,VERIFIED PLANNING,Protected asset strategy plus custody packet,Keep custody article PDF and case-law assets protected,Do not redirect noindex delete or overwrite custody assets yet
FAM-UPLOAD-007,Confirm pillar role for /divorce-lawyer/,YES,VERIFIED PLANNING,Review owner package and current URL readiness,Approve or revise role,Planning only not public execution
FAM-UPLOAD-008,Confirm support page roles,YES,VERIFIED PLANNING,Review six support pages,Approve roles before upload,Support pages must not duplicate pillar
FAM-UPLOAD-009,Check duplicate title and H1 intent,YES,PARTIAL VERIFIED,Live/source metadata scan for six divorce-lawyer duplicate pages,Run final title/H1 scan after approved copy import,Main divorce-lawyer duplicate group is verified; support pages still need final post-copy scan
FAM-UPLOAD-010,Check canonical posture,YES,NOT VERIFIED,Live/source canonical scan,Run before upload and after upload,No canonical change approved yet
FAM-UPLOAD-011,Check sitemap posture,YES,PARTIAL,Review sitemap strategy and live sitemap,Hold additions until content is approved,Sitemap inclusion should happen with internal links
FAM-UPLOAD-012,Prepare redirect hold list,YES,PARTIAL,Use owner package protected URL list,Keep all protected URLs live,Redirects later only
FAM-UPLOAD-013,Prepare internal-link execution list,YES,VERIFIED PLANNING,Use 82-row internal-link map,Execute only after content approval,No link edits yet
FAM-UPLOAD-014,Confirm related-content boundaries,YES,VERIFIED PLANNING,Review owner package and link map,Keep broad ranking and Maya out of batch,Avoid fake trust or profile claims
FAM-UPLOAD-015,Confirm category/taxonomy role,YES,VERIFIED PLANNING,22-row taxonomy/category plan,Approve before upload and verify after import/update,Use existing practice-areas only: family-law divorce child-support child-custody
FAM-UPLOAD-016,Confirm disclaimers,YES,VERIFIED PLANNING,20-row disclaimer CTA policy,Approve before upload and verify after preview/public update,General information no legal advice CTA relationship and urgent-risk language defined
