section,claim_or_content_need,source_type,source_url,verification_status,publication_action,notes
הסדר איזון משאבים,Resource balancing is a legal mechanism under the Spouses Property Relations Law for division of marital property after divorce/death,legal_rights_reference,https://www.kolzchut.org.il/he/%D7%94%D7%A1%D7%93%D7%A8_%D7%90%D7%99%D7%96%D7%95%D7%9F_%D7%9E%D7%A9%D7%90%D7%91%D7%99%D7%9D,VERIFIED_HTTP_200,VERIFY_CONTENT_BEFORE_PUBLICATION,"Direct PowerShell HEAD returned 200. Use for high-level resource-balancing explanation; legal wording still needs lawyer review."
נכסים שלא נכללים באיזון,Some assets may be excluded from resource balancing according to legal conditions and circumstances,legal_rights_reference,https://www.kolzchut.org.il/he/%D7%94%D7%A1%D7%93%D7%A8_%D7%90%D7%99%D7%96%D7%95%D7%9F_%D7%9E%D7%A9%D7%90%D7%91%D7%99%D7%9D,VERIFIED_HTTP_200,VERIFY_CONTENT_BEFORE_PUBLICATION,"Do not overstate exclusions. Lawyer review required for gifts inheritances compensation premarital assets and mixing."
חלוקת פנסיה,Ex-spouse may receive part of pension under judgment/agreement and statutory mechanism,legal_rights_reference,https://www.kolzchut.org.il/he/%D7%97%D7%9C%D7%95%D7%A7%D7%AA_%D7%A4%D7%A0%D7%A1%D7%99%D7%94_%D7%91%D7%99%D7%9F_%D7%91%D7%A0%D7%99_%D7%96%D7%95%D7%92_%D7%A9%D7%A0%D7%A4%D7%A8%D7%93%D7%95,VERIFIED_HTTP_200,VERIFY_CONTENT_BEFORE_PUBLICATION,"Direct PowerShell HEAD returned 200. Use for pension-section source spine; avoid formulae."
היבטי מס בחיסכון פנסיוני,Tax Authority service describes tax aspects of transferring provident/pension savings between separated spouses under statutory mechanism,official_gov,https://www.gov.il/he/service/regulation-of-tax-aspects,PARTIAL_SEARCH_VERIFIED,VERIFY_BEFORE_PUBLICATION,"Search result verified on 2026-05-10; direct PowerShell returned 403. Browser-verify before citation."
סעד זמני לשמירת מצב,Temporary relief may preserve status quo or prevent damage during family dispute procedure,official_gov,https://www.gov.il/he/service/asking_for_prohibited_steps_order,PARTIAL_SEARCH_VERIFIED,VERIFY_BEFORE_PUBLICATION,"Search result confirms status quo/prevent damage language; direct scripted checks returned 403. Use only after browser verification."
יישוב סכסוך ורכוש,Family dispute-resolution process includes property/maintenance/visitation disputes and may precede legal claims,official_gov,https://www.gov.il/he/service/asking_for_family_dispute_settlements,PARTIAL_SEARCH_VERIFIED,VERIFY_BEFORE_PUBLICATION,"Search result includes property disputes. gov.il direct checks returned 403."
תביעת סכסוך משפחתי,Family-dispute claim can include property division after failed dispute-resolution process,official_gov,https://www.gov.il/he/service/filing-lawsuit-family-dispute,PARTIAL_SEARCH_VERIFIED,VERIFY_BEFORE_PUBLICATION,"Search result states claims can include maintenance custody or property division after no agreement. Browser-verify before final citation."
חוק יחסי ממון,Need official/authorized statutory text for exact sections and terms such as איזון משאבים and excluded assets,official_statute_needed,,NOT_VERIFIED,DO_NOT_PUBLISH_STATUTORY_DETAIL_WITHOUT_SOURCE,"Search surfaced gov/Knesset PDFs but not yet source-reviewed. Use Kol Zchut for high-level until statutory source is verified."
מועד הקרע,Article discusses date of separation/rupture and effect on assets debts rights,legal_review_required,,NOT_VERIFIED,LAWYER_REVIEW_REQUIRED,"Highly fact-dependent. Keep high-level and require Maya/legal review."
דירה לפני הנישואין,Premarital home may or may not be shared depending on circumstances and conduct,legal_review_required,,NOT_VERIFIED,LAWYER_REVIEW_REQUIRED,"Do not publish definitive outcome. Requires case-law/legal review."
כוונת שיתוף,Article mentions intent to share despite separate registration,legal_review_required,,NOT_VERIFIED,LAWYER_REVIEW_REQUIRED,"Requires legal review and likely case-law sourcing before publication."
הסכם ממון,Validity interpretation and approval of prenuptial/property agreements require legal review,legal_review_required,,NOT_VERIFIED,LAWYER_REVIEW_REQUIRED,"Do not state whether any agreement is valid/invalid without review."
ירושות מתנות ופיצויים,Treatment of inheritances gifts compensation and mixed funds is fact-sensitive,legal_review_required,,NOT_VERIFIED,LAWYER_REVIEW_REQUIRED,"Current draft is cautious; final wording must be reviewed."
עסק חברה מניות ואופציות,Valuation and classification of business/company/options assets require expert and legal review,expert_and_legal_review_required,,NOT_VERIFIED,LAWYER_REVIEW_REQUIRED,"Keep as preparation guidance; no valuation rules or formulas."
חובות בגירושין,Whether debt is shared or personal depends on purpose timing knowledge and benefit,legal_review_required,,NOT_VERIFIED,LAWYER_REVIEW_REQUIRED,"Good draft framing, but final legal thresholds need review."
הברחת נכסים,Signs of hidden assets and temporary-relief/gilui routes are sensitive and must avoid privacy violations,legal_ethics_review_required,,NOT_VERIFIED,LAWYER_REVIEW_REQUIRED,"Draft correctly warns not to invade accounts; legal/ethics review required."
פירוק שיתוף בדירת מגורים,Home sale buyout postponement and children/medor effects require legal review and sourcing,legal_review_required,,NOT_VERIFIED,LAWYER_REVIEW_REQUIRED,"Find official/case-law/commercial neutral sources before publication."
FAQ schema,FAQ markup only if final visible FAQ remains and answers are legally reviewed,structured_data_policy,,VERIFIED_IN_REPO,KEEP_POLICY,"No FAQ schema until legal review and visible FAQ are final."
