task_id,priority,area,status,report_issue,existing_overlap,next_action,acceptance_criteria,execution_gate
FR-001,P0,lawyer-trust,BLOCKED,"Fictional/demo lawyers and fake phone numbers may be public","Public approval gates, demo seeder gates and placeholder phone suppression are documented; live state still needs confirmation","Run live lawyer-directory/profile QA and owner-approved remediation if any demo profile is visible","No seed/demo/unapproved lawyer appears as a real available lawyer; no placeholder phone/WhatsApp; no fake ratings/badges/reviews","Owner approval for any CMS/database/profile changes"
FR-002,P0,mock-data,NOT VERIFIED,"Visible fake/mock/demo data may remain across lawyers, CTAs, ratings, badges, tools and forms","Some fake-rating/contact guards exist in docs","Create a public mock-data QA checklist and sample homepage, lawyers, profiles, forms, cards and tools","All visible demo/placeholder signals are removed, hidden, or unmistakably labeled outside public marketing","Owner approval before public UI/CMS changes"
FR-003,P1,localization,PARTIAL,"404/search/pagination/archive/OG English leaks","Several Hebrew UI fixes and live checks are documented","Re-run Hebrew UI smoke test for homepage, search, no-results, 404, articles, lawyers and one article","No sampled public user-facing English WordPress default strings remain","Code/content cleanup batch approval"
FR-004,P1,navigation,NOT VERIFIED,"Contact/About menu may use raw page-id links","Menu write guards and navigation normalization exist","Verify live header/footer/menu source and wp-admin menu state","Public nav uses stable slugs only after target pages exist and are approved","Owner approval for menu/CMS writes"
FR-005,P1,legal-policy,NOT DONE,"Privacy, Terms, Editorial Policy and Advertising Policy missing or not confirmed","Policy needs appear in prior docs but not proven complete","Create/publish/link Hebrew policy pages after owner/legal review","Footer links policy pages; pages explain editorial, ads, privacy and no-legal-advice limits","Owner/legal approval"
FR-006,P1,eeat,IN PROGRESS,"Articles lack authorship/reviewed-by/legal review date/source freshness","Source/legal gates exist for selected clusters","Create article trust-layer plan for author, reviewer, review date, source date and disclaimer","No fabricated author/reviewer; high-value articles show real review/source signals when approved","Owner/legal approval"
FR-007,P1,branding,PARTIAL,"Logo/favicon/OG imagery incomplete","Logo/favicon task and live favicon URL checks exist; final Site Icon/Google refresh not verified","Recheck browser tab, mobile icon, page source, crawlability and Google search-result readiness","Stable square favicon, crawlable icon URLs, no duplicate/broken tags, mobile/browser visual confirmed","Deploy/cache verification"
FR-008,P1,taxonomy-seo,IN PROGRESS,"Overlapping practice-area terms create cannibalization","Inventory, category map, topic clusters and decision batches exist","Continue GSC-backed canonical taxonomy map before any merge","15-20 canonical term strategy with redirect/canonical/internal-link plan approved","Owner approval before taxonomy/redirect changes"
FR-009,P1,content-quality,IN PROGRESS,"Uncategorized and zero/thin articles weaken quality","Content quality audit and content inventory exist","Prioritize uncategorized/empty/thin article review queue","Every high-risk article is keep/merge/rewrite/noindex/redirect candidate before execution","Owner/editorial approval"
FR-010,P1,url-migration,IN PROGRESS,"Hebrew and conflicting URL architecture hurts sharing and SEO","URL migration map and English-slug strategy exist","Keep English-slug migration gated by GSC and redirect map","No URL changes without old->new 301, sitemap, internal-link and canonical consistency","Owner approval"
FR-011,P1,technical-seo,PARTIAL,"Hreflang/canonicals/HTTPS need verification","Hreflang and HTTPS normalization are documented","Re-run source checks on representative live templates","Canonical, hreflang, OG and internal links are HTTPS and aligned","Deploy/cache verification"
FR-012,P1,routing-404,BLOCKED,"Missing URLs redirect to homepage","404 plugin blocker is documented","Owner approves deactivation of All 404 Redirect to Homepage, then QA invalid URLs","Invalid URLs return Hebrew 404 plus noindex/no-follow; valid URLs remain 200","Owner approval before plugin change"
FR-013,P1,performance,PARTIAL,"Lawyer profile view counter may write DB on every load","Default-disabled tracking is documented","Verify live code marker and source behavior after deploy","Normal public page load does not write profile_views by default","Deploy/cache verification"
FR-014,P1,leads-crm,PARTIAL,"Ask-a-lawyer form may not be connected to CRM/email","Lead storage and spam/attribution guards exist","Run safe lead workflow verification in staging/live with owner-approved test","Lead reaches expected admin/CRM destination with source metadata","Owner-approved test submission"
FR-015,P2,directory-ux,PARTIAL,"Lawyer filters may not be visually prominent","Directory filter improvements exist","Mobile/desktop visual QA for /lawyers filters and empty states","Users can see/filter by legal area/city and understand next action","Visual QA after deploy"
FR-016,P2,visual-content,NOT DONE,"No lawyer photos/article thumbnails/hero imagery/OG share image","Image SEO and logo tasks exist","Create image sourcing and placeholder policy","No broken/empty images; photos are real/approved or neutral placeholders","Owner/media approval"
FR-017,P2,icons,NOT VERIFIED,"Practice-area icons may render as empty boxes","Not confirmed in latest intake","Run visual QA and replace icon strategy if broken","Practice-area icons render consistently without layout shift","Design approval"
FR-018,P2,legacy-cpt,IN PROGRESS,"Legacy CPTs may remain exposed in REST","Legacy CPT migration review exists","Recheck active plugin/CPT/REST state before cleanup","Unused legacy CPTs are hidden/migrated/disabled only after data safety review","Owner/developer approval"
FR-019,P2,competitor-parity,ROADMAP,"Competitors show stronger trust/contact/editorial/product features","Competitor and product docs exist","Add phased roadmap for multi-contact CTAs, trust signals, Q&A, newsletter, forms and editorial/news","Features are real, compliant and not misleading before public release","Product/legal approval"
FR-020,P2,frontend-performance,ROADMAP,"CSS/images/micro-interactions/performance need later polish","Visual QA and design polish docs exist","Plan after page structure and content hierarchy stabilize","No major CLS/overflow, stable mobile layout, acceptable asset weight","Post-template QA"
