row_type,id,slug,targetSlug,gate,status,role,type,title,title_he,url,pillar_path,target_public_gate,evidence,next_action,useFor,boundary,publication_blockers
gate,CPD-GATE-01,,,previous_city_practice_packet_exists,PASS,,,,,,,,Prior city/practice thin-page packet exists in .reports.,Use its target order and blockers.,,,
gate,CPD-GATE-02,,,priority_targets_not_public_200,REVIEW,,,,,,,,1 target URL(s) returned live 200.,Inspect accidental public exposure before creating any draft.,,,
gate,CPD-GATE-03,,,central_pillars_reachable,PASS,,,,,,,,2/2 central pillar URLs reachable.,Keep local draft subordinate to the reachable pillar.,,,
gate,CPD-GATE-04,,,source_scaffold_ready,PASS,,,,,,,,5 official source prompts and 4 competitor source prompts recorded.,Use sources for direction and guardrails only; no copying or legal advice.,,,
live,CPD-01-PILLAR,divorce-lawyer-tel-aviv,,PASS_PILLAR_REACHABLE,200,central_pillar_live_check,,"איך לבחור עורך דין גירושין | ניסיון, מחיר ושאלות נכונות | Jus-Tice",,https://jus-tice.co.il/divorce-lawyer/,,,,,,,
live,CPD-01-TARGET,divorce-lawyer-tel-aviv,,PASS_TARGET_NOT_PUBLIC_200,404,draft_target_public_exposure_check,,Page not found | Jus-Tice.co.il,,https://jus-tice.co.il/divorce-lawyer-tel-aviv/,,,,,,,
live,CPD-02-PILLAR,criminal-lawyer-jerusalem,,PASS_PILLAR_REACHABLE,200,central_pillar_live_check,,משפט פלילי | Jus-Tice.co.il,,https://jus-tice.co.il/criminal-lawyer/,,,,,,,
live,CPD-02-TARGET,criminal-lawyer-jerusalem,,REVIEW_TARGET_ALREADY_PUBLIC,200,draft_target_public_exposure_check,,"עורך דין פלילי ירושלים | מחירים, בתי משפט, ייצוג | Jus-Tice",,https://jus-tice.co.il/criminal-lawyer-jerusalem/,,,,,,,
brief,CPD-01,divorce-lawyer-tel-aviv,,,,,,,עורך דין גירושין בתל אביב,,/divorce-lawyer/,PASS_TARGET_NOT_PUBLIC_200,,,,,"GSC query/page evidence, internal overlap check, filtered lawyer count, legal/editor review, owner approval, and no public-exposure accident."
brief,CPD-02,criminal-lawyer-jerusalem,,,,,,,עורך דין פלילי בירושלים,,/criminal-lawyer/,REVIEW_TARGET_ALREADY_PUBLIC,,,,,"GSC query/page evidence, internal overlap check, filtered lawyer count, legal/editor review, owner approval, and no public-exposure accident."
source,SRC-001,,divorce-lawyer-tel-aviv,,,,official,קבלת תעודת גירושין - בתי הדין הרבניים,,https://www.gov.il/he/service/obtaining-divorce-certificate,,,,,source prompt for official-document language and evidence checklist only,Do not turn certificate-service details into legal advice or deadline claims.,
source,SRC-002,,divorce-lawyer-tel-aviv,,,,official,בקשה לסיוע משפטי - סיוע משפטי,,https://www.gov.il/he/service/legal_aid_application,,,,,source prompt for eligibility-sensitive wording and urgent-family-matter caveats,Do not claim eligibility; invite users to verify with official service or lawyer.,
source,SRC-003,,divorce-lawyer-tel-aviv,,,,official,יחידות הסיוע ליד בתי המשפט ובתי הדין,,https://www.gov.il/he/departments/Units/molsa-court-assiatance-units,,,,,source prompt for non-adversarial family-dispute context,Do not describe a mandatory process unless legal/editor review confirms the exact case type.,
source,SRC-004,,divorce-lawyer-tel-aviv,,,,competitor,מורן גוהר - עורך דין גירושין בתל אביב,,https://www.goharlaw.com/,,,,,"SERP positioning reference: competitor pages lead with credentials, family-court experience and local service framing","Do not copy claims, rankings, testimonials, case outcomes, pricing or personal positioning.",
source,SRC-005,,divorce-lawyer-tel-aviv,,,,competitor,מאיה רוטנברג - עורך דין גירושין,,https://rotenberglaw.co.il/,,,,,"SERP positioning reference: competitor pages often use experience, process reassurance and city coverage","Do not copy claims, price ranges, badges, testimonials or outcome promises.",
source,SRC-006,,criminal-lawyer-jerusalem,,,,official,בקשת ייצוג על ידי הסניגוריה הציבורית,,https://www.gov.il/he/service/request-for-representation-by-the-public-defender-office,,,,,source prompt for official criminal-procedure document checklist and representation caveat,Do not claim eligibility; mention only that official routes may exist and require verification.,
source,SRC-007,,criminal-lawyer-jerusalem,,,,official,חוות דעת ועמדות רשמיות - הסניגוריה הציבורית,,https://www.gov.il/he/departments/dynamiccollectors/official_opinions_and_positions,,,,,"source prompt for rights-sensitive language around suspects, defendants and criminal process",Do not summarize legal rights as instructions without legal review.,
source,SRC-008,,criminal-lawyer-jerusalem,,,,competitor,דוד הלוי - עורך דין פלילי ירושלים,,https://halevi-law.co.il/,,,,,"SERP positioning reference: competitor pages highlight case types, urgency and defense review","Do not copy case lists, media mentions, client praise or aggressive promises.",
source,SRC-009,,criminal-lawyer-jerusalem,,,,competitor,רמי בן חמו - עורך דין פלילי בירושלים,,https://rbh-law.co.il/,,,,,"SERP positioning reference: competitor pages emphasize availability, discretion and local office presence","Do not copy availability promises, slogans, personal claims or guarantees.",
