query,page,clicks,impressions,ctr,position
רשות ניירות ערך בעלי תפקידים,https://jus-tice.co.il/wp-content/uploads/2022/06/06102016_1.pdf,4,18,22.22%,2.9
חיפוש עורך דין לפי שם,https://jus-tice.co.il/,3,577,0.52%,8.1
ייעוץ עורך דין אונליין חינם,https://jus-tice.co.il/,3,77,3.90%,10.8
רעות קסלר,https://jus-tice.co.il/wp-content/uploads/2022/06/06102016_1.pdf,3,30,10.00%,3.4
הסכם גירושין דוגמא doc,https://jus-tice.co.il/wp-content/uploads/2021/03/%D7%A0%D7%95%D7%A1%D7%97-%D7%94%D7%A1%D7%9B%D7%9D-%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%93%D7%95%D7%92%D7%9E%D7%90-2021.docx,2,42,4.76%,11.6
חיפוש עורכי דין,https://jus-tice.co.il/,2,261,0.77%,10.0
jus tice,https://jus-tice.co.il/,1,1,100.00%,1.0
oui,https://jus-tice.co.il/,1,1,100.00%,1.0
איתור עורך דין,https://jus-tice.co.il/,1,346,0.29%,7.2
ארז מלמד שופט,https://jus-tice.co.il/court-judge/,1,1,100.00%,21.0
אריאל ממן שופט,https://jus-tice.co.il/62758-11-22/,1,45,2.22%,9.1
השופט אריאל ממן,https://jus-tice.co.il/62758-11-22/,1,29,3.45%,10.8
השופטת אורית ליפשיץ,https://jus-tice.co.il/decision55016-06-17a/,1,3,33.33%,8.0
השופטת רונית גורביץ,https://jus-tice.co.il/decision67437-12-18/,1,11,9.09%,6.6
חיפוש עורך דין,https://jus-tice.co.il/,1,227,0.44%,8.2
מאגר משפטי חינם,https://jus-tice.co.il/,1,4,25.00%,33.5
מציאת עורך דין,https://jus-tice.co.il/,1,33,3.03%,7.2
נאיל מהנא,https://jus-tice.co.il/court-judge/,1,1,100.00%,46.0
סעיף 63 לפקודת התעבורה,https://jus-tice.co.il/wp-content/uploads/2020/01/hana_v9.32.88s.pdf,1,1,100.00%,43.0
עורכי דין מומלצים,https://jus-tice.co.il/,1,83,1.20%,16.8
קורסים לעורכי דין,https://jus-tice.co.il/legal-courses-for-lawyers/,1,14,7.14%,19.4
רשות ניירות ערך טלפון,https://jus-tice.co.il/wp-content/uploads/2022/06/06102016_1.pdf,1,13,7.69%,15.7
רשות ניירות ערך מחלקת תאגידים,https://jus-tice.co.il/wp-content/uploads/2022/06/06102016_1.pdf,1,21,4.76%,4.2
"""+30 231 231 2405""",https://jus-tice.co.il/wp-content/uploads/2023/03/greece-list-of-lawyers-november-2021.pdf,0,2,0.00%,2.5
"""nalp"" ""class of 2024"" ""mid-atlantic"" ""94.9%""",https://jus-tice.co.il/wp-content/uploads/2022/06/54111-Law-Firms-in-the-US-Industry-Report.pdf,0,4,0.00%,9.5
"""r 8"" ""u 9"" ""l 9"" ""d 8"" ""l 2""",https://jus-tice.co.il/wp-content/uploads/2023/03/Find-a-professional-service-abroad-Results-for-Lawyers-in-Greece.pdf,0,2,0.00%,7.5
"""visit website"" ""post permalink"" ""welcome, visitor!"" fantasy video",https://jus-tice.co.il/,0,1,0.00%,6.0
"""בית משפט""",https://jus-tice.co.il/articles/%D7%9E%D7%94%D7%95-%D7%91%D7%99%D7%AA-%D7%9E%D7%A9%D7%A4%D7%98/,0,3,0.00%,29.7
"""חוק המרשם הפלילי ותקנת השבים"" סעיף 14 15 16 17 18",https://jus-tice.co.il/psakdin/%D7%94%D7%92%D7%91%D7%9C%D7%94-%D7%A2%D7%9C-%D7%9E%D7%A1%D7%99%D7%A8%D7%AA-%D7%9E%D7%99%D7%93%D7%A2-%D7%9E%D7%94%D7%9E%D7%A8%D7%A9%D7%9D-%D7%94%D7%A4%D7%9C%D7%99%D7%9C%D7%99-%D7%95%D7%A7%D7%99%D7%A6%D7%95%D7%A8-%D7%AA%D7%A7%D7%95%D7%A4%D7%AA-%D7%94%D7%A8%D7%99%D7%A9%D7%95%D7%9D/,0,2,0.00%,9.5
"""טרקטור משא"" תקנות התעבורה",https://jus-tice.co.il/wp-content/uploads/2020/01/hana_v9.32.88s.pdf,0,2,0.00%,8.5
"""עוסק זעיר"" פיצול מלאכותי בני זוג",https://jus-tice.co.il/israel-tax-authority/,0,1,0.00%,11.0
"""רשלנות רפואית הגדרה""",https://jus-tice.co.il/what-is-medical-malpractice-definition-examples/,0,266,0.00%,13.9
"""תפסיק להתראיין רק טיק טוק טוב לך תעלה את הערך שלך כולם איתך אלון""",https://jus-tice.co.il/%D7%A0%D7%95%D7%A1%D7%97-%D7%9B%D7%AA%D7%91-%D7%94%D7%90%D7%99%D7%A9%D7%95%D7%9D-%D7%A0%D7%92%D7%93-%D7%91%D7%A0%D7%99%D7%9E%D7%99%D7%9F-%D7%A0%D7%AA%D7%A0%D7%99%D7%94%D7%95-%D7%AA%D7%99%D7%A7%D7%99%D7%9D-1000-2000-4000,0,1,0.00%,8.0
#justiceforatifali,https://jus-tice.co.il/,0,1,0.00%,1.0
#justiceforatifaliqadri,https://jus-tice.co.il/,0,1,0.00%,1.0
#justicefordeon,https://jus-tice.co.il/,0,1,0.00%,2.0
#justiceforrishabh,https://jus-tice.co.il/,0,1,0.00%,1.0
#justiceforrubail,https://jus-tice.co.il/,0,1,0.00%,1.0
#justiceforshandi,https://jus-tice.co.il/,0,1,0.00%,2.0
