post_id,old_slug,new_slug,title
14010,"מדריך-לאישור-הסכם-גירושין-בבתי-הדין-הר","rabbinical-agreement-approval","מדריך לאישור הסכם גירושין בבתי הדין הרבניים – 55 כללים מעשיים"
13152,"המלצות-2026-עורך-דין-לענייני-משפחה-מומלץ-ה","most-recommended-family-lawyer","המלצות 2026 עורך דין לענייני משפחה מומלץ  | התייעצות עם עורך דין לענייני משפחה וירושה"
12987,"כיצד-יראה-בעתיד-הליך-גירושין-תחזית-לש","future-of-divorce-process","כיצד יראה בעתיד הליך גירושין – תחזית לשנים הבאות"
12979,"עורך-דין-לענייני-משפחה-תותח-מעל-20-שנות-נ","experienced-family-law-attorney","עורך דין לענייני משפחה תותח מעל 20 שנות נסיון | ייעוץ חינם – נתונים עדכניים בדיני המשפחה"
12975,"פסד-ביטול-החלטה-לשלום-בית-הקפאת-תשלו","1396562-2","פסד ביטול החלטה לשלום בית ; הקפאת תשלום מזונות אישה"
12946,"האם-אישה-נשואה-יכולה-להיחשב-ידועה-בציב","can-you-be-common-law-married-to-a-married-person","האם אישה נשואה יכולה להיחשב ידועה בציבור של אחר? מדריך מקיף ידועים בציבור"
12934,"גישור-משפחתי-בישראל-ובעולם-גישור-וגיר","family-mediation-updated-trends","גישור משפחתי בישראל ובעולם | גישור וגירושין | נתונים, התפתחות ומגמות עדכניות"
12924,"אגף-החקירות-והמודיעין-של-משטרת-ישראל","investigations-and-intelligence-division","אגף החקירות והמודיעין של משטרת ישראל"
12921,"2025-המומחים-המובילים-בדיני-משפחה","top-experts-family-law","(2025) המומחים המובילים בדיני משפחה"
12914,"מגמות-חדשות-בדיני-משפחה-השפעת-הבינה-המ","new-trends-ai-family-law","מגמות חדשות בדיני משפחה: השפעת הבינה המלאכותית AI דיני משפחה וגירושין (צפי ומגמות 2025-2026)"
12907,"תביעות-פלילי-ייצוג-ולווי-נאשמים","criminal-prosecutions","תביעות פלילי | ייצוג ולווי נאשמים"
12897,"מומלצי-דיני-משפחה-וגירושין-המלצות-עור","the-recommended-family-lawyers","מומלצי דיני משפחה וגירושין: המלצות עורכי דין לענייני משפחה בישראל (2025)"
12879,"פסד-רבני-2025-תוקפו-של-הסכם-גירושין-כשהצד","996028-3","פסד רבני 2025 | תוקפו של הסכם גירושין כשהצדדים חזרו לשלום בית – 996028-3 – ביהד תל אביב יפו"
12871,"עורך-דין-גירושין-מומלץ-פתח-תקווה-והמרכ","petah-tikva-divorce-lawyer","עורך דין גירושין מומלץ פתח תקווה והמרכז | 2025 נתונים והנחיות גירושין"
12857,"פוסטה-פלילים","posta","פוסטה פלילים"
12851,"זיכוי-לנאשם-בשורת-עבירות-בשל-קשיים-בזי","7776-09-24","זיכוי לנאשם בשורת עבירות בשל קשיים בזיהוי (תפ 7776-09-24 חסדאי)"
12841,"הטמעת-בינה-מלאכותית-ai-במשרדי-עורכי-דין","ai-for-law-firms","הטמעת בינה מלאכותית AI במשרדי עורכי דין"
12681,"אישור-הסכם-גירושין-בו-נקבע-חיוב-מזונות","1520884-1","אישור הסכם גירושין בו נקבע חיוב מזונות שיוויוני – 1520884-1 – ביהד באר שבע"
12678,"החובה-לעמוד-בהסכם-על-מקום-מגורי-הילדים","1331339-3","החובה לעמוד בהסכם על מקום מגורי הילדים ולשאת בתוצאות הפרתו_ שיבתו לתוקף של פטור ממזונות שניתן בגין ההפרה – 1331339-3 – ביהד הגדול"
12675,"אכיפת-הסכם-כשיש-חשש-שאכיפתו-עלולה-להבי","1331339-1","אכיפת הסכם כשיש חשש שאכיפתו עלולה להביא לפגיעה בטובת הילדים – איזונים והכרעה – 1331339-1 – ביהד הגדול"
12663,"פיצוי-למשקיע-בעקבות-הפסד-בשוק-ההון-פור","investment-loss-compensation","פיצוי למשקיע בעקבות הפסד בשוק ההון, פורקס ו- קריפטו | סוגי הונאות (2025)"
12655,"עורך-דין-מכירת-דירה-מחיר-2025-תפקידו-של-עו","real-estate-lawyer-cost-2025","עורך דין מכירת דירה מחיר (2025) | תפקידו של עורך הדין בעסקאות מקרקעין"
12652,"יועץ-רישוי-עסקים-עורך-דין-מומחה-רישוי","business-license","יועץ רישוי עסקים | עורך דין מומחה רישוי עסק | מדריך ומחירון (2025)"
12626,"חוזה-שכירות-אונליין-עדכני-2025","online-rent-agreement","חוזה שכירות אונליין (עדכני 2025)"
12622,"עורך-דין-באוסטרליה-עוד-ישראלי-אוסטרל","australia-lawyers","עורך דין באוסטרליה | עוד ישראלי אוסטרליה"
12616,"רשות-המסים-בישראל-ייצוג-מול-רשויות-המס","israel-tax-authority","רשות המסים בישראל | ייצוג מול רשויות המס"
12611,"לא-בנקל-יבוטל-הסכם-גירושין-1509592-1-ביהד","1509592-1","לא בנקל יבוטל הסכם גירושין – 1509592-1 – ביהד הגדול‎"
12609,"מחירים-עדכניים-2025-ותחזית-לשוק-הנדלן-ר","israel-real-estate-price-forecast","מחירים עדכניים (2025) ותחזית לשוק הנדלן | רכישת נדלן בישראל בלווי עורך דין"
12605,"מחירון-2025-נכסים-בקפריסין-ועליות-נלוות-ר","cyprus-prices","מחירון 2025 נכסים בקפריסין ועליות נלוות | רכישה בלווי משפטי לישראלים"
12600,"יוון-מחירי-רכישה-2025-לפי-אזורים-מדריך-ע","greece-price-list","יוון – מחירי רכישה 2025 לפי אזורים | מדריך עדכני לרכישת נדלן ביוון לישראלים בלווי עורך דין"
12596,"פסק-דין-בתביעה-רכושית-אישה-נגד-בן-זוגה","family-judgment-31661-07-16","פסק דין בתביעה רכושית: אישה נגד בן-זוגה חושפת הון משפחתי במקלטי מס, נאמנויות ותאגידים זרים | תמ״ש 31661-07-16"
12588,"עלויות-גירושין-2025-מחירון-מעודכן-השוואה","divorce-costs-2025","עלויות גירושין 2025 | מחירון מעודכן השוואה ובחירה בין עורכי דין לענייני גירושין"
12583,"רילוקיישן-לפורטוגל-2025-המדריך-המקיף-למע","portugal-relocation","רילוקיישן לפורטוגל 2025: המדריך המקיף למעבר לפורטוגל"
12558,"סוכנות-הדירוג-dun-bradstreet-db-ודירוג-duns-100","dun-bradstreet","סוכנות הדירוג Dun & Bradstreet (D&B) ודירוג Dun’s 100"
12546,"מדריך-הדירוג-chambers-and-partners","chambers-and-partners","Chambers and Partners"
12539,"דירוג-iflr1000-international-financial-law-review-iflr","iflr1000","IFLR1000"
12525,"דירוג-עורכי-דין-בינה-מלאכותית-ai-שנת-2025","ai-lawyer-ranking","דירוג עורכי דין בינה מלאכותית AI | שנת 2025"
12495,"יחידת-ה-cyber-division-של-ה-fbi","fbi-cyber-division","יחידת ה-Cyber Division של ה-FBI | עוד סייבר"
12491,"רשות-ניירות-הערך-של-ארצות-הברית-sec-עוד","us-securities-and-exchange-commission","(SEC) רשות ניירות הערך של ארצות הברית  | עוד ישראלי"
12481,"fbi-לשכת-החקירות-הפדרלית-ארהב-עורך-דין-י","federal-bureau-of-investigation","FBI לשכת החקירות הפדרלית ארהב |  עורך דין פלילי F.B.I"
12464,"להב-433-מבנה-היחידה-כתובת-וטלפון-משטרת-יש","lahav-433","להב 433: מבנה היחידה כתובות וטלפונים | משטרת ישראל להב 433"
12446,"עורך-דין-עבירות-סמים-מדריך-2025-לעבירות-סמ","drug-offenses-criminal-lawyer","עורך דין עבירות סמים | מדריך 2025 לתחום עבירות סמים"
12436,"מדריך-2025-לקראת-חקירה-במס-הכנסה-כל-מה-שצר","tax-investigation-guide","מדריך 2025 לקראת חקירה במס הכנסה – כל מה שצריך לדעת |  חקירות מס הכנסה ועבירות מס"
12433,"פורטו-פורטוגל-השקעות-נדלן-עבור-ישר","porto-portugal-real-estate","פורטו, פורטוגל – השקעות נדלן עבור ישראלים"
12428,"עורך-דין-פלילי-מפורסם-עורכי-הדין-הפליל","famous-criminal-defense-lawyer","עורך דין פלילי מפורסם | עורכי הדין הפליליים המובילים בישראל ובעולם (2025)"
12425,"עורך-דין-עבירות-כלכליות-וצווארון-לבן-מ","economic-crimes-white-collar-lawyer","עורך דין עבירות כלכליות וצווארון לבן | מהן עבירות כלכליות וצווארון לבן?"
12401,"עורך-דין-בינלאומי-ירושות-צוואות-ועיזב","international-inheritance-wills-lawyer","עורך דין בינלאומי ירושות צוואות ועיזבונות | מדריך ליורשים ישראלים בחול"
