id,section,status,evidence,implementation_rule,owner_decision_needed,public_change_approved,blocker
HLCG-01,source_finding,REVIEW_CONFIRMED,"Live homepage audit: status REVIEW, 10 primary CTAs, 5 unique visible labels, repeated group שליחת פנייה (6).","Treat the repeated card action as a lower-section design problem, not as permission to add another homepage CTA.","Choose keep as-is, visual-only quieter treatment, copy/link review, or reduce card exposure.",no,"No homepage label, link, CSS, layout, CMS, SEO or deployment change is approved here."
HLCG-02,visual_gap,LOWER_SECTION_QA_MISSING,The earlier mobile screenshot covered header/hero/search/trust/three-step flow; the repeated lawyer-card buttons were lower than the captured area.,"Before any code change is treated as ready, capture the actual lawyer-card section on mobile and desktop.",Confirm whether the before/after card section feels useful and not pushy on mobile.,no,Missing lower-section screenshots and owner/design approval.
HLCG-03,competitor_pattern,COMPETITOR_INFORMED,din.co.il keeps search/category discovery as the main first action and treats lawyer exposure as card-level contact context.,Preserve Jus-Tice search and guidance as the main homepage path; keep lawyer-card actions visually local.,None if choosing visual-only treatment; required if changing labels or destinations.,no,"Competitor inspiration does not approve copying content, layout or public code."
HLCG-04,competitor_pattern,COMPETITOR_INFORMED,"LawZone and MyAttorney lead with find-a-lawyer search flows, then expose lawyer/category discovery below.",Avoid turning the lawyer-card strip into the homepage headline action; make card actions secondary to legal-help discovery.,None if only changing action weight after approval.,no,"Do not introduce public sales-language, supplier-language or package claims."
HLCG-05,competitor_pattern,COMPETITOR_INFORMED,"Mishpati uses repeated provider-card phone reveal actions, but each action is scoped to one provider card.","A repeated action can stay if it is clearly a card-local action, visually quieter than the hero/search CTA and still tappable.",Approve whether Jus-Tice should keep contact-form destination or move toward profile-first behavior later.,no,Destination changes are a separate product decision and need route/cannibalization review.
HLCG-06,preferred_candidate,OPTION_B_READY_FOR_APPROVAL_ONLY,The source density packet already named visual-only quieter treatment as the lowest-risk candidate; the visual QA packet did not disprove it.,"Preferred candidate: keep existing card hrefs and Hebrew label, but restyle repeated lawyer-card actions as secondary/compact actions inside cards.",Owner/design must approve this exact direction before CSS or template work.,no,Approval missing; lower-section before/after screenshots missing.
HLCG-07,copy_guard,COPY_CHANGE_BLOCKED,The current repeated label maps to contact-form URLs; changing visible text could mislead if the target remains a contact form.,Do not rename the card action to profile/details/fit-check wording unless the destination and user promise are also reviewed.,Approve exact Hebrew copy and destination if Option C is selected.,no,Copy/link-destination mismatch risk.
HLCG-08,implementation_gate,REQUIRED_BEFORE_LOCAL_DIFF,A safe implementation needs a constrained selector for homepage lawyer-card actions only.,"If approved, change only the homepage lawyer-card action treatment; do not touch article CTAs, legal-help CTAs, directory filters or provider routes.",Approve exact scope before file edits.,no,No theme diff until the owner approves scope.
HLCG-09,qa_gate,REQUIRED_AFTER_LOCAL_DIFF,Mobile density concern came from a real device view; the lower card area must be checked directly.,"After any local/staging diff: capture mobile 390px lower-card section, desktop 1440px lower-card section, rerun CTA-density audit and scan for business-language leaks.",Approve or reject based on screenshots and audit output.,no,QA artifacts missing.
HLCG-10,publication_gate,PUBLICATION_BLOCKED,Prior density review status: OWNER_REVIEW_PACKET_READY_NOT_APPROVED; visual QA status: HOMEPAGE_CTA_VISUAL_QA_READY_NO_PUBLIC_CHANGE.,"Only after owner approval, local QA and live/staging verification should the change be committed for deployment. After live publication, email the owner in Hebrew with review URL, summary and associated pages.",Explicit public-change approval.,no,No uPress pull or public-change email because no public change exists in this packet.
HLCG-11,associated_pages,REVIEW_BEFORE_PUBLIC_CHANGE,/lawyers/; /find-lawyer-how-to-find-good-attorney/; /national-insurance-attorney/; /bituach-leumi-appeal-guide/; /rental-agreement/; /labor-lawyer/; /consumer-rights-israel/; /eviction-notice-israel/,"If the homepage card action becomes profile-first or contact-first, inspect these surfaces for CTA wording, internal-link flow and cannibalization.","Choose whether card traffic should primarily feed lawyer profiles, contact forms or practice pages.",no,No internal-link or route decision from this guard.
HLCG-12,hard_stop,NO_PUBLIC_OR_LIVE_ACTION,This guard is private implementation preparation only.,"Do not publish, change CMS, SEO settings, CRM, leads, contacts, invoices, payments, email, WhatsApp, TalkTo, uPress or public homepage code from this artifact alone.",Owner approval required before any public-facing change.,no,All live/public actions remain blocked.
