page,clicks,impressions,ctr,position
/divorce-lawyer/,0,7,0,21.7
/trusted-divorce-attorney-guide/,0,82,0,76.6
/lawyers/,0,13,0,23.5
/types-of-lawyers-small-business/,2,472,0.42,35.5
/usa-lawyers/,2,484,0.41,22.7
/buy-real-estate-cyprus/,0,5,0,31.4
/about-cyprus/,1,1682,0.06,9.1
/investing-in-greece-real-estate/,1,808,0.12,36.7
/greece-price-list/,23,3512,0.65,14.0
/drug-trafficking/,0,172,0,18.4
/famous-criminal-defense-lawyer/,9,745,1.21,27.9
/low-value-invest-abroad/,8,384,2.08,23.8
/how-to-find-qualified-lawyer-israel-guide/,0,49,0,29.0
/lawyer-divorce-guide-proceedings-costs-rights/,0,39,0,39.8
