block_id,page_url,field_or_action,current_value,recommended_value,status,why,qa_check,blocked_until
RE-BUYSELL-001,https://jus-tice.co.il/lawyer-for-buying-or-selling-a-house/,target_url,https://jus-tice.co.il/lawyer-for-buying-or-selling-a-house/,Keep unchanged,VERIFIED_PLANNING,High-impression support URL should be preserved before migration decisions,Confirm HTTP 200 before and after edit,Owner approval
RE-BUYSELL-002,https://jus-tice.co.il/lawyer-for-buying-or-selling-a-house/,current_gsc_summary,"3 clicks; 35650 impressions; 0.01% CTR; avg position 61.5; HIGH traffic risk; DO_NOT_TOUCH_HIGH_TRAFFIC_URL",Use as baseline,VERIFIED,Shows transaction demand but weak click capture and high migration risk,Compare after recrawl in GSC,Public edit and recrawl
RE-BUYSELL-003,https://jus-tice.co.il/lawyer-for-buying-or-selling-a-house/,current_title,"עורך דין קניית דירה | עו""ד מכירת דירה | מומחה בעסקאות מקרקעין | Jus-Tice.co.il","עורך דין קניית דירה ומכירת דירה: חוזה, בדיקות ורישום | Jus-Tice",RECOMMENDED,Removes unsupported expert wording and clarifies transaction intent,Confirm source title output,Owner approves metadata
RE-BUYSELL-004,https://jus-tice.co.il/lawyer-for-buying-or-selling-a-house/,current_h1,"עורך דין קניית דירה | עו""ד מכירת דירה | מומחה בעסקאות מקרקעין","עורך דין קניית דירה או מכירת דירה: בדיקות, חוזה ורישום זכויות",RECOMMENDED,Clear support-page intent without reputation claims,Confirm exactly one visible H1,Owner approves metadata
RE-BUYSELL-005,https://jus-tice.co.il/lawyer-for-buying-or-selling-a-house/,current_meta,"עורך דין קניית דירה | עו""ד מכירת דירה | מומחה בעסקאות מקרקעין - עורך דין קניית דירה עו""ד מכירת דירה. מתקשרים בעסקת מקרקעין? על מנת לוודא כי השקעתם את כספכם במקום הנכון, הנכם זקוקים לייצוג משפטי של עורך דין מקרקעין מקצועי ומנוסה.","מדריך מעשי לקנייה או מכירת דירה: בדיקות לפני חתימה, חוזה מכר, תשלומים, קבלן, טאבו, מסמכים ושאלות שכדאי להכין לפני פנייה לעורך דין מקרקעין.",RECOMMENDED,Replaces claim-heavy wording with practical search-intent summary,Confirm meta description in source,Owner approves metadata
RE-BUYSELL-006,https://jus-tice.co.il/lawyer-for-buying-or-selling-a-house/,og_title,"עורך דין קניית דירה | עו""ד מכירת דירה | מומחה בעסקאות מקרקעין | Jus-Tice.co.il","עורך דין קניית דירה ומכירת דירה: חוזה ורישום זכויות",RECOMMENDED,Shorter social title aligned with transaction topic,Confirm OG title in source,Owner approves metadata
RE-BUYSELL-007,https://jus-tice.co.il/lawyer-for-buying-or-selling-a-house/,og_description,current meta description,Same as recommended meta description,RECOMMENDED,Consistent share description,Confirm OG description in source,Owner approves metadata
RE-BUYSELL-008,https://jus-tice.co.il/lawyer-for-buying-or-selling-a-house/,intro_block,current body opening,Use exact intro block from markdown package,RECOMMENDED,Improves first-screen transaction intent and links to main hub,Compare first paragraphs after upload,Owner approval and backup
RE-BUYSELL-009,https://jus-tice.co.il/lawyer-for-buying-or-selling-a-house/,practical_section,current support structure,Use exact practical section from markdown package,RECOMMENDED,Adds scan-friendly transaction checklist,Confirm H2 and bullet list render,Owner approval and backup
RE-BUYSELL-010,https://jus-tice.co.il/lawyer-for-buying-or-selling-a-house/,cta_block,current CTA,Use exact neutral CTA block from markdown package,RECOMMENDED,Creates lead path without result promise,Confirm CTA has no outcome guarantee,Owner approval and backup
