priority,slug,cluster,role,status,impressions,words,h2,internal_links,severity,issues
16670,real-estate-attorney,real-estate,pillar,200,151449,6839,2,1,10,em/en-dash x55 | few H2 (2) | few internal links (1)
15419,criminal-defense-attorney,criminal-law,pillar,200,96270,137,1,10,15,em/en-dash x7 | THIN (137 heb words) | few H2 (1)
7979,immigration-lawyer,immigration,pillar,200,72438,20915,2,1,10,em/en-dash x40 | few H2 (2) | few internal links (1)
5089,medical-malpractice-lawyer,medical-malpractice,pillar,200,39047,222,4,12,12,em/en-dash x5 | THIN (222 heb words)
5077,buying-property-in-greece,international-real-estate,spoke,200,56307,28896,3,10,8,em/en-dash x58 | emoji in body: ⚠️ | cliches: יתרה מזאת x2
4484,apply-for-police-criminal-information-certificates,criminal-law,spoke,200,74625,1089,3,7,5,em/en-dash x4 | emoji in body: 📌
4331,german-passport,immigration,spoke,200,72076,13872,11,7,5,em/en-dash x19
4056,sex-crime-lawyer,criminal-law,spoke,200,36772,23516,24,5,10,"em/en-dash x262 | cliches: חשוב לציין x3, בעידן המודרני x3"
4016,lawyer-for-buying-or-selling-a-house,real-estate,spoke,200,66834,2280,2,5,5,em/en-dash x8
3355,how-much-will-a-criminal-defense-lawyer-cost,criminal-law,spoke,200,41841,2392,3,6,7,em/en-dash x19 | cliches: חשוב לציין x2
3074,personal-injury-law,personal-injury,pillar,200,27848,7765,2,0,10,em/en-dash x25 | few H2 (2) | few internal links (0)
2958,labor-lawyer,employment,pillar,200,49196,757,2,1,5,few H2 (2) | few internal links (1)
2394,police-records-data-deletion,criminal-law,spoke,200,59761,652,3,6,3,em/en-dash x2 | emoji in body: 📌
2273,romanian-passport,immigration,spoke,200,37779,4421,11,10,5,em/en-dash x10
2063,lawyer-fee-outlook,employment,spoke,200,34284,7804,2,4,5,em/en-dash x203
1932,real-estate-appraiser,real-estate,spoke,200,15999,8939,2,5,11,em/en-dash x29 | EN scaffold: lorem
1879,traffic-lawyer,traffic-law,pillar,200,37486,1463,3,6,4,em/en-dash x1 | few H2 (3)
1768,how-much-does-a-lawyer-cost,personal-injury,spoke,404,17581,0,,,9,PAGE NOT 200
1704,real-estate-lawyer-guide,real-estate,spoke,200,33977,200,3,9,4,THIN (200 heb words)
1691,tax-investigation-guide,criminal-law,spoke,200,28081,15836,18,6,5,em/en-dash x210
1648,avoiding-mistakes-when-buying-property-in-cyprus,international-real-estate,spoke,200,27359,3738,21,6,5,em/en-dash x114
1616,driving-under-the-influence,traffic-law,spoke,200,26830,596,2,5,5,em/en-dash x2 | cliches: חשוב לדעת x3
