taxonomy_id,item_type,current_slug,term_or_meta,first_wave_decision,applies_to,approval_status,execution_status,reason
FD-TAX-001,practice-area-term,family-law,broad_family_law,ALLOW_PRIMARY_BROAD_TERM,all_first_wave_family_divorce_pages,OWNER_APPROVAL_REQUIRED,NOT_EXECUTED,Broad family-law term supports articles and lawyer-directory routing
FD-TAX-002,practice-area-term,divorce,divorce_subtopic,ALLOW_PRIMARY_SUBTOPIC,/divorce-lawyer/|/consensual-divorce/|/divorce-mediation/|/divorce-property-division/,OWNER_APPROVAL_REQUIRED,NOT_EXECUTED,Existing divorce term matches first-wave divorce service/support intent
FD-TAX-003,practice-area-term,child-support,child_support_subtopic,ALLOW_PRIMARY_SUBTOPIC,/child-support/,OWNER_LEGAL_APPROVAL_REQUIRED,NOT_EXECUTED,Existing child-support term matches support page intent
FD-TAX-004,practice-area-term,child-custody,child_custody_subtopic,ALLOW_PRIMARY_SUBTOPIC,/child-custody/,OWNER_LEGAL_APPROVAL_REQUIRED,NOT_EXECUTED,Existing child-custody term matches custody/parenting-time support intent
FD-TAX-005,practice-area-term,family-court,family_court_process,HOLD_FROM_FIRST_WAVE_SERVICE_PAGES,process_or_court_support_pages_only,OWNER_APPROVAL_REQUIRED,NOT_EXECUTED,Process/court term should not become broad divorce service taxonomy
FD-TAX-006,practice-area-term,rabbinical-court,rabbinical_court_process,HOLD_FROM_FIRST_WAVE_SERVICE_PAGES,rabbinical_process_support_pages_only,OWNER_LEGAL_APPROVAL_REQUIRED,NOT_EXECUTED,Court/process term needs role review before use
FD-TAX-007,practice-area-term,family-court-rulings,family_case_law_archive,HOLD_FROM_FIRST_WAVE_SERVICE_PAGES,case_law_archive_only,OWNER_APPROVAL_REQUIRED,NOT_EXECUTED,Case-law archive term should not drive service-page breadcrumbs
FD-TAX-008,practice-area-term,inheritance-law,inheritance_wills_phase_1b,HOLD_PHASE_1B,wills_inheritance_cluster,OWNER_APPROVAL_REQUIRED,NOT_EXECUTED,Inheritance is adjacent but outside first divorce wave
FD-TAX-009,practice-area-term,inheritance,inheritance_duplicate_review,HOLD_PHASE_1B_MERGE_REVIEW,wills_inheritance_cluster,OWNER_APPROVAL_REQUIRED,NOT_EXECUTED,Inheritance duplicate/legacy term needs separate cleanup
FD-TAX-010,practice-area-term,wills,wills_phase_1b,HOLD_PHASE_1B,wills_inheritance_cluster,OWNER_APPROVAL_REQUIRED,NOT_EXECUTED,Wills should not be mixed into first divorce upload
FD-TAX-011,practice-area-term,prenuptial-agreement,slug_collision,BLOCK_UNTIL_TERM_REVIEW,future_prenuptial_agreement,OWNER_APPROVAL_REQUIRED,NOT_EXECUTED,Current slug appears attached to unrelated criminal-law/ruling term; do not use for Family Law yet
FD-TAX-012,future-practice-area-term,divorce-agreement,divorce_agreement_future_term,BLOCK_NEW_TERM_CREATION_FIRST_WAVE,future_agreement_page,OWNER_APPROVAL_REQUIRED,NOT_EXECUTED,Do not add new term archives before first wave stabilizes
FD-TAX-013,future-practice-area-term,divorce-mediation,divorce_mediation_future_term,BLOCK_NEW_TERM_CREATION_FIRST_WAVE,/divorce-mediation/,OWNER_APPROVAL_REQUIRED,NOT_EXECUTED,Use family-law plus divorce first; create term only after demand review
FD-TAX-014,future-practice-area-term,property-division,property_division_future_term,BLOCK_NEW_TERM_CREATION_FIRST_WAVE,/divorce-property-division/,OWNER_APPROVAL_REQUIRED,NOT_EXECUTED,Use family-law plus divorce first; create term only after demand review
FD-TAX-015,future-practice-area-term,family-dispute-resolution,family_dispute_future_term,BLOCK_NEW_TERM_CREATION_FIRST_WAVE,/family-dispute-resolution/,OWNER_APPROVAL_REQUIRED,NOT_EXECUTED,Use family-law first; dedicated term later if process page becomes hub
FD-TAX-016,wp-category,category,legacy_wp_category,BLOCK_AS_CLUSTER_CONTROL,all_first_wave_pages,OWNER_APPROVAL_REQUIRED,NOT_EXECUTED,WP categories are noisy legacy architecture; use practice-areas instead
FD-TAX-017,post-tag,post_tag,legacy_tags,BLOCK_AS_CLUSTER_CONTROL,all_first_wave_pages,OWNER_APPROVAL_REQUIRED,NOT_EXECUTED,Tags should not drive first-wave breadcrumbs related cards or sitemap decisions
FD-TAX-018,city-taxonomy,city,lawyer_city_terms,BLOCK_FOR_ARTICLES,all_first_wave_articles,OWNER_APPROVAL_REQUIRED,NOT_EXECUTED,City taxonomy is for lawyer profiles and city matrix not article cluster assignment
FD-TAX-019,post-meta,content_cluster,cluster_metadata,REVIEW_NORMALIZE_TO_FAMILY_LAW_DIVORCE,all_first_wave_pages,OWNER_APPROVAL_REQUIRED,NOT_EXECUTED,Drafts currently say family-law; upload QA needs precise family-law-divorce cluster tracking
FD-TAX-020,post-meta,pillar_lawyer_area,lawyer_directory_area,ALLOW_FAMILY_LAW_VALUE,all_first_wave_pages,OWNER_APPROVAL_REQUIRED,NOT_EXECUTED,Family-law remains correct broad area for lawyer routing
FD-TAX-021,lawyer-profile-taxonomy,family-law,lawyer_profile_area,ALLOW_AFTER_PROFILE_SAFETY_APPROVAL,Maya_or_future_real_family_lawyers,OWNER_COMPLIANCE_APPROVAL_REQUIRED,NOT_EXECUTED,Only real/safe lawyer profiles should use this public filtering path
FD-TAX-022,term-archive-sitemap,practice-areas,term_archive_indexing,HOLD_UNTIL_SITEMAP_REVIEW,all_family_terms,OWNER_APPROVAL_REQUIRED,NOT_EXECUTED,Term archives should not be promoted until content and internal links are clean
