row_id,source_system,post_id,post_type,wp_status,current_url,current_slug,current_title,proposed_title,proposed_english_slug,proposed_new_url,canonical_url,content_body_file,content_body_exists,word_count,h1,meta_title,meta_description,rank_math_title,rank_math_description,author,reviewer,published_date,modified_date,categories,tags,practice_area,primary_cluster,secondary_cluster,pillar_page,supporting_page,cluster_role,primary_keyword,secondary_keywords,search_intent,gsc_clicks_3m,gsc_impressions_3m,gsc_ctr_3m,gsc_position_3m,gsc_clicks_12m,gsc_impressions_12m,gsc_ctr_12m,gsc_position_12m,top_queries,traffic_risk,cannibalization_group,cannibalization_notes,recommended_action,action_reason,redirect_required,redirect_type,redirect_target,redirect_priority,internal_links_needed,official_sources_needed,schema_needed,eeat_missing,legal_compliance_notes,content_gap_notes,business_opportunity,lead_gen_opportunity,lawyer_profile_opportunity,city_page_opportunity,import_ready,owner_review_required,data_gaps,backlink_check_needed,last_reviewed_by,last_reviewed_date,agent_notes
1,wp-rest-api+gsc-api+old-inventory,UNKNOWN,UNKNOWN,NEEDS_WP_PULL,https://jus-tice.co.il/,homepage,homepage,,UNKNOWN_NEEDS_SLUG_REVIEW,UNKNOWN_NEEDS_REVIEW,https://jus-tice.co.il/,UNKNOWN_NEEDS_RAR_EXTRACTION_OR_WP_REST_EXPORT,YES,UNKNOWN,UNKNOWN,,UNKNOWN,NEEDS_WP_REST_PULL,NEEDS_WP_REST_PULL,UNKNOWN,NEEDS_ASSIGNMENT,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NEEDS_WP_REST_PULL,UNKNOWN,UNKNOWN,,,,UNKNOWN,UNKNOWN,UNKNOWN,27,5469,0.49%,17.1,279,81329,0.34%,33.5,????? ???? ??? ??? ?? (3c/582i/p8.1) | ????? ???? ??? ??????? ???? (3c/80i/p10.9) | ????? ????? ??? (2c/267i/p10.0) | ????? ???? ??? (1c/347i/p7.2) | ????? ???? ??? (1c/227i/p8.2),HIGH,ייעוץ עורך דין אונליין חינם | עורכי דין בתל אביב | התייעצות עם עורך דין | מצא עורך דין | פגישת ייעוץ משפטי,15 competing queries,DO_NOT_TOUCH_HIGH_TRAFFIC_URL,High traffic - protect before any change,UNKNOWN_NEEDS_APPROVAL,301_IF_APPROVED,UNKNOWN,CRITICAL,NEEDS_MAPPING,NEEDS_REVIEW,"Article,BreadcrumbList","author,reviewer,last-updated",Add: אין באמור ייעוץ משפטי,,,lawyer-contact-form,YES,YES,DO_NOT_TOUCH,YES,NEEDS_WP_MATCH;NEEDS_CATEGORIES;NEEDS_BACKLINK_TOOL;NEEDS_WP_STATUS,YES_NEEDS_BACKLINK_TOOL,agent-2026-05-13,2026-05-13,
2,wp-rest-api+gsc-api+old-inventory,6612,articles,publish,https://jus-tice.co.il/%D7%90%D7%97%D7%A8%D7%99%D7%95%D7%AA-%D7%94%D7%91%D7%A2%D7%9C-%D7%9C%D7%97%D7%95%D7%91%D7%95%D7%AA-%D7%90%D7%A9%D7%AA%D7%95-%D7%A2%D7%9C-%D7%A4%D7%99-%D7%93%D7%99%D7%9F-%D7%AA%D7%95%D7%A8%D7%94-%D7%95%D7%A2%D7%9C-%D7%A4%D7%99-%D7%97%D7%95%D7%A7-%D7%99%D7%97%D7%A1%D7%99-%D7%9E%D7%9E%D7%95%D7%9F-%D7%96%D7%9B%D7%95%D7%99%D7%95%D7%AA-%D7%95%D7%97%D7%95%D7%91%D7%95%D7%AA-%D7%91%D7%9E%D7%A2%D7%A8%D7%9B%D7%AA-%D7%99%D7%97%D7%A1%D7%99%D7%9D-%D7%A9%D7%91%D7%94-%D7%94%D7%90%D7%99%D7%A9%D7%94-%D7%94%D7%99%D7%90-%D7%94%D7%9E%D7%A4%D7%A8%D7%A0%D7%A1%D7%AA,%d7%90%d7%97%d7%a8%d7%99%d7%95%d7%aa-%d7%94%d7%91%d7%a2%d7%9c-%d7%9c%d7%97%d7%95%d7%91%d7%95%d7%aa-%d7%90%d7%a9%d7%aa%d7%95-%d7%a2%d7%9c-%d7%a4%d7%99-%d7%93%d7%99%d7%9f-%d7%aa%d7%95%d7%a8%d7%94-%d7%95,"אחריות הבעל לחובות אשתו על פי דין תורה ועל פי חוק יחסי ממון,זכויות וחובות במערכת יחסים שבה האישה היא המפרנסת",,family-law-needs-slug-review,https://jus-tice.co.il/family-law-needs-slug-review/,https://jus-tice.co.il/%D7%90%D7%97%D7%A8%D7%99%D7%95%D7%AA-%D7%94%D7%91%D7%A2%D7%9C-%D7%9C%D7%97%D7%95%D7%91%D7%95%D7%AA-%D7%90%D7%A9%D7%AA%D7%95-%D7%A2%D7%9C-%D7%A4%D7%99-%D7%93%D7%99%D7%9F-%D7%AA%D7%95%D7%A8%D7%94-%D7%95%D7%A2%D7%9C-%D7%A4%D7%99-%D7%97%D7%95%D7%A7-%D7%99%D7%97%D7%A1%D7%99-%D7%9E%D7%9E%D7%95%D7%9F-%D7%96%D7%9B%D7%95%D7%99%D7%95%D7%AA-%D7%95%D7%97%D7%95%D7%91%D7%95%D7%AA-%D7%91%D7%9E%D7%A2%D7%A8%D7%9B%D7%AA-%D7%99%D7%97%D7%A1%D7%99%D7%9D-%D7%A9%D7%91%D7%94-%D7%94%D7%90%D7%99%D7%A9%D7%94-%D7%94%D7%99%D7%90-%D7%94%D7%9E%D7%A4%D7%A8%D7%A0%D7%A1%D7%AA,UNKNOWN_NEEDS_RAR_EXTRACTION_OR_WP_REST_EXPORT,YES,UNKNOWN,UNKNOWN,,UNKNOWN,NEEDS_WP_REST_PULL,NEEDS_WP_REST_PULL,282,NEEDS_ASSIGNMENT,2022-02-07,2022-02-07,,,NEEDS_WP_REST_PULL,family-law,UNKNOWN,NEEDS_MAPPING_family-law,,,UNKNOWN,UNKNOWN,UNKNOWN,2,51,3.92%,28.3,18,1568,1.15%,39.5,????? ????? ???????? (0c/3i/p78.0) | ????? ???? ????? (0c/2i/p70.0) | ??? ???? ????? ?????? ???? (0c/1i/p65.0) | ?????? ???? ????? ??? ?? ???? (0c/1i/p71.0) | ????? ????? ???? ??????? (0c/1i/p27.0),LOW,תביעה לאיזון משאבים דוגמא | שיתוף חובות לאחר גירושין,2 competing queries,NEEDS_MERGE_REVIEW,,UNKNOWN_NEEDS_APPROVAL,301_IF_APPROVED,UNKNOWN,NORMAL,NEEDS_MAPPING,NEEDS_REVIEW,"Article,BreadcrumbList","author,reviewer,last-updated",Add: אין באמור ייעוץ משפטי,,Lead gen via family-law,lawyer-contact-form,YES,YES,READY_FOR_REVIEW,YES,NEEDS_CATEGORIES;NEEDS_BACKLINK_TOOL,YES_NEEDS_BACKLINK_TOOL,agent-2026-05-13,2026-05-13,
3,wp-rest-api+gsc-api+old-inventory,6657,articles,publish,https://jus-tice.co.il/%D7%90%D7%99%D7%96%D7%95%D7%9F-%D7%9E%D7%A9%D7%90%D7%91%D7%99%D7%9D-%D7%9B%D7%A1%D7%A4%D7%99%D7%9D-%D7%94%D7%9E%D7%A6%D7%95%D7%99%D7%99%D7%9D-%D7%91%D7%97%D7%A9%D7%91%D7%95%D7%A0%D7%95%D7%AA-%D7%91%D7%9F-%D7%96%D7%95%D7%92-%D7%94%D7%91%D7%A8%D7%97%D7%AA-%D7%A0%D7%9B%D7%A1%D7%99%D7%9D,%d7%94%d7%90%d7%9d-%d7%99%d7%a9-%d7%9e%d7%a7%d7%95%d7%9d-%d7%9c%d7%94%d7%95%d7%a6%d7%99%d7%90-%d7%9e%d7%90%d7%99%d7%96%d7%95%d7%9f-%d7%94%d7%9e%d7%a9%d7%90%d7%91%d7%99%d7%9d-%d7%9b%d7%a1%d7%a4%d7%99,האם יש מקום להוציא מאיזון המשאבים כספים המצויים בחשבונות בן זוג בחשד כי הוברחו,,family-law-needs-slug-review,https://jus-tice.co.il/family-law-needs-slug-review/,https://jus-tice.co.il/%D7%90%D7%99%D7%96%D7%95%D7%9F-%D7%9E%D7%A9%D7%90%D7%91%D7%99%D7%9D-%D7%9B%D7%A1%D7%A4%D7%99%D7%9D-%D7%94%D7%9E%D7%A6%D7%95%D7%99%D7%99%D7%9D-%D7%91%D7%97%D7%A9%D7%91%D7%95%D7%A0%D7%95%D7%AA-%D7%91%D7%9F-%D7%96%D7%95%D7%92-%D7%94%D7%91%D7%A8%D7%97%D7%AA-%D7%A0%D7%9B%D7%A1%D7%99%D7%9D,UNKNOWN_NEEDS_RAR_EXTRACTION_OR_WP_REST_EXPORT,YES,UNKNOWN,UNKNOWN,,UNKNOWN,NEEDS_WP_REST_PULL,NEEDS_WP_REST_PULL,282,NEEDS_ASSIGNMENT,2022-02-09,2022-02-09,,,NEEDS_WP_REST_PULL,family-law,UNKNOWN,NEEDS_MAPPING_family-law,,,UNKNOWN,UNKNOWN,UNKNOWN,0,86,0.00%,33.5,7,2362,0.30%,53.9,????? ????? ???????? (0c/21i/p75.7) | ????? ??????? ??? ???? ???? (0c/1i/p30.0) | ????? ????? ??? ??? ??? (0c/1i/p31.0) | ?? ? ??? ?????? (0c/1i/p76.0),MEDIUM,העלמת כספים בגירושין,1 competing queries,NEEDS_MERGE_REVIEW,,UNKNOWN_NEEDS_APPROVAL,301_IF_APPROVED,UNKNOWN,HIGH,NEEDS_MAPPING,NEEDS_REVIEW,"Article,BreadcrumbList","author,reviewer,last-updated",Add: אין באמור ייעוץ משפטי,,Lead gen via family-law,lawyer-contact-form,YES,YES,READY_FOR_REVIEW,YES,NEEDS_CATEGORIES;NEEDS_BACKLINK_TOOL,YES_NEEDS_BACKLINK_TOOL,agent-2026-05-13,2026-05-13,
4,wp-rest-api+gsc-api+old-inventory,UNKNOWN,UNKNOWN,NEEDS_WP_PULL,https://jus-tice.co.il/%D7%90%D7%99%D7%96%D7%95%D7%A8%D7%99%D7%9D/%D7%AA%D7%9C-%D7%90%D7%91%D7%99%D7%91-%D7%95%D7%94%D7%9E%D7%A8%D7%9B%D7%96,??-????-??????,?? ???? ??????,,UNKNOWN_NEEDS_SLUG_REVIEW,UNKNOWN_NEEDS_REVIEW,https://jus-tice.co.il/%D7%90%D7%99%D7%96%D7%95%D7%A8%D7%99%D7%9D/%D7%AA%D7%9C-%D7%90%D7%91%D7%99%D7%91-%D7%95%D7%94%D7%9E%D7%A8%D7%9B%D7%96,UNKNOWN_NEEDS_RAR_EXTRACTION_OR_WP_REST_EXPORT,YES,UNKNOWN,UNKNOWN,,UNKNOWN,NEEDS_WP_REST_PULL,NEEDS_WP_REST_PULL,UNKNOWN,NEEDS_ASSIGNMENT,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NEEDS_WP_REST_PULL,UNKNOWN,UNKNOWN,,,,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0%,NOT_IN_GSC_3M,0,14,0.00%,15.9,UNKNOWN,LOW,,,NEEDS_WP_MATCH,,UNKNOWN_NEEDS_APPROVAL,301_IF_APPROVED,UNKNOWN,NORMAL,NEEDS_MAPPING,NEEDS_REVIEW,"Article,BreadcrumbList","author,reviewer,last-updated",Add: אין באמור ייעוץ משפטי,,,lawyer-contact-form,YES,YES,NO,YES,NEEDS_WP_MATCH;NEEDS_CATEGORIES;NEEDS_GSC_3M;NEEDS_BACKLINK_TOOL;NEEDS_WP_STATUS,YES_NEEDS_BACKLINK_TOOL,agent-2026-05-13,2026-05-13,
5,wp-rest-api+gsc-api+old-inventory,11918,articles,publish,https://jus-tice.co.il/%D7%90%D7%99%D7%9A-%D7%9C%D7%94%D7%AA%D7%92%D7%A8%D7%A9-%D7%A0%D7%9B%D7%95%D7%9F-%D7%95%D7%9E%D7%94%D7%A8,%d7%a2%d7%95%d7%a8%d7%9a-%d7%93%d7%99%d7%9f-%d7%92%d7%99%d7%a8%d7%95%d7%a9%d7%99%d7%9f-%d7%9e%d7%a1%d7%91%d7%99%d7%a8-%d7%90%d7%99%d7%9a-%d7%9c%d7%94%d7%aa%d7%92%d7%a8%d7%a9-%d7%a0%d7%9b%d7%95%d7%9f,עורך דין גירושין מסביר איך להתגרש נכון ומהר ולשמור על הזכויות | עו&#8221;ד מגשרת רוטנברג,,UNKNOWN_NEEDS_SLUG_REVIEW,UNKNOWN_NEEDS_REVIEW,https://jus-tice.co.il/%D7%90%D7%99%D7%9A-%D7%9C%D7%94%D7%AA%D7%92%D7%A8%D7%A9-%D7%A0%D7%9B%D7%95%D7%9F-%D7%95%D7%9E%D7%94%D7%A8,UNKNOWN_NEEDS_RAR_EXTRACTION_OR_WP_REST_EXPORT,YES,UNKNOWN,UNKNOWN,,UNKNOWN,NEEDS_WP_REST_PULL,NEEDS_WP_REST_PULL,282,NEEDS_ASSIGNMENT,2025-02-01,2025-02-01,,,NEEDS_WP_REST_PULL,UNKNOWN,UNKNOWN,,,,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0%,NOT_IN_GSC_3M,0,12,0.00%,30.9,UNKNOWN,LOW,,,NEEDS_CLUSTER_CLASSIFICATION,,UNKNOWN_NEEDS_APPROVAL,301_IF_APPROVED,UNKNOWN,NORMAL,NEEDS_MAPPING,NEEDS_REVIEW,"Article,BreadcrumbList","author,reviewer,last-updated",Add: אין באמור ייעוץ משפטי,,,lawyer-contact-form,YES,YES,NO,YES,NEEDS_CATEGORIES;NEEDS_GSC_3M;NEEDS_BACKLINK_TOOL,YES_NEEDS_BACKLINK_TOOL,agent-2026-05-13,2026-05-13,
6,wp-rest-api+gsc-api+old-inventory,10154,articles,publish,https://jus-tice.co.il/%D7%90%D7%99%D7%9A-%D7%9C%D7%9E%D7%A6%D7%95%D7%90-%D7%A1%D7%95%D7%9B%D7%9F-%D7%A0%D7%93%D7%9C%D7%9F-%D7%98%D7%95%D7%91,%d7%9e%d7%aa%d7%95%d7%95%d7%9a-%d7%93%d7%99%d7%a8%d7%95%d7%aa-%d7%90%d7%99%d7%9a-%d7%9c%d7%9e%d7%a6%d7%95%d7%90-%d7%a1%d7%95%d7%9b%d7%9f-%d7%a0%d7%93%d7%9c%d7%9f-%d7%98%d7%95%d7%91,מתווך דירות: איך למצוא סוכן נדל&#8221;ן טוב,,real-estate-needs-slug-review,https://jus-tice.co.il/real-estate-needs-slug-review/,https://jus-tice.co.il/%D7%90%D7%99%D7%9A-%D7%9C%D7%9E%D7%A6%D7%95%D7%90-%D7%A1%D7%95%D7%9B%D7%9F-%D7%A0%D7%93%D7%9C%D7%9F-%D7%98%D7%95%D7%91,UNKNOWN_NEEDS_RAR_EXTRACTION_OR_WP_REST_EXPORT,YES,UNKNOWN,UNKNOWN,,UNKNOWN,NEEDS_WP_REST_PULL,NEEDS_WP_REST_PULL,282,NEEDS_ASSIGNMENT,2023-10-04,2023-10-04,,,NEEDS_WP_REST_PULL,real-estate,UNKNOWN,NEEDS_MAPPING_real-estate,,,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0%,NOT_IN_GSC_3M,0,4,0.00%,7.5,UNKNOWN,LOW,,,NEEDS_CONTENT_REVIEW,,UNKNOWN_NEEDS_APPROVAL,301_IF_APPROVED,UNKNOWN,NORMAL,NEEDS_MAPPING,NEEDS_REVIEW,"Article,BreadcrumbList","author,reviewer,last-updated",Add: אין באמור ייעוץ משפטי,,Lead gen via real-estate,lawyer-contact-form,YES,YES,READY_FOR_REVIEW,YES,NEEDS_CATEGORIES;NEEDS_GSC_3M;NEEDS_BACKLINK_TOOL,YES_NEEDS_BACKLINK_TOOL,agent-2026-05-13,2026-05-13,
7,wp-rest-api+gsc-api+old-inventory,11969,articles,publish,https://jus-tice.co.il/%D7%90%D7%99%D7%9A-%D7%9C%D7%A7%D7%A0%D7%95%D7%AA-%D7%A0%D7%93%D7%9C%D7%9F-%D7%91%D7%96%D7%95%D7%9C-%D7%95%D7%9C%D7%94%D7%A8%D7%95%D7%95%D7%99%D7%97,%d7%90%d7%99%d7%9a-%d7%9c%d7%a7%d7%a0%d7%95%d7%aa-%d7%a0%d7%93%d7%9c%d7%9f-%d7%91%d7%96%d7%95%d7%9c-%d7%95%d7%9c%d7%94%d7%a8%d7%95%d7%95%d7%99%d7%97-%d7%94%d7%9e%d7%93%d7%a8%d7%99%d7%9a-%d7%94,איך לקנות נדל&#8221;ן בזול ולהרוויח: המדריך המלא 2025,,real-estate-needs-slug-review,https://jus-tice.co.il/real-estate-needs-slug-review/,https://jus-tice.co.il/%D7%90%D7%99%D7%9A-%D7%9C%D7%A7%D7%A0%D7%95%D7%AA-%D7%A0%D7%93%D7%9C%D7%9F-%D7%91%D7%96%D7%95%D7%9C-%D7%95%D7%9C%D7%94%D7%A8%D7%95%D7%95%D7%99%D7%97,UNKNOWN_NEEDS_RAR_EXTRACTION_OR_WP_REST_EXPORT,YES,UNKNOWN,UNKNOWN,,UNKNOWN,NEEDS_WP_REST_PULL,NEEDS_WP_REST_PULL,282,NEEDS_ASSIGNMENT,2025-02-12,2025-02-12,,,NEEDS_WP_REST_PULL,real-estate,UNKNOWN,NEEDS_MAPPING_real-estate,,,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0%,NOT_IN_GSC_3M,14,4417,0.32%,41.6,UNKNOWN,MEDIUM,,,NEEDS_CONTENT_REVIEW,,UNKNOWN_NEEDS_APPROVAL,301_IF_APPROVED,UNKNOWN,HIGH,NEEDS_MAPPING,NEEDS_REVIEW,"Article,BreadcrumbList","author,reviewer,last-updated",Add: אין באמור ייעוץ משפטי,,Lead gen via real-estate,lawyer-contact-form,YES,YES,READY_FOR_REVIEW,YES,NEEDS_CATEGORIES;NEEDS_GSC_3M;NEEDS_BACKLINK_TOOL,YES_NEEDS_BACKLINK_TOOL,agent-2026-05-13,2026-05-13,
8,wp-rest-api+gsc-api+old-inventory,10016,articles,publish,https://jus-tice.co.il/%D7%90%D7%99%D7%9E%D7%95%D7%AA-%D7%97%D7%AA%D7%99%D7%9E%D7%94-%D7%A0%D7%95%D7%98%D7%A8%D7%99%D7%95%D7%9F-%D7%9E%D7%A9%D7%95%D7%9C%D7%91-%D7%A2%D7%91%D7%A8%D7%99%D7%AA-%D7%90%D7%A0%D7%92%D7%9C%D7%99%D7%AA,%d7%90%d7%99%d7%9e%d7%95%d7%aa-%d7%97%d7%aa%d7%99%d7%9e%d7%94-%d7%a0%d7%95%d7%98%d7%a8%d7%99%d7%95%d7%9f-%d7%9e%d7%a9%d7%95%d7%9c%d7%91-%d7%a2%d7%91%d7%a8%d7%99%d7%aa-%d7%90%d7%a0%d7%92%d7%9c%d7%99,אימות חתימה נוטריון &#8211; משולב עברית אנגלית,,notary-foreign-needs-slug-review,https://jus-tice.co.il/notary-foreign-needs-slug-review/,https://jus-tice.co.il/%D7%90%D7%99%D7%9E%D7%95%D7%AA-%D7%97%D7%AA%D7%99%D7%9E%D7%94-%D7%A0%D7%95%D7%98%D7%A8%D7%99%D7%95%D7%9F-%D7%9E%D7%A9%D7%95%D7%9C%D7%91-%D7%A2%D7%91%D7%A8%D7%99%D7%AA-%D7%90%D7%A0%D7%92%D7%9C%D7%99%D7%AA,UNKNOWN_NEEDS_RAR_EXTRACTION_OR_WP_REST_EXPORT,YES,UNKNOWN,UNKNOWN,,UNKNOWN,NEEDS_WP_REST_PULL,NEEDS_WP_REST_PULL,282,NEEDS_ASSIGNMENT,2023-09-19,2023-09-19,,,NEEDS_WP_REST_PULL,notary-foreign,UNKNOWN,NEEDS_MAPPING_notary-foreign,,,UNKNOWN,UNKNOWN,UNKNOWN,1,144,0.69%,35.3,1,905,0.11%,46.2,"????? ??????? (0c/22i/p49.4) | ??????? ?????? (0c/18i/p47.4) | ??????? ??????? (0c/16i/p64.7) | ????? ????? ??????? (0c/8i/p10.3) | ????? ????? ???????? ???""? (0c/6i/p36.0)",LOW,,,NEEDS_CONTENT_REVIEW,,UNKNOWN_NEEDS_APPROVAL,301_IF_APPROVED,UNKNOWN,NORMAL,NEEDS_MAPPING,NEEDS_REVIEW,"Article,BreadcrumbList","author,reviewer,last-updated",Add: אין באמור ייעוץ משפטי,,Lead gen via notary-foreign,lawyer-contact-form,YES,YES,READY_FOR_REVIEW,YES,NEEDS_CATEGORIES;NEEDS_BACKLINK_TOOL,YES_NEEDS_BACKLINK_TOOL,agent-2026-05-13,2026-05-13,
9,wp-rest-api+gsc-api+old-inventory,12013,articles,publish,https://jus-tice.co.il/%D7%90%D7%99%D7%A4%D7%94-%D7%94%D7%9B%D7%99-%D7%9E%D7%A9%D7%AA%D7%9C%D7%9D-%D7%9C%D7%9E%D7%A9%D7%A7%D7%99%D7%A2-%D7%94%D7%99%D7%A9%D7%A8%D7%90%D7%9C%D7%99-%D7%9C%D7%A7%D7%A0%D7%95%D7%AA-%D7%93%D7%99%D7%A8%D7%94-%D7%91%D7%A2%D7%95%D7%9C%D7%9D,%d7%9e%d7%93%d7%a8%d7%99%d7%9a-2025-%d7%90%d7%99%d7%a4%d7%94-%d7%94%d7%9b%d7%99-%d7%9e%d7%a9%d7%aa%d7%9c%d7%9d-%d7%9c%d7%9e%d7%a9%d7%a7%d7%99%d7%a2-%d7%94%d7%99%d7%a9%d7%a8%d7%90%d7%9c%d7%99-%d7%9c,מדריך 2025: איפה הכי משתלם למשקיע הישראלי לקנות דירה בעולם?,,real-estate-needs-slug-review,https://jus-tice.co.il/real-estate-needs-slug-review/,https://jus-tice.co.il/%D7%90%D7%99%D7%A4%D7%94-%D7%94%D7%9B%D7%99-%D7%9E%D7%A9%D7%AA%D7%9C%D7%9D-%D7%9C%D7%9E%D7%A9%D7%A7%D7%99%D7%A2-%D7%94%D7%99%D7%A9%D7%A8%D7%90%D7%9C%D7%99-%D7%9C%D7%A7%D7%A0%D7%95%D7%AA-%D7%93%D7%99%D7%A8%D7%94-%D7%91%D7%A2%D7%95%D7%9C%D7%9D,UNKNOWN_NEEDS_RAR_EXTRACTION_OR_WP_REST_EXPORT,YES,UNKNOWN,UNKNOWN,,UNKNOWN,NEEDS_WP_REST_PULL,NEEDS_WP_REST_PULL,282,NEEDS_ASSIGNMENT,2025-02-23,2025-02-23,,,NEEDS_WP_REST_PULL,real-estate,UNKNOWN,NEEDS_MAPPING_real-estate,,,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0%,NOT_IN_GSC_3M,107,31184,0.34%,32.2,UNKNOWN,HIGH,,,DO_NOT_TOUCH_HIGH_TRAFFIC_URL,High traffic - protect before any change,UNKNOWN_NEEDS_APPROVAL,301_IF_APPROVED,UNKNOWN,CRITICAL,NEEDS_MAPPING,NEEDS_REVIEW,"Article,BreadcrumbList","author,reviewer,last-updated",Add: אין באמור ייעוץ משפטי,,Lead gen via real-estate,lawyer-contact-form,YES,YES,DO_NOT_TOUCH,YES,NEEDS_CATEGORIES;NEEDS_GSC_3M;NEEDS_BACKLINK_TOOL,YES_NEEDS_BACKLINK_TOOL,agent-2026-05-13,2026-05-13,
10,wp-rest-api+gsc-api+old-inventory,11977,articles,publish,https://jus-tice.co.il/%D7%90%D7%99%D7%A4%D7%94-%D7%9B%D7%93%D7%90%D7%99-%D7%9C%D7%94%D7%A9%D7%A7%D7%99%D7%A2-%D7%A0%D7%93%D7%9C%D7%9F-%D7%91%D7%93%D7%95%D7%91%D7%90%D7%99,%d7%90%d7%99%d7%a4%d7%94-%d7%9b%d7%93%d7%90%d7%99-%d7%9c%d7%94%d7%a9%d7%a7%d7%99%d7%a2-%d7%a0%d7%93%d7%9c%d7%9f-%d7%91%d7%93%d7%95%d7%91%d7%90%d7%99-2025,איפה כדאי להשקיע? נדל&#8221;ן בדובאי  2025,,real-estate-needs-slug-review,https://jus-tice.co.il/real-estate-needs-slug-review/,https://jus-tice.co.il/%D7%90%D7%99%D7%A4%D7%94-%D7%9B%D7%93%D7%90%D7%99-%D7%9C%D7%94%D7%A9%D7%A7%D7%99%D7%A2-%D7%A0%D7%93%D7%9C%D7%9F-%D7%91%D7%93%D7%95%D7%91%D7%90%D7%99,UNKNOWN_NEEDS_RAR_EXTRACTION_OR_WP_REST_EXPORT,YES,UNKNOWN,UNKNOWN,,UNKNOWN,NEEDS_WP_REST_PULL,NEEDS_WP_REST_PULL,282,NEEDS_ASSIGNMENT,2025-02-13,2025-02-13,,,NEEDS_WP_REST_PULL,real-estate,UNKNOWN,NEEDS_MAPPING_real-estate,,,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0%,NOT_IN_GSC_3M,59,16008,0.37%,26.0,UNKNOWN,MEDIUM,,,DO_NOT_TOUCH_HIGH_TRAFFIC_URL,,UNKNOWN_NEEDS_APPROVAL,301_IF_APPROVED,UNKNOWN,HIGH,NEEDS_MAPPING,NEEDS_REVIEW,"Article,BreadcrumbList","author,reviewer,last-updated",Add: אין באמור ייעוץ משפטי,,Lead gen via real-estate,lawyer-contact-form,YES,YES,READY_FOR_REVIEW,YES,NEEDS_CATEGORIES;NEEDS_GSC_3M;NEEDS_BACKLINK_TOOL,YES_NEEDS_BACKLINK_TOOL,agent-2026-05-13,2026-05-13,
