source_url,source_title,target_url,target_title,anchor_text,opportunity_type,priority,status,notes
/consensual-divorce/,גירושין בהסכמה,/divorce-lawyer/,עורך דין גירושין,עורך דין גירושין,Supporting -> Pillar,CRITICAL,PLANNED,"Every divorce supporting article should link to the pillar."
/divorce-mediation/,גישור גירושין,/divorce-lawyer/,עורך דין גירושין,עורך דין גירושין,Supporting -> Pillar,HIGH,PLANNED,"Add contextual CTA and article link."
/child-support/,מזונות ילדים,/divorce-lawyer/,עורך דין גירושין,עורך דין גירושין,Supporting -> Pillar,HIGH,PLANNED,"Also link to family-lawyer when created."
/child-custody/,משמורת ילדים,/divorce-lawyer/,עורך דין גירושין,עורך דין גירושין,Supporting -> Pillar,HIGH,PLANNED,"Important family-law internal link."
/divorce-lawyer/,עורך דין גירושין,/consensual-divorce/,גירושין בהסכמה,גירושין בהסכמה,Pillar -> Supporting,HIGH,PLANNED,"Pillar table of contents should link out."
/divorce-lawyer/,עורך דין גירושין,/lawyers/?area=family-law,עורכי דין משפחה וגירושין,עורכי דין גירושין,Commercial -> Directory,CRITICAL,PLANNED,"Pillar should show lawyer cards and link to archive filter."
/divorce-lawyer/,עורך דין גירושין,/legal-tools/family-agreement/,הסכם משפחתי,בניית הסכם משפחתי,Commercial -> LegalTech,HIGH,PLANNED,"Connect content to product revenue."
/criminal-lawyer/,עורך דין פלילי,/police-investigation/,חקירה במשטרה,חקירה במשטרה,Pillar -> Supporting,HIGH,PLANNED,"Urgent content module."
/police-investigation/,חקירה במשטרה,/criminal-lawyer/,עורך דין פלילי,עורך דין פלילי,Supporting -> Pillar,CRITICAL,PLANNED,"High urgency lead CTA."
/real-estate-lawyer/,עורך דין מקרקעין,/buying-apartment/,קניית דירה,קניית דירה,Pillar -> Supporting,HIGH,PLANNED,"Transaction content."
/buying-apartment/,קניית דירה,/real-estate-lawyer/,עורך דין מקרקעין,עורך דין מקרקעין,Supporting -> Pillar,HIGH,PLANNED,"Commercial conversion."
/real-estate-lawyer/,עורך דין מקרקעין,/legal-tools/real-estate-contract-review/,בדיקת חוזה נדל״ן,בדיקת חוזה נדל״ן,Commercial -> LegalTech,CRITICAL,PLANNED,"High-value product entry."
/medical-malpractice-lawyer/,עורך דין רשלנות רפואית,/pregnancy-malpractice/,רשלנות רפואית בהריון,רשלנות רפואית בהריון,Pillar -> Supporting,HIGH,PLANNED,"YMYL cluster depth."
/pregnancy-malpractice/,רשלנות רפואית בהריון,/medical-malpractice-lawyer/,עורך דין רשלנות רפואית,עורך דין רשלנות רפואית,Supporting -> Pillar,HIGH,PLANNED,"Add disclaimer and lawyer CTA."
/personal-injury-lawyer/,עורך דין נזיקין,/work-accident-lawyer/,עורך דין תאונת עבודה,עורך דין תאונת עבודה,Related Pillar,HIGH,PLANNED,"Differentiate injury vs employment/national-insurance."
/inheritance-lawyer/,עורך דין ירושה,/will/,צוואה,צוואה,Pillar -> Supporting,MEDIUM,PLANNED,"Document product opportunity."
/will-contest/,התנגדות לצוואה,/inheritance-lawyer/,עורך דין ירושה,עורך דין ירושה,Supporting -> Pillar,HIGH,PLANNED,"Dispute lead intent."
