link_id,source,target,relationship_type,priority,anchor_intent,placement_guidance,approval_status,execution_status,reason
MEDMAL-LINK-001,https://jus-tice.co.il/medical-malpractice-lawyer/,REFERENCE:MEDMAL-DUPLICATE-SAME-URL-001,IDENTITY_GATE,P0,no anchor,Resolve duplicate public URL record before editing or linking,OWNER_APPROVAL_REQUIRED,NOT_EXECUTED,Authoritative CMS state must be known first
MEDMAL-LINK-002,https://jus-tice.co.il/medical-malpractice-lawyer/,REFERENCE:MEDMAL-FEE-GSC-001,PILLAR_TO_SUPPORT,P1,fees and cost intent,Add contextual support link from cost/fees section after comparison,OWNER_LEGAL_APPROVAL_REQUIRED,NOT_EXECUTED,Fee article is visible in GSC for main query and must be protected
MEDMAL-LINK-003,REFERENCE:MEDMAL-FEE-GSC-001,https://jus-tice.co.il/medical-malpractice-lawyer/,SUPPORT_TO_PILLAR,P1,medical malpractice lawyer,Add one contextual link back to approved pillar after role approval,OWNER_LEGAL_APPROVAL_REQUIRED,NOT_EXECUTED,Support page should not compete with pillar
MEDMAL-LINK-004,https://jus-tice.co.il/medical-malpractice-lawyer/,REFERENCE:MEDMAL-BIRTH-HEBREW-GSC-001,PILLAR_TO_PROTECTED_ASSET,P1,birth and pregnancy malpractice,Link only after split or merge decision is approved,OWNER_LEGAL_APPROVAL_REQUIRED,NOT_EXECUTED,Old Hebrew page owns visible birth and pregnancy demand
MEDMAL-LINK-005,REFERENCE:MEDMAL-BIRTH-HEBREW-GSC-001,https://jus-tice.co.il/medical-malpractice-lawyer/,PROTECTED_ASSET_TO_PILLAR,P1,medical malpractice lawyer,Add careful contextual hub link after comparison,OWNER_LEGAL_APPROVAL_REQUIRED,NOT_EXECUTED,Old page should support final pillar without losing GSC value
MEDMAL-LINK-006,https://jus-tice.co.il/medical-malpractice-lawyer/,https://jus-tice.co.il/anesthesia-medical-malpractice/,PILLAR_TO_SUPPORT,P1,anesthesia malpractice,Add under treatment and hospital error support area,OWNER_LEGAL_APPROVAL_REQUIRED,NOT_EXECUTED,Unique support topic if medically reviewed
MEDMAL-LINK-007,https://jus-tice.co.il/anesthesia-medical-malpractice/,https://jus-tice.co.il/medical-malpractice-lawyer/,SUPPORT_TO_PILLAR,P1,medical malpractice lawyer,Add one contextual link back to pillar,OWNER_LEGAL_APPROVAL_REQUIRED,NOT_EXECUTED,Support page needs clear hub relationship
MEDMAL-LINK-008,https://jus-tice.co.il/medical-malpractice-lawyer/,https://jus-tice.co.il/surgical-errors-medical-malpractice/,PILLAR_TO_SUPPORT,P1,surgical errors,Add under surgery and hospital treatment support area,OWNER_LEGAL_APPROVAL_REQUIRED,NOT_EXECUTED,Thin support page needs source review before promotion
MEDMAL-LINK-009,https://jus-tice.co.il/surgical-errors-medical-malpractice/,https://jus-tice.co.il/medical-malpractice-lawyer/,SUPPORT_TO_PILLAR,P1,medical malpractice lawyer,Add one contextual link back to pillar after expansion,OWNER_LEGAL_APPROVAL_REQUIRED,NOT_EXECUTED,Support page should not become duplicate commercial page
MEDMAL-LINK-010,https://jus-tice.co.il/medical-malpractice-lawyer/,https://jus-tice.co.il/personal-injury/medical-malpractice/surgery/,PILLAR_TO_SUPPORT_HOLD,P1,surgery malpractice,HOLD until nested URL and canonical role are approved,OWNER_APPROVAL_REQUIRED,NOT_EXECUTED,Nested path may need URL strategy review
