gsc_reason,url,url_type,content_inventory_match,quality_signal,cluster,classification,recommended_action,redirect_allowed_now,delete_allowed_now,owner_review_required,notes,status
"Crawled - currently not indexed","https://jus-tice.co.il/wp-content/uploads/2020/03/בגץ-214520..pdf","MEDIA_PDF","NO_POST_MATCH","UNKNOWN","media/case-documents","MEDIA_LIBRARY_NOISE","MEDIA_REVIEW_NO_DELETE; decide whether PDF needs HTML wrapper, noindex later, or keep as source document","NO","NO","YES","PDFs are common in GSC not-indexed samples. Do not delete because some PDFs already have clicks/impressions.","CLASSIFIED"
"Crawled - currently not indexed","https://jus-tice.co.il/rita-judice/","ARTICLE","post_id=11338","110 words; quality score 2; thin","needs-classification","THIN_FOREIGN_LEGAL_PROFILE","REVIEW_CLASSIFY; decide whether international-lawyer/person-profile content belongs in Jus-Tice; possible noindex/merge later","NO","NO","YES","Clean English slug, but content is thin and not central to Israeli legal portal intent.","CLASSIFIED"
"Crawled - currently not indexed","https://jus-tice.co.il/wp-includes/js/dist/vendor/wp-polyfill-element-closest.min.js?ver=2.0.2","TECHNICAL_ASSET","NO_POST_MATCH","not content","technical-assets","ASSET_URL","NO_CONTENT_ACTION; ensure assets are not submitted in sitemap and are crawlable only as render resources","NO","NO","NO","Not a content/indexing problem. Treat as technical noise unless sitemap/internal links expose it.","CLASSIFIED"
"Crawled - currently not indexed","https://jus-tice.co.il/labor_law/גיוס-עובדים/","LEGACY_CPT_URL","legacy CPT; related `/articles/גיוס-עובדים/` appears in inventory output","UNKNOWN","employment-law","LEGACY_CPT_MIGRATION_CANDIDATE","COMPARE_LEGACY_AND_ARTICLES_VERSION; migrate/merge into Articles if useful; redirect later only after approval","NO","NO","YES","Confirms old CPT paths still appear in GSC coverage. This is migration planning, not deletion.","CLASSIFIED"
"Crawled - currently not indexed","https://jus-tice.co.il/חתימה-על-רשימת-ליקויים/","ARTICLE","post_id=10163","574 words; quality score 4; thin","real-estate/construction-defects","REAL_CONTENT_CANDIDATE_THIN","EXPAND_OR_MERGE into construction-defects / buying-apartment cluster; map English slug before any redirect","NO","NO","YES","Useful user-intent topic but too thin for competitive SEO and has Hebrew slug.","CLASSIFIED"
"Crawled - currently not indexed","https://jus-tice.co.il/divorce-mediation-basics","ARTICLE","post_id=1125","1045 words; quality score 4","family-law-divorce","FAMILY_SUPPORT_DUPLICATE_RISK","COMPARE with planned `/divorce-mediation/`; merge useful sections; redirect later only if approved","NO","NO","YES","Clean-ish English slug but likely overlaps future `/divorce-mediation/`. It should not become a duplicate public article.","CLASSIFIED"
"Duplicate without user-selected canonical","https://jus-tice.co.il/wp-content/uploads/2023/08/formular_abc_v._cnv_final_05.10.2022.pdf","MEDIA_PDF","NO_POST_MATCH","UNKNOWN","media/documents","MEDIA_DUPLICATE_CANONICAL","MEDIA_REVIEW; decide wrapper/noindex/keep policy for document library","NO","NO","YES","Duplicate/canonical bucket appears heavily media-driven.","CLASSIFIED"
"Duplicate without user-selected canonical","https://jus-tice.co.il/wp-content/uploads/2023/11/תקציר-22431-08-19.docx","MEDIA_DOCX","NO_POST_MATCH","UNKNOWN","media/documents","DOCUMENT_DUPLICATE_CANONICAL","MEDIA_REVIEW; documents should not be primary SEO landing pages unless intentionally wrapped","NO","NO","YES","DOCX files can create duplicate/canonical noise and should be mapped separately from articles.","CLASSIFIED"
"Page with redirect","https://jus-tice.co.il/articles/נהיגה-בשכרות","ARTICLE_REDIRECT_SOURCE","NEEDS_TARGET_CHECK","UNKNOWN","traffic-law","REDIRECT_SOURCE_TRAFFIC_TOPIC","INSPECT_REDIRECT_TARGET; map into `/drunk-driving/` or traffic-law cluster after content comparison","NO","NO","YES","Important because drunk-driving currently has weak/wrong-page GSC signals.","CLASSIFIED"
"Page with redirect","https://jus-tice.co.il/תחומי-התמחות/דיני-משפחה/","TAXONOMY_OR_CATEGORY_REDIRECT_SOURCE","NEEDS_TARGET_CHECK","UNKNOWN","family-law-divorce","OLD_HEBREW_HUB_REDIRECT_SOURCE","MAP to approved family-law hub; verify target and avoid redirect chains","NO","NO","YES","Relevant to category/hub migration and breadcrumb/internal-link cleanup.","CLASSIFIED"
