post_id,status,requested_slug,actual_slug,error
12940,OK,"divorce-agreement-enforcement-claims","divorce-agreement-enforcement-claims",""
12883,OK,"rabbinical-courts-reconciliation-agreement-divorce-ketubah","rabbinical-courts-reconciliation-agreement-divorce-ketubah",""
12670,OK,"dissolution-partnership-verdict-petition-witness-apartment-agreement","dissolution-partnership-verdict-petition-witness-apartment-agreement",""
12650,OK,"rabbinical-court-jurisdiction-alimony-1495176-4-2025","rabbinical-court-jurisdiction-alimony-1495176-4-2025",""
12535,OK,"best-interest-child-procedures-divorce-alimony","best-interest-child-procedures-divorce-alimony",""
12412,FAIL,"lawyer-forex","","409: <h1>Publication blocked</h1><p>This content still contains internal editorial/project markers and was not published.</p>"
12406,OK,"criminal-law-review-procedure-law-detention-2025","criminal-law-review-procedure-law-detention-2025",""
12295,OK,"verdict-offenses-police-officer-1327-11-24","verdict-offenses-police-officer-1327-11-24",""
12273,OK,"defamation","defamation",""
6680,OK,"defamation-6680","defamation-6680",""
12255,OK,"building-rights-beit-hadar-ownership-roofs-ruling-7808","building-rights-beit-hadar-ownership-roofs-ruling-7808",""
12245,OK,"beit-hadar-ruling-new-roof-tenants-precedent","beit-hadar-ruling-new-roof-tenants-precedent",""
12239,OK,"laws-real-estate-israel-france-guide-properties","laws-real-estate-israel-france-guide-properties",""
12236,OK,"property-purchase-lawyer-israel-guide-complete-france","property-purchase-lawyer-israel-guide-complete-france",""
12179,OK,"guide-tax-calculator-updated-2025","guide-tax-calculator-updated-2025",""
12162,OK,"lawyer-signing-notary-price-list-2025","lawyer-signing-notary-price-list-2025",""
12156,OK,"property-division-guide-updated-divorce-custody-infidelity","property-division-guide-updated-divorce-custody-infidelity",""
12111,OK,"urban-renewal-tel-aviv-companies-38-2025","urban-renewal-tel-aviv-companies-38-2025",""
12106,OK,"urban-renewal-guide-practical-company-2025","urban-renewal-guide-practical-company-2025",""
12096,OK,"medical-malpractice-lawyers-law-medical-israel","medical-malpractice-lawyers-law-medical-israel",""
12082,OK,"lawyer-capital-market-offenses","lawyer-capital-market-offenses",""
12073,OK,"criminal-offenses-lawyer-criminal-sentencing-process-arrest","criminal-offenses-lawyer-criminal-sentencing-process-arrest",""
12065,OK,"lawyer-price-list-real-estate-2025","lawyer-price-list-real-estate-2025",""
12058,OK,"real-estate-deals-lawyer-real-estate","real-estate-deals-lawyer-real-estate",""
12036,OK,"guide-complete-wills-updated-2025","guide-complete-wills-updated-2025",""
12028,OK,"prenuptial-agreement-israel-guide-comprehensive-2025","prenuptial-agreement-israel-guide-comprehensive-2025",""
12013,FAIL,"guide-israeli-apartment-2025","","409: <h1>Publication blocked</h1><p>This content still contains internal editorial/project markers and was not published.</p>"
12007,OK,"article-12007","article-12007",""
12004,OK,"rabbinical-courts-child-support-jurisdiction-5988-21","rabbinical-courts-child-support-jurisdiction-5988-21",""
11982,OK,"lawyers-cyber","lawyers-cyber",""
11977,FAIL,"real-estate-dubai-2025","","409: <h1>Publication blocked</h1><p>This content still contains internal editorial/project markers and was not published.</p>"
11969,OK,"real-estate-guide-complete-2025","real-estate-guide-complete-2025",""
11965,OK,"consultant-real-estate-guide-comprehensive","consultant-real-estate-guide-comprehensive",""
11960,OK,"consultant-real-estate","consultant-real-estate",""
11952,OK,"medical-malpractice-lawyer-birth-representation","medical-malpractice-lawyer-birth-representation",""
11948,FAIL,"real-estate-israelis-guide-complete-rental-2025","","409: <h1>Publication blocked</h1><p>This content still contains internal editorial/project markers and was not published.</p>"
11942,OK,"property-purchase-guide-manhattan-2025","property-purchase-guide-manhattan-2025",""
11934,OK,"real-estate-investment-new-york-surgery-manhattan","real-estate-investment-new-york-surgery-manhattan",""
11922,FAIL,"lawyer-real-estate-costs-2025","","409: <h1>Publication blocked</h1><p>This content still contains internal editorial/project markers and was not published.</p>"
11918,OK,"lawyer-divorce-rights","lawyer-divorce-rights",""
11901,OK,"real-estate-market-greece-cyprus","real-estate-market-greece-cyprus",""
11898,OK,"urban-planning-greece-review-israelis-2025","urban-planning-greece-review-israelis-2025",""
11888,OK,"real-estate-market-review-cyprus-guide-israelis-2025","real-estate-market-review-cyprus-guide-israelis-2025",""
11878,OK,"criminal-law-price-list-lawyer-recommended-review-costs","criminal-law-price-list-lawyer-recommended-review-costs",""
11834,OK,"medical-malpractice-lawyer-birth-recommended","medical-malpractice-lawyer-birth-recommended",""
11813,OK,"lawyer-divorce-guide-proceedings-costs-rights","lawyer-divorce-guide-proceedings-costs-rights",""
11757,OK,"national-insurance-calculator","national-insurance-calculator",""
11746,OK,"apartment-purchase-guide-contract-contractor-2025","apartment-purchase-guide-contract-contractor-2025",""
11743,OK,"property-guide-real-estate-israel-2025","property-guide-real-estate-israel-2025",""
11740,FAIL,"house-israel-10-2025","","409: <h1>Publication blocked</h1><p>This content still contains internal editorial/project markers and was not published.</p>"
11738,OK,"israelis-real-estate","israelis-real-estate",""
11736,OK,"property-purchase-2025","property-purchase-2025",""
11695,OK,"lawyer-divorce","lawyer-divorce",""
11687,OK,"family-law-lawyer-recommended-divorce-wills-inheritances","family-law-lawyer-recommended-divorce-wills-inheritances",""
11598,OK,"jerusalem-rabbinical-court-account-bank-1381290-2","jerusalem-rabbinical-court-account-bank-1381290-2",""
11584,OK,"damage-compensation-laws-torts","damage-compensation-laws-torts",""
11573,OK,"law-firm","law-firm",""
11566,OK,"law-firm-11566","law-firm-11566",""
11571,OK,"lawyers-company","lawyers-company",""
11568,OK,"law-firm-civil","law-firm-civil",""
11553,OK,"medical-malpractice-lawyer-lawsuit-surgery-medical","medical-malpractice-lawyer-lawsuit-surgery-medical",""
11389,OK,"lawyer-david-chesnoff","lawyer-david-chesnoff",""
11333,OK,"law-firm-garrigues","law-firm-garrigues",""
11322,OK,"verdict-judge-tax-property-technology-49933-03-20","verdict-judge-tax-property-technology-49933-03-20",""
11263,OK,"law-firm-family-law-partnership","law-firm-family-law-partnership",""
11261,OK,"buying-apartment","buying-apartment",""
10831,OK,"artificial-intelligence-ai","artificial-intelligence-ai",""
10826,OK,"legal-opinion-foreign-law-expert","legal-opinion-foreign-law-expert",""
10820,OK,"article-10820","article-10820",""
10816,OK,"loan-lawsuit-representation","loan-lawsuit-representation",""
10798,OK,"portugal-medicine","portugal-medicine",""
10795,OK,"israelis-portugal","israelis-portugal",""
10704,OK,"portugal-10704","portugal-10704",""
10682,OK,"portugal-bank","portugal-bank",""
10480,OK,"lawyer-infidelity-divorce","lawyer-infidelity-divorce",""
10264,OK,"divorce-lawsuit-ketubah-2023-1-000","divorce-lawsuit-ketubah-2023-1-000",""
10163,OK,"contractor-house","contractor-house",""
10154,OK,"broker-apartments-real-estate","broker-apartments-real-estate",""
10139,OK,"real-estate","real-estate",""
10136,OK,"buying-apartment-guide-comprehensive","buying-apartment-guide-comprehensive",""
10130,OK,"apartment-purchase-guide-comprehensive","apartment-purchase-guide-comprehensive",""
10100,OK,"law-taxation-real-estate-greece-tax-ownership","law-taxation-real-estate-greece-tax-ownership",""
10089,OK,"lawyer-real-estate-laws-land-israel","lawyer-real-estate-laws-land-israel",""
10073,OK,"lawyer-wills-inheritances","lawyer-wills-inheritances",""
10060,OK,"verdict-judge-lawsuit-cancellation-agreement-4528-01-16","verdict-judge-lawsuit-cancellation-agreement-4528-01-16",""
10016,OK,"signature-notary","signature-notary",""
10008,OK,"approval-notarial","approval-notarial",""
10005,OK,"medical-malpractice-judge-decision-lawsuit-4392-03-23","medical-malpractice-judge-decision-lawsuit-4392-03-23",""
9973,OK,"divorce-belgium","divorce-belgium",""
9971,OK,"family-law-australia","family-law-australia",""
9964,OK,"united-states-divorce","united-states-divorce",""
9636,OK,"criminal-law-lawyer","criminal-law-lawyer",""
9550,OK,"criminal-law-counsel","criminal-law-counsel",""
7719,OK,"criminal-law-advocate","criminal-law-advocate",""
9547,OK,"lawyer-europol","lawyer-europol",""
9544,OK,"arrest-investigation","arrest-investigation",""
9534,OK,"criminal-law-representation-lawyer-law","criminal-law-representation-lawyer-law",""
9468,OK,"criminal-law-lawyer-international","criminal-law-lawyer-international",""
9459,OK,"lawyer-international","lawyer-international",""
9436,OK,"lawyer-recommended-law-price","lawyer-recommended-law-price",""
9133,OK,"law-updated-1977-2023","law-updated-1977-2023",""
9128,OK,"article-9128","article-9128",""
9126,OK,"article-9126","article-9126",""
9119,OK,"verdict-acquittal-law-complete-502-07","verdict-acquittal-law-complete-502-07",""
8995,OK,"verdict-family-alimony-21976-01-20","verdict-family-alimony-21976-01-20",""
8990,OK,"passport-immigration-relocation-residence-costs","passport-immigration-relocation-residence-costs",""
8928,OK,"rabbinical-court-property-owners","rabbinical-court-property-owners",""
8808,OK,"article-8808","article-8808",""
8764,OK,"rabbinical-court-haifa-ketubah-divorce-8216-1265026-5","rabbinical-court-haifa-ketubah-divorce-8216-1265026-5",""
8760,OK,"cancellation-divorce-witness-infidelity-8216","cancellation-divorce-witness-infidelity-8216",""
8744,OK,"verdict-lawsuit-damages-9109-12-19","verdict-lawsuit-damages-9109-12-19",""
8716,OK,"rabbinical-court-divorce-32292-3","rabbinical-court-divorce-32292-3",""
8698,OK,"probate-order-verdict-judge-cancellation-55971-02-20","probate-order-verdict-judge-cancellation-55971-02-20",""
8576,OK,"immigration-israel-proceedings","immigration-israel-proceedings",""
8565,OK,"medical-malpractice-surgery","medical-malpractice-surgery",""
8562,OK,"rabbinical-court-verdict-lawsuit-divorce-ketubah-1242579-2","rabbinical-court-verdict-lawsuit-divorce-ketubah-1242579-2",""
8560,OK,"rabbinical-court-verdict-get-divorce-lawsuits-37883-9","rabbinical-court-verdict-get-divorce-lawsuits-37883-9",""
8558,OK,"dissolution-partnership-rabbinical-court-appeal-request-1156328-6","dissolution-partnership-rabbinical-court-appeal-request-1156328-6",""
8556,OK,"rabbinical-court-pension-alimony-1156328-2","rabbinical-court-pension-alimony-1156328-2",""
8554,OK,"jerusalem-rabbinical-court-claim-1201062-4","jerusalem-rabbinical-court-claim-1201062-4",""
8540,OK,"house-justice-co-il","house-justice-co-il",""
8538,OK,"lawyers-criminal","lawyers-criminal",""
8509,OK,"lawyers-lawyer-house","lawyers-lawyer-house",""
8500,OK,"medical-malpractice-tips-lawsuit-20","medical-malpractice-tips-lawsuit-20",""
8498,OK,"medical-malpractice-tips-20","medical-malpractice-tips-20",""
8494,OK,"protection-order-petition-family-61185-11-22","protection-order-petition-family-61185-11-22",""
8492,OK,"land-registration-verdict-procedure-family-28997-05-16","land-registration-verdict-procedure-family-28997-05-16",""
8487,OK,"indictment-petition-arrest","indictment-petition-arrest",""
8473,OK,"lawyer","lawyer",""
8468,OK,"sex-offenses-punishment-criminal-16-39000-05-21","sex-offenses-punishment-criminal-16-39000-05-21",""
8465,OK,"witness-18194-04-22","witness-18194-04-22",""
8463,OK,"43967-07-20","43967-07-20",""
8459,OK,"verdict-apartment-61566-03-22","verdict-apartment-61566-03-22",""
8456,OK,"medical-malpractice-personal-injury-verdict-lawsuit-claim-79092-12-20","medical-malpractice-personal-injury-verdict-lawsuit-claim-79092-12-20",""
8451,OK,"defendant-offense-60221-07-21","defendant-offense-60221-07-21",""
8443,OK,"law-2023-37-8948-3-22","law-2023-37-8948-3-22",""
8438,OK,"durable-power-of-attorney-cancellation-decision-request-34123-11-22","durable-power-of-attorney-cancellation-decision-request-34123-11-22",""
8436,OK,"verdict-rights-house-land-35298-10-19","verdict-rights-house-land-35298-10-19",""
8432,OK,"verdict-lawsuit-12532-05-20","verdict-lawsuit-12532-05-20",""
8430,OK,"verdict-petition-alimony-claim-35493-10-19","verdict-petition-alimony-claim-35493-10-19",""
8428,OK,"lawsuit-damages-47127-07-21","lawsuit-damages-47127-07-21",""
8422,OK,"defamation-verdict-lawsuit-12289-07-21","defamation-verdict-lawsuit-12289-07-21",""
8409,OK,"child-support-calculator-2023","child-support-calculator-2023",""
8402,OK,"medical-malpractice-lawsuit","medical-malpractice-lawsuit",""
8400,OK,"medical-malpractice-pregnancy-birth","medical-malpractice-pregnancy-birth",""
8396,OK,"medical-malpractice-tips-damages-lawsuit","medical-malpractice-tips-damages-lawsuit",""
