section,claim_or_content_need,source_type,source_url,verification_status,publication_action,notes
הליך מזונות בבית משפט,טופס הרצאת פרטים בתיק מזונות דורש פרטים אישיים הכנסות הוצאות וצורכי ילדים,official_gov,https://www.gov.il/he/service/lecture-on-food-claims,PARTIAL_SEARCH_VERIFIED,VERIFY_BEFORE_PUBLICATION,"Found in web search on 2026-05-10. Direct PowerShell request returned 403, so verify in browser before final citation."
תביעת מזונות,מסמך/דף ממשלתי לתביעת מזונות ילדים ואישה כולל פירוט צרכים ופוטנציאל השתכרות,official_pdf,https://www.gov.il/BlobFolder/policy/types-of-procedures/he/ClaimForChildWomanSupport.pdf,PARTIAL_SEARCH_VERIFIED,VERIFY_BEFORE_PUBLICATION,"Search result exposes relevant snippet. Use for document checklist only after manual PDF review."
יישוב סכסוך,בקשה ליישוב סכסוך במשפחה לפני הליכים מסוימים,official_gov,https://www.gov.il/he/service/asking_for_family_dispute_settlements,PARTIAL_SEARCH_VERIFIED,VERIFY_BEFORE_PUBLICATION,"Already used in family-law source spine. Confirm current procedural text in browser before publication."
תשלום דמי מזונות מהמוסד לביטוח לאומי,בקשה לתשלום דמי מזונות כאשר יש פסק דין ואין קבלת תשלום מהחייב,official_gov,https://www.gov.il/he/service/child_support_application,PARTIAL_SEARCH_VERIFIED,VERIFY_BEFORE_PUBLICATION,"Found via web search on 2026-05-10. Direct PowerShell request returned 403; verify in browser before citation."
דמי מזונות - ביטוח לאומי,ביטוח לאומי משלם לזוכה לפי פסק דין/החלטה וגובה מהחייב בכפוף לתנאי זכאות,official_btl,https://www.btl.gov.il/benefits/Alimony/Pages/default.aspx,VERIFIED_HTTP_200,VERIFY_CONTENT_BEFORE_PUBLICATION,"Direct PowerShell request returned 200. Use for enforcement/collection context, not for court calculation rules."
תקופת זכאות,תשלום דמי מזונות דרך ביטוח לאומי מיום הגשת הבקשה ולא יותר משנה רטרואקטיבית בתנאים מסוימים,official_btl,https://www.btl.gov.il/benefits/Alimony/Pages/%D7%AA%D7%A7%D7%95%D7%A4%D7%AA%20%D7%94%D7%96%D7%9B%D7%90%D7%95%D7%AA%20%D7%94%D7%9E%D7%A8%D7%91%D7%99%D7%AA.aspx,VERIFIED_HTTP_200,VERIFY_CONTENT_BEFORE_PUBLICATION,"Direct PowerShell request returned 200. Keep wording narrow and dated."
סכומי קצבה בביטוח לאומי,ביטוח לאומי משלם את הנמוך מבין הסכום בפסק הדין והסכום בתקנות בתנאים מסוימים,official_btl,https://www.btl.gov.il/benefits/Alimony/Pages/%D7%A9%D7%99%D7%A2%D7%95%D7%A8%D7%99%20%D7%94%D7%A7%D7%A6%D7%91%D7%94.aspx,PARTIAL_SEARCH_VERIFIED,VERIFY_BEFORE_PUBLICATION,"Search result crawled recently. Do not publish current numeric thresholds without manual dated verification."
תנאי זכאות והכנסה,זכאות לתשלום מזונות מביטוח לאומי מותנית בין היתר בהכנסות והרכב משפחה,official_btl,https://www.btl.gov.il/benefits/Alimony/TnaeyZakaut/Pages/MutneHachnasa.aspx,PARTIAL_SEARCH_VERIFIED,VERIFY_BEFORE_PUBLICATION,"Search result includes 2026 figures. Treat numeric amounts as volatile and verify at publication."
גבייה מהחייב,ביטוח לאומי ורשות האכיפה והגבייה מעורבים בגביית חובות מזונות במקרים רלוונטיים,official_btl,https://www.btl.gov.il/benefits/Alimony/Pages/%D7%92%D7%91%D7%99%D7%99%D7%AA%20%D7%93%D7%9E%D7%99%20%D7%9E%D7%96%D7%95%D7%A0%D7%95%D7%AA%20%D7%9E%D7%94%D7%97%D7%99%D7%99%D7%91.aspx,PARTIAL_SEARCH_VERIFIED,VERIFY_BEFORE_PUBLICATION,"Use only for collection-route explanation. Do not advise a specific enforcement step."
שינוי סכום מזונות,מזונות שנקבעו בפסק דין או הסכם עשויים להשתנות בתנאים מסוימים ובהתאם לנסיבות,legal_rights_reference,https://www.kolzchut.org.il/he/%D7%AA%D7%91%D7%99%D7%A2%D7%94_%D7%9C%D7%A9%D7%99%D7%A0%D7%95%D7%99_%D7%A1%D7%9B%D7%95%D7%9D_%D7%9E%D7%96%D7%95%D7%A0%D7%95%D7%AA_%D7%99%D7%9C%D7%93%D7%99%D7%9D,VERIFIED_HTTP_200,VERIFY_CONTENT_BEFORE_PUBLICATION,"Direct PowerShell request returned 200. Still needs lawyer review before simplifying legal thresholds."
