related_id,target_page,candidate_url,decision,priority,placement,approval_status,qa_requirement,reason
FD-REL-001,https://jus-tice.co.il/divorce-lawyer/,https://jus-tice.co.il/consensual-divorce/,ALLOW_PRIMARY,P1,first_related_card_set,OWNER_CONTENT_APPROVAL_REQUIRED,Verify 200 HTTPS and support-page title,Core agreement/low-conflict support intent
FD-REL-002,https://jus-tice.co.il/divorce-lawyer/,https://jus-tice.co.il/divorce-mediation/,ALLOW_PRIMARY,P1,first_related_card_set,OWNER_CONTENT_APPROVAL_REQUIRED,Verify 200 HTTPS and support-page title,Core mediation support intent
FD-REL-003,https://jus-tice.co.il/divorce-lawyer/,https://jus-tice.co.il/child-support/,ALLOW_PRIMARY,P1,first_related_card_set,OWNER_LEGAL_APPROVAL_REQUIRED,Verify legal-sensitive title and no fake calculator promise,Core child-support support intent
FD-REL-004,https://jus-tice.co.il/divorce-lawyer/,https://jus-tice.co.il/child-custody/,ALLOW_PRIMARY,P1,first_related_card_set,OWNER_LEGAL_APPROVAL_REQUIRED,Verify terminology and no misleading custody claims,Core custody/parenting-time support intent
FD-REL-005,https://jus-tice.co.il/divorce-lawyer/,https://jus-tice.co.il/divorce-property-division/,ALLOW_SECONDARY,P1,second_related_card_set_or_body_link,OWNER_LEGAL_APPROVAL_REQUIRED,Verify property/support role and 200 HTTPS,Core property division support intent
FD-REL-006,https://jus-tice.co.il/divorce-lawyer/,https://jus-tice.co.il/family-dispute-resolution/,ALLOW_SECONDARY,P1,second_related_card_set_or_body_link,OWNER_LEGAL_APPROVAL_REQUIRED,Verify procedure/source-sensitive content,Core dispute-resolution support intent
FD-REL-007,https://jus-tice.co.il/divorce-lawyer/,https://jus-tice.co.il/divorce-consultation-guide/,ALLOW_SECONDARY,P1,body_link_or_related_card,OWNER_CONTENT_APPROVAL_REQUIRED,Verify support-page role and no duplicate H1,Pre-consultation support intent
FD-REL-008,https://jus-tice.co.il/divorce-lawyer/,https://jus-tice.co.il/divorce-costs-2025/,ALLOW_AFTER_FRESHNESS_REVIEW,P2,cost_section_body_link_or_secondary_card,OWNER_LEGAL_APPROVAL_REQUIRED,Refresh date-sensitive cost claims before showing,Cost intent is useful but freshness-sensitive
FD-REL-009,https://jus-tice.co.il/divorce-lawyer/,https://jus-tice.co.il/rabbinical-agreement-approval/,ALLOW_DEEP_AFTER_REVIEW,P2,deep_body_link_not_primary_card,OWNER_LEGAL_APPROVAL_REQUIRED,Verify source/legal content before showing,Rabbinical approval is useful deep support but not primary conversion path
FD-REL-010,https://jus-tice.co.il/divorce-lawyer/,https://jus-tice.co.il/mutual-divorce-agreement-2025/,ALLOW_AFTER_ROLE_REVIEW,P2,agreement_section_body_link,OWNER_LEGAL_APPROVAL_REQUIRED,Review dated title and agreement role before showing,Potential agreement support page but not primary pillar
FD-REL-011,https://jus-tice.co.il/divorce-lawyer/,https://jus-tice.co.il/most-recommended-family-lawyer/,BLOCK,P0,do_not_show,OWNER_COMPLIANCE_APPROVAL_REQUIRED,Confirm absent from related cards,Recommendation language and trust/ranking risk
FD-REL-012,https://jus-tice.co.il/divorce-lawyer/,https://jus-tice.co.il/the-recommended-family-lawyers/,BLOCK,P0,do_not_show,OWNER_COMPLIANCE_APPROVAL_REQUIRED,Confirm absent from related cards,Recommendation language and trust/ranking risk
FD-REL-013,https://jus-tice.co.il/divorce-lawyer/,https://jus-tice.co.il/top-experts-family-law/,BLOCK,P0,do_not_show,OWNER_COMPLIANCE_APPROVAL_REQUIRED,Confirm absent from related cards,Unsupported top/expert language
FD-REL-014,https://jus-tice.co.il/divorce-lawyer/,https://jus-tice.co.il/trusted-divorce-attorney-guide/,BLOCK_UNTIL_REWRITE,P0,do_not_show,OWNER_COMPLIANCE_APPROVAL_REQUIRED,Confirm absent from related cards,Trusted language requires rewrite and policy
FD-REL-015,https://jus-tice.co.il/divorce-lawyer/,https://jus-tice.co.il/petah-tikva-divorce-lawyer/,BLOCK_UNTIL_CITY_MATRIX,P3,do_not_show,OWNER_APPROVAL_REQUIRED,Confirm city pages absent from core related section,City-practice pages need separate matrix
FD-REL-016,https://jus-tice.co.il/divorce-lawyer/,https://jus-tice.co.il/online-family-law-services/,BLOCK_UNTIL_TOOL_REVIEW,P3,do_not_show,OWNER_PRODUCT_APPROVAL_REQUIRED,Confirm LegalTech/tool pages absent,Do not promise tools/services that are not reviewed
FD-REL-017,https://jus-tice.co.il/divorce-lawyer/,https://jus-tice.co.il/new-trends-ai-family-law/,BLOCK_FROM_CORE_RELATED,P3,do_not_show_in_core_related,OWNER_CONTENT_APPROVAL_REQUIRED,Confirm trend pages absent from core related section,Broad trend content weakens user legal-help journey
FD-REL-018,https://jus-tice.co.il/divorce-lawyer/,https://jus-tice.co.il/how-to-become-a-family-lawyer/,BLOCK,P3,do_not_show,VERIFIED_BOUNDARY,Confirm absent from related cards,Lawyer education intent is not user legal-help intent
FD-REL-019,https://jus-tice.co.il/divorce-lawyer/,REFERENCE:MAYA_PROFILE_OR_REPUTATION,BLOCK_UNTIL_PROFILE_POLICY,P0,do_not_show,OWNER_COMPLIANCE_APPROVAL_REQUIRED,Confirm no Maya/rating/review/profile card appears,No verified ranking/review/reputation policy yet
FD-REL-020,https://jus-tice.co.il/divorce-lawyer/,REFERENCE:OLD_HEBREW_DUPLICATE_OR_DOCUMENT_ASSET,BLOCK_UNTIL_DOCUMENT_REDIRECT_POLICY,P0,do_not_show_as_related_card,OWNER_APPROVAL_REQUIRED,Confirm old URLs/PDF/DOCX/calculators absent from related cards,Protected assets require separate document/redirect strategy
