page,country,clicks,impressions,ctr,position
https://jus-tice.co.il/,isr,15,3862,0.39%,18.7
https://jus-tice.co.il/wp-content/uploads/2022/06/06102016_1.pdf,isr,9,164,5.49%,14.1
https://jus-tice.co.il/62758-11-22/,isr,2,97,2.06%,13.2
https://jus-tice.co.il/court-judge/,isr,2,75,2.67%,20.3
https://jus-tice.co.il/wp-content/uploads/2021/03/%D7%A0%D7%95%D7%A1%D7%97-%D7%94%D7%A1%D7%9B%D7%9D-%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%93%D7%95%D7%92%D7%9E%D7%90-2021.docx,isr,2,2246,0.09%,48.5
https://jus-tice.co.il/decision55016-06-17a/,isr,1,29,3.45%,19.9
https://jus-tice.co.il/decision67437-12-18/,isr,1,22,4.55%,21.0
https://jus-tice.co.il/legal-courses-for-lawyers/,isr,1,40,2.50%,33.5
https://jus-tice.co.il/wp-content/uploads/2020/01/hana_v9.32.88s.pdf,isr,1,394,0.25%,57.4
https://jus-tice.co.il/,are,0,1,0.00%,7.0
https://jus-tice.co.il/,aut,0,1,0.00%,39.0
https://jus-tice.co.il/,deu,0,2,0.00%,8.5
https://jus-tice.co.il/,dnk,0,1,0.00%,6.0
https://jus-tice.co.il/,esp,0,2,0.00%,51.5
https://jus-tice.co.il/,fra,0,1,0.00%,6.0
https://jus-tice.co.il/,gbr,0,4,0.00%,17.0
https://jus-tice.co.il/,geo,0,1,0.00%,9.0
https://jus-tice.co.il/,grc,0,2,0.00%,6.0
https://jus-tice.co.il/,ita,0,1,0.00%,11.0
https://jus-tice.co.il/,jor,0,8,0.00%,8.3
https://jus-tice.co.il/,jpn,0,2,0.00%,36.5
https://jus-tice.co.il/,mys,0,1,0.00%,19.0
https://jus-tice.co.il/,nld,0,2,0.00%,21.5
https://jus-tice.co.il/,phl,0,1,0.00%,6.0
https://jus-tice.co.il/,pse,0,22,0.00%,5.0
https://jus-tice.co.il/,rou,0,3,0.00%,11.3
https://jus-tice.co.il/,rus,0,1,0.00%,6.0
https://jus-tice.co.il/,swe,0,1,0.00%,13.0
https://jus-tice.co.il/,tha,0,1,0.00%,10.0
https://jus-tice.co.il/,usa,0,91,0.00%,38.7
https://jus-tice.co.il/,ven,0,1,0.00%,3.0
https://jus-tice.co.il/%D7%90%D7%97%D7%A8%D7%99%D7%95%D7%AA-%D7%94%D7%91%D7%A2%D7%9C-%D7%9C%D7%97%D7%95%D7%91%D7%95%D7%AA-%D7%90%D7%A9%D7%AA%D7%95-%D7%A2%D7%9C-%D7%A4%D7%99-%D7%93%D7%99%D7%9F-%D7%AA%D7%95%D7%A8%D7%94-%D7%95%D7%A2%D7%9C-%D7%A4%D7%99-%D7%97%D7%95%D7%A7-%D7%99%D7%97%D7%A1%D7%99-%D7%9E%D7%9E%D7%95%D7%9F-%D7%96%D7%9B%D7%95%D7%99%D7%95%D7%AA-%D7%95%D7%97%D7%95%D7%91%D7%95%D7%AA-%D7%91%D7%9E%D7%A2%D7%A8%D7%9B%D7%AA-%D7%99%D7%97%D7%A1%D7%99%D7%9D-%D7%A9%D7%91%D7%94-%D7%94%D7%90%D7%99%D7%A9%D7%94-%D7%94%D7%99%D7%90-%D7%94%D7%9E%D7%A4%D7%A8%D7%A0%D7%A1%D7%AA/,che,0,1,0.00%,21.0
https://jus-tice.co.il/%D7%90%D7%97%D7%A8%D7%99%D7%95%D7%AA-%D7%94%D7%91%D7%A2%D7%9C-%D7%9C%D7%97%D7%95%D7%91%D7%95%D7%AA-%D7%90%D7%A9%D7%AA%D7%95-%D7%A2%D7%9C-%D7%A4%D7%99-%D7%93%D7%99%D7%9F-%D7%AA%D7%95%D7%A8%D7%94-%D7%95%D7%A2%D7%9C-%D7%A4%D7%99-%D7%97%D7%95%D7%A7-%D7%99%D7%97%D7%A1%D7%99-%D7%9E%D7%9E%D7%95%D7%9F-%D7%96%D7%9B%D7%95%D7%99%D7%95%D7%AA-%D7%95%D7%97%D7%95%D7%91%D7%95%D7%AA-%D7%91%D7%9E%D7%A2%D7%A8%D7%9B%D7%AA-%D7%99%D7%97%D7%A1%D7%99%D7%9D-%D7%A9%D7%91%D7%94-%D7%94%D7%90%D7%99%D7%A9%D7%94-%D7%94%D7%99%D7%90-%D7%94%D7%9E%D7%A4%D7%A8%D7%A0%D7%A1%D7%AA/,isr,0,8,0.00%,67.1
