id,name,slug,count
713,real-estate-law,real-estate-law,0
18,אגודות שיתופיות,%d7%90%d7%92%d7%95%d7%93%d7%95%d7%aa-%d7%a9%d7%99%d7%aa%d7%95%d7%a4%d7%99%d7%95%d7%aa,0
25,איכות סביבה,environmental-law,1
34,ביטוח,insurance-law,5
717,ביטוח לאומי,national-insurance,0
640,בית הדין הרבני,rabbinical-court,6
643,בית המשפט העליון,supreme-court,4
639,בית המשפט לענייני משפחה,family-court,4
40,בלוקצ'יין ומטבעות קריפטוגרפים,blockchain-crypto,1
392,גירושין,divorce,28
68,דיני משפחה,family-law,176
711,דיני נזיקין,tort-law,1
76,דיני נזיקין,personal-injury,21
83,דיני עבודה,israeli-labor-law,18
703,דיני עבודה,labor-law,0
97,דיני תעבורה,traffic-law,9
99,דיני תקשורת,%d7%93%d7%99%d7%a0%d7%99-%d7%aa%d7%a7%d7%a9%d7%95%d7%a8%d7%aa,0
240,הגבלים העסקיים,%d7%94%d7%92%d7%91%d7%9c%d7%99%d7%9d-%d7%94%d7%a2%d7%a1%d7%a7%d7%99%d7%99%d7%9d,0
681,הגירה,%d7%94%d7%92%d7%99%d7%a8%d7%94,0
718,הגירה ואזרחות,immigration-law,0
51,הוצאה לפועל,%d7%94%d7%95%d7%a6%d7%90%d7%94-%d7%9c%d7%a4%d7%95%d7%a2%d7%9c,0
637,הסניגוריה הציבורית,public-defense,1
119,חדלות פירעון,%d7%97%d7%93%d7%9c%d7%95%d7%aa-%d7%a4%d7%99%d7%a8%d7%a2%d7%95%d7%9f,0
714,ירושה וצוואות,inheritance-law,0
307,ירושות וצוואות,%d7%99%d7%a8%d7%95%d7%a9%d7%95%d7%aa-%d7%95%d7%a6%d7%95%d7%95%d7%90%d7%95%d7%aa,1
644,כנסת ישראל,knesset,1
127,ליטיגציה מסחרית,%d7%9c%d7%99%d7%98%d7%99%d7%92%d7%a6%d7%99%d7%94-%d7%9e%d7%a1%d7%97%d7%a8%d7%99%d7%aa,0
129,לשון הרע,defamation,9
635,מזונות ילדים,child-support,4
112,מיזוגים ורכישות,%d7%9e%d7%99%d7%96%d7%95%d7%92%d7%99%d7%9d-%d7%95%d7%a8%d7%9b%d7%99%d7%a9%d7%95%d7%aa,0
485,מיסים,tax-law,7
312,מסחרי-אזרחי,%d7%9e%d7%a1%d7%97%d7%a8%d7%99-%d7%90%d7%96%d7%a8%d7%97%d7%99,16
234,"מקרקעין | נדל""ן",real-estate,95
634,משמורת ילדים,child-custody,2
159,משפט ימי,%d7%9e%d7%a9%d7%a4%d7%98-%d7%99%d7%9e%d7%99,0
165,משפט מנהלי,administrative-law,2
709,משפט מסחרי,commercial-law,1
170,משפט פלילי,criminal-law,138
632,משרד המשפטים,%d7%9e%d7%a9%d7%a8%d7%93-%d7%94%d7%9e%d7%a9%d7%a4%d7%98%d7%99%d7%9d-%d7%99%d7%a9%d7%a8%d7%90%d7%9c,16
715,נזיקין,torts,0
188,סייבר,cyber-law,8
648,"עו""ד נזיקין פסקי דין",attorney-rulings,6
308,עורך דין,lawyer-directory,171
656,עורך דין פלילי פסקי דין 2022,prenuptial-agreement,10
75,ענייני ירושה,inheritance,6
683,פורטוגל,portugal,44
309,פיצויים,compensation,6
642,פלילי פסקי דין חשובים,criminal-court-rulings,31
79,"פלת""ד",%d7%a4%d7%9c%d7%aa%d7%93,0
651,פסקי דין גירושין דיני משפחה 2022,family-court-rulings,30
646,פסקי דין חשובים,court-rulings,81
74,צוואות,wills,2
194,קניין רוחני,%d7%a7%d7%a0%d7%99%d7%99%d7%9f-%d7%a8%d7%95%d7%97%d7%a0%d7%99,2
668,רישוי עסקים,%d7%a8%d7%99%d7%a9%d7%95%d7%99-%d7%a2%d7%a1%d7%a7%d7%99%d7%9d,2
716,רשלנות רפואית,medical-malpractice,0
225,שוק ההון,%d7%a9%d7%95%d7%a7-%d7%94%d7%94%d7%95%d7%9f,1
232,תובענות ייצוגיות,%d7%aa%d7%95%d7%91%d7%a2%d7%a0%d7%95%d7%aa-%d7%99%d7%99%d7%a6%d7%95%d7%92%d7%99%d7%95%d7%aa,1
