id,route,row_type,proposed_public_copy,why_safe,owner_decision
BTL-COPY-01,/national-insurance-attorney/,Title,"עורך דין ביטוח לאומי: התאמה לעורך דין לערעור, ועדה רפואית או בדיקת זכויות | Jus-Tice","Owns attorney-match intent and avoids duplicating the guide title.",Pending
BTL-COPY-02,/national-insurance-attorney/,H1,"עורך דין ביטוח לאומי לערעור, ועדה רפואית או בדיקת החלטה","Leads with the lawyer-selection problem, not with a generic appeal guide.",Pending
BTL-COPY-03,/national-insurance-attorney/,Meta Description,"קיבלתם החלטה מביטוח לאומי או זימון לוועדה? ב-Jus-Tice אפשר להשאיר פרטים, להבין אילו מסמכים להכין ולקבל התאמה ראשונית לעורך דין רלוונטי בתחום ביטוח לאומי.","User-facing, no outcome promise, no ranking claim.",Pending
BTL-COPY-04,/national-insurance-attorney/,Primary CTA,"בדיקת התאמה לעורך דין ביטוח לאומי","Conversion-focused and honest; does not promise representation or result.",Pending
BTL-COPY-05,/national-insurance-attorney/,Secondary Link,"רוצים להבין קודם איך עובד ערעור ביטוח לאומי? מעבר למדריך הערעור","Sends education intent to the guide route and reduces cannibalization.",Pending
BTL-COPY-06,/national-insurance-attorney/,Opening Direction,"התחלת העמוד צריכה להסביר שהמשתמש מחזיק החלטה, זימון, פרוטוקול או שאלה על זכאות, ושמטרת הפנייה היא בדיקת התאמה ראשונית לעורך דין בתחום הנכון.","Fits money path without exposing internal revenue logic.",Pending
BTL-COPY-07,/national-insurance-attorney/,Required Body Sections,"מתי בודקים עורך דין; הבדל בין ועדה רפואית, ועדת עררים ובית הדין לעבודה; מסמכים להכנה; איך לבחור עורך דין; שאלות לשיחת התאמה; איך Jus-Tice מנתב פנייה; FAQ; דיסקליימר.","Meets page-minimum direction but still blocks public upload until full body/legal review.",Pending
BTL-COPY-08,/national-insurance-attorney/,Image Requirement,"תמונה ריאליסטית של אדם ומשפחה בוחנים מסמכי החלטה כלליים, בלי פרטים מזהים, בלי לוגו, בלי מספרי תביעה, עם alt בעברית ומידות קבועות.","Supports premium visual standard and prevents privacy/CLS risk.",Pending
BTL-COPY-09,/bituach-leumi-appeal-guide/,Title,"ערעור ביטוח לאומי: מה לבדוק לפני הגשת ערעור או פנייה לעורך דין | Jus-Tice","Owns guide/checklist intent and points to attorney route only as next step.",Pending
BTL-COPY-10,/bituach-leumi-appeal-guide/,H1,"ערעור ביטוח לאומי: בדיקת מועד, מסמכים וסוג ההחלטה","Differentiates the guide from the attorney landing page.",Pending
BTL-COPY-11,/bituach-leumi-appeal-guide/,Meta Description,"מדריך ראשוני לערעור ביטוח לאומי: איך לזהות את סוג ההחלטה, מהו מועד הערעור, אילו מסמכים להכין ומתי כדאי לבקש בדיקת עורך דין.","Informational, source-backed and no legal-result promise.",Pending
BTL-COPY-12,/bituach-leumi-appeal-guide/,Primary CTA,"בדיקת מסלול הערעור והמסמכים","Keeps calculator/checklist intent primary.",Pending
BTL-COPY-13,/bituach-leumi-appeal-guide/,Secondary Link,"צריך עורך דין? בדיקת התאמה לעורך דין ביטוח לאומי","Moves lawyer-match intent to /national-insurance-attorney/.",Pending
BTL-COPY-14,/bituach-leumi-appeal-guide/,Opening Direction,"התחלת העמוד צריכה לבקש מהמשתמש לזהות סוג החלטה, תאריך קבלה, מסמכים חסרים והאם מדובר באחוזי נכות, דרגת אי כושר, החלטת פקיד תביעות או שאלה לבית הדין.","Matches official-source distinctions and reduces generic copy.",Pending
BTL-COPY-15,/bituach-leumi-appeal-guide/,Required Body Sections,"מה התקבל מביטוח לאומי; מועדים; אחוזי נכות מול אי כושר; מתי בית הדין לעבודה; מסמכים; טעויות נפוצות; מתי מערבים עורך דין; FAQ; דיסקליימר.","Supports full useful guide, not a thin page.",Pending
BTL-COPY-16,/bituach-leumi-appeal-guide/,Image Requirement,"תמונה ריאליסטית של שולחן עם קלסר רפואי, צ'קליסט ולוח שנה לא קריא, בלי לוגו, בלי מספרי תביעה, עם alt בעברית ומידות קבועות.","Supports trust and avoids fake official-document risk.",Pending
