row_type,id,gate,status,stage,owner_action,wp_admin_field,recommended_value,evidence,completion_rule,next_action,forbidden_without_approval
gate,CJLA-GATE-01,source_unblocker_available,PASS,,,,,Source unblocker status: DIRECTORY_COVERAGE_UNBLOCKER_READY_NO_PUBLIC_CHANGE.,,Use the source blocker as private evidence only; do not publish from it.,
gate,CJLA-GATE-02,criminal_jerusalem_exact_coverage_missing,PASS,,,,,Exact criminal+Jerusalem card count 0; area-only criminal 0; city-only Jerusalem 2.,,Treat private matching-lawyer coverage as the safest unblocker.,
gate,CJLA-GATE-03,prospect_cpt_private_admin_only,PASS,,,,,"justice_prospect is non-public, hidden from REST and available in the owner onboarding menu.",,Use wp-admin prospect entry only; do not create public lawyer cards from this packet.,
gate,CJLA-GATE-04,prospect_fields_ready,PASS,,,,,23 prospect fields needed for coverage activation are registered.,,"Fill only owner-known, no-PII fields in the private CSV/template before any live entry.",
gate,CJLA-GATE-05,verification_rules_ready,PASS,,,,,"Verification helper checks license, specialty, response fit, payment path, terms, fee and billing contact.",,Do not mark a prospect routable until these fields are complete in wp-admin.,
gate,CJLA-GATE-06,owner_sales_queue_ready,PASS,,,,,"Lead CRM exposes Lawyer Prospects as the owner sales queue, not a public listing.",,Use the owner queue for paid-coverage follow-up after owner approval.,
gate,CJLA-GATE-07,no_live_action_authorized,PASS,,,,,"This packet approves 0 CMS writes, public changes, CRM records, contacts, routing, invoices, payments, emails, WhatsApp, TalkTo or uPress actions.",,Keep this as a preparation artifact until the owner explicitly approves private live entry.,
activation,CJ-COVERAGE-01,,,private_prospect_entry,Create or verify one private Lawyer Prospect for criminal-law in jerusalem.,"prospect_practice_area, prospect_city, prospect_target_plan, prospect_priority, prospect_outreach_status, prospect_source_url, prospect_demand_signal",criminal-law | jerusalem | lead_partner | hot | research | /lawyers/?city=jerusalem&area=criminal-law | exact directory has 0 lawyer cards,Exact directory /lawyers/?city=jerusalem&area=criminal-law has 0 lawyer cards. Area-only criminal directory /lawyers/?area=criminal-law has 0 lawyer cards. City-only Jerusalem directory /lawyers/?city=jerusalem has 2 lawyer cards but is not criminal-specific. Contact fallback /contact/?area=criminal-law&city=jerusalem&source=criminal-lawyer-jerusalem is review-only.,Private prospect row exists in wp-admin or owner template; no public profile/card is created from this packet.,,Do not create or publish a public lawyer card.
activation,CJ-COVERAGE-02,,,license_check,Verify Israeli Bar/license status from an owner-approved source.,"prospect_license_verified, prospect_verification_note",1 only after owner/admin verification; note private source/date.,Required by justice_theme_lawyer_prospect_verification_missing().,License checkbox is 1 and note identifies the private verification evidence.,,Do not infer license status from marketing copy alone.
activation,CJ-COVERAGE-03,,,specialty_fit,Verify real criminal-law fit and Jerusalem service coverage.,"prospect_specialty_verified, prospect_owner_note",1 only after human review; note criminal-law plus Jerusalem coverage.,Exact directory coverage is blocked until a matching lawyer exists.,Specialty checkbox is 1 and owner note explains why this prospect fits criminal-law/Jerusalem.,,Do not mark a general Jerusalem lawyer as criminal-law coverage without evidence.
activation,CJ-COVERAGE-04,,,response_fit,Record response readiness for paid lead handling.,prospect_response_fit,within_15_min or same_day,Verification helper accepts only within_15_min or same_day for readiness.,Response fit is one of the accepted values.,,Do not route urgent criminal-law leads to a prospect with unknown response fit.
activation,CJ-COVERAGE-05,,,payment_terms,Record manual payment path and agreed qualified-lead fee terms.,"prospect_payment_path_ready, prospect_lead_fee_terms_ready, prospect_agreed_lead_fee_ils, prospect_terms_note",1 | 1 | owner-filled numeric fee | manual invoice/payment terms note,Grow/Meshulam automated payment remains blocked; manual invoice fallback requires explicit terms and fee evidence.,"Payment path and terms are 1, agreed lead fee is greater than 0, and terms note is complete.",,"Do not invoice, mark paid, or claim revenue from this packet."
activation,CJ-COVERAGE-06,,,billing_contact,Record billing contact email only after owner/admin has permission to store it.,prospect_billing_contact_email,owner-filled valid email,Verification helper blocks readiness without a valid billing email.,Billing contact email is valid and owner-approved for private storage.,,Do not place personal email addresses in repo artifacts.
activation,CJ-COVERAGE-07,,,routable_profile_review,"Only after the private prospect is ready, prepare a separate fact-gated public lawyer-card/profile review.",separate owner-approved profile/profile-card workflow,not approved by this packet,justice_prospect is private/admin-only; directory cards require separate public profile readiness.,Separate owner approval exists and public-card facts are reviewed before any CMS/public record action.,,Do not convert a private prospect into a public routable lawyer profile.
activation,CJ-COVERAGE-08,,,coverage_gate_rerun,"After owner-approved private/profile work, rerun the city/practice coverage gate.",repo-local verification only,node tools/build-city-practice-priority-draft-briefs.mjs --reportDate=YYYY-MM-DD,The source blocker was produced by the city/practice coverage gate.,Exact criminal+Jerusalem directory has at least one matching lawyer card before public draft/link reliance.,,Do not use broader city or contact fallback publicly from this packet alone.
