id,type,url,title,slug,status,language,word_count,categories,practice_area,top_keyword,secondary_keywords,search_intent,cluster,pillar_candidate,duplicate_title_risk,duplicate_topic_risk,action
TEMPLATE,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
NOTE: Populate this file by running via WP-CLI or REST API. See commands below.
NOTE: WP-CLI command to generate: wp post list --post_type=articles,post,page,justice_lawyer --post_status=publish,draft --fields=ID,post_type,post_title,post_name,post_status --format=csv > raw-inventory.csv
NOTE: Then enrich with: word_count (manual or SEMrush), practice_area (from taxonomy), top_keyword (from GSC), cluster (manual assignment)
EXAMPLE1,articles,/articles/geirushin-haskhama/,גירושין בהסכמה — המדריך המלא,geirushin-haskhama,publish,he,2400,דיני משפחה,גירושין,גירושין בהסכמה,"ייצוג בגירושין,עלות גירושין בהסכמה",Informational/Commercial,cluster-geirushin,YES,LOW,LOW,KEEP AS PILLAR
EXAMPLE2,articles,/articles/mishmoret-yeladim/,משמורת ילדים — זכויות והליכים,mishmoret-yeladim,publish,he,1800,דיני משפחה,גירושין,משמורת ילדים,"חלוקת משמורת,בקשת משמורת",Informational,cluster-geirushin,NO,LOW,LOW,SUPPORT PILLAR
EXAMPLE3,articles,/articles/divrei-av/,מזונות ילדים כמה משלמים,divrei-av,publish,he,1500,דיני משפחה,גירושין,מזונות ילדים,"מזונות זמניים,חישוב מזונות",Informational,cluster-geirushin,NO,LOW,MEDIUM,SUPPORT PILLAR
EXAMPLE4,justice_lawyer,/lawyers/sara-cohen/,שרה כהן — עורכת דין משפחה תל אביב,sara-cohen,draft,he,800,דיני משפחה,גירושין,עורך דין גירושין תל אביב,,Commercial,—,NO,LOW,LOW,KEEP
SPAM1,post,/casino-online-israel/,Best Casino Israel 2025,casino-online-israel,publish,en,300,Uncategorized,,casino israel online,,Spam,—,NO,LOW,LOW,DELETE ONLY AFTER APPROVAL
REPO-DRAFT-FAMILY-001,articles,/divorce-lawyer/,עורך דין גירושין: מדריך עומק לבחירה נכונה תהליך עלויות ילדים ורכוש,divorce-lawyer,repo_draft,he,5083,דיני משפחה,family-law,עורך דין גירושין,"עורך דין לענייני משפחה; עורך דין גירושין מחיר; גירושין בהסכמה; מזונות ילדים; משמורת ילדים; חלוקת רכוש",Mixed commercial/informational,family-law,YES,LOW,MEDIUM,LEGAL_REVIEW_BROWSER_SOURCE_VERIFY_IMPORT_AS_DRAFT
REPO-DRAFT-FAMILY-002,articles,/consensual-divorce/,גירושין בהסכמה: מדריך עומק להסכם נכון אישור משפטי ילדים רכוש וסיכונים,consensual-divorce,repo_draft,he,3518,דיני משפחה,family-law,גירושין בהסכמה,"הסכם גירושין; אישור הסכם גירושין; גישור גירושין; עלות הסכם גירושין",Informational with conversion,family-law,NO,LOW,LOW,LEGAL_REVIEW_BROWSER_SOURCE_VERIFY_IMPORT_AS_DRAFT
REPO-DRAFT-FAMILY-003,articles,/divorce-mediation/,גישור גירושין: מתי זה מתאים מה בודקים כמה זה עולה ומה חשוב לא לפספס,divorce-mediation,repo_draft,he,3525,דיני משפחה,family-law,גישור גירושין,"מגשר גירושין; גישור משפחתי; עורך דין מגשר; מחיר גישור גירושין",Informational comparison,family-law,NO,LOW,MEDIUM,LEGAL_REVIEW_BROWSER_SOURCE_VERIFY_IMPORT_AS_DRAFT
REPO-DRAFT-FAMILY-004,articles,/child-support/,מזונות ילדים: איך בודקים צרכים הכנסות זמני שהות וסיכונים,child-support,repo_draft,he,5019,דיני משפחה,family-law,מזונות ילדים,"חישוב מזונות; מזונות במשמורת משותפת; תביעת מזונות; שינוי מזונות",Informational legal issue,family-law,NO,LOW,MEDIUM,LEGAL_REVIEW_BROWSER_SOURCE_VERIFY_IMPORT_AS_DRAFT
REPO-DRAFT-FAMILY-005,articles,/child-custody/,זמני שהות ואחריות הורית: מדריך להורים בגירושין,child-custody,repo_draft,he,4575,דיני משפחה,family-law,משמורת ילדים,"זמני שהות; אחריות הורית; הסדרי ראייה; טובת הילד",Informational legal issue,family-law,NO,MEDIUM,MEDIUM,LEGAL_REVIEW_BROWSER_SOURCE_VERIFY_IMPORT_AS_DRAFT
REPO-DRAFT-FAMILY-006,articles,/divorce-property-division/,חלוקת רכוש בגירושין: איזון משאבים דירת מגורים פנסיה חובות ונכסים עסקיים,divorce-property-division,repo_draft,he,4553,דיני משפחה,family-law,חלוקת רכוש בגירושין,"איזון משאבים; פירוק שיתוף; זכויות פנסיוניות; חובות בגירושין",Informational legal-financial,family-law,NO,LOW,MEDIUM,LEGAL_REVIEW_BROWSER_SOURCE_VERIFY_IMPORT_AS_DRAFT
