"slug_or_url","intent","live_status","evidence","recommended_decision","approval_required","public_change_this_cycle"
"/birth-malpractice/","clean birth-malpractice support slug","404","Dead clean slug; old Hebrew birth/pregnancy page has 661 birth impressions and 419 pregnancy impressions in prior owner packet.","BLOCKED_COMPARE_BIRTH_PAGES_FIRST","YES_BEFORE_REDIRECT_OR_ROUTE","NO"
"/pregnancy-malpractice/","clean pregnancy-malpractice support slug","404","Dead clean slug; pregnancy demand overlaps with old Hebrew birth page in prior GSC evidence.","BLOCKED_SPLIT_BIRTH_VS_PREGNANCY_FIRST","YES_BEFORE_REDIRECT_OR_ROUTE","NO"
"/diagnosis-malpractice/","clean diagnosis-malpractice support slug","404","Dead clean slug; live diagnosis-specific page exists at /medical-malpractice-8271/.","BLOCKED_COMPARE_TO_DIAGNOSIS_ARTICLE","YES_BEFORE_REDIRECT_OR_ROUTE","NO"
"/medical-malpractice-lawyer-birth-representation/","birth representation support","200","Old URL for post 11952 resolves live here; migration map had proposed generic /medical-malpractice-lawyer/ target.","CANDIDATE_BIRTH_PRIMARY_OR_SUPPORT","YES_BEFORE_ROLE_CHANGE","NO"
"/medical-malpractice-lawyer-birth-recommended/","recommended birth-malpractice lawyer support","200","Old URL for post 11834 resolves live here; prior GSC packet protects birth/pregnancy demand.","CANDIDATE_BIRTH_PRIMARY_OR_SUPPORT","YES_BEFORE_ROLE_CHANGE","NO"
"/birth-injury/","birth injury parent/support","200","Live support page and already used in theme-owned topic links after dead link fix.","KEEP_SUPPORT_COMPARE","YES_BEFORE_CMS_EDIT","NO"
"/birth-injury-lawyer/","birth injury lawyer support/commercial boundary","200","Live page may compete with clean birth-malpractice route if promoted blindly.","HOLD_ROLE_REVIEW","YES_BEFORE_PROMOTION","NO"
"/birth-injury-causes/","birth injury causes support","200","Sensitive medical causation content; live but source/legal review needed.","HOLD_SOURCE_LEGAL_REVIEW","YES_BEFORE_PROMOTION","NO"
"/brain-damage-at-birth/","brain damage at birth support","200","Sensitive medical causation content; live but source/legal review needed.","HOLD_SOURCE_LEGAL_REVIEW","YES_BEFORE_PROMOTION","NO"
"/medical-malpractice-8271/","diagnosis malpractice article","200","Old diagnosis row resolves live here; possible precise equivalent for /diagnosis-malpractice/.","CANDIDATE_PRECISE_DIAGNOSIS_REDIRECT","YES_BEFORE_REDIRECT","NO"
"old row 8400 encoded pregnancy/birth URL","pregnancy and birth malpractice","404","Old encoded URL returned 404; proposed target was generic /medical-malpractice-lawyer/.","REVIEW_EQUIVALENCE_BEFORE_REDIRECT","YES_BEFORE_REDIRECT","NO"
"old row 7964 article URL","birth-related verdict","200","Old article resolves to /personal-injury-verdict-judge-lawsuit-damages-claim/; proposed /birth-malpractice/ target is 404.","DO_NOT_FORCE_BIRTH_SLUG","YES_BEFORE_REDIRECT","NO"
