review_id,priority,group,path,mapped_target,live_status,final_path,cached_gsc_clicks,cached_gsc_impressions,cached_gsc_position,risk,baseline_action,recommended_owner_decision,owner_decision_options,owner_decision,owner_notes,required_before_action,operator_boundary,review_status,baseline_status
FD-PURL-001,P0_RESTORE_OR_TARGETED_301_REVIEW,protected_source,/%D7%9E%D7%97%D7%A9%D7%91%D7%95%D7%9F-%D7%9E%D7%96%D7%95%D7%A0%D7%95%D7%AA-%D7%99%D7%9C%D7%93%D7%99%D7%9D/,/child-support/,CONFLICT,/,16,17105,48.7,HIGH,RESTORE_OR_TARGETED_301_REVIEW_AFTER_FOCUSED_GSC,HOLD_FOR_FOCUSED_GSC_THEN_RESTORE_OR_TARGETED_301,RESTORE_CURRENT_URL | TARGETED_301_TO_MAPPED_TARGET | HOLD_FOR_MANUAL_REVIEW,,,focused_gsc_export; restore_or_confirm_redirect_source; owner_approval,Do not create blanket homepage redirect; after focused GSC decide restore source URL or targeted 301 to mapped target,BLOCKED_FOCUSED_GSC_EXPORT_REQUIRED,NOT_FINAL_CACHED_GSC_BASELINE
FD-PURL-002,P0_RESTORE_OR_TARGETED_301_REVIEW,protected_source,/%D7%9E%D7%93%D7%A8%D7%99%D7%9A-%D7%A2%D7%93%D7%9B%D7%A0%D7%99-%D7%9C%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F/,/divorce-lawyer/,CONFLICT,/,115,15844,24.2,HIGH,RESTORE_OR_TARGETED_301_REVIEW_AFTER_FOCUSED_GSC,HOLD_FOR_FOCUSED_GSC_THEN_RESTORE_OR_TARGETED_301,RESTORE_CURRENT_URL | TARGETED_301_TO_MAPPED_TARGET | HOLD_FOR_MANUAL_REVIEW,,,focused_gsc_export; restore_or_confirm_redirect_source; owner_approval,Do not create blanket homepage redirect; after focused GSC decide restore source URL or targeted 301 to mapped target,BLOCKED_FOCUSED_GSC_EXPORT_REQUIRED,NOT_FINAL_CACHED_GSC_BASELINE
FD-PURL-003,P0_RESTORE_OR_TARGETED_301_REVIEW,protected_source,/%D7%A2%D7%95%D7%93-%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%9E%D7%95%D7%9E%D7%9C%D7%A5-%D7%9B%D7%99%D7%A6%D7%93-%D7%9C%D7%9E%D7%A6%D7%95%D7%90-%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%95%D7%9B%D7%9E%D7%94-%D7%A2%D7%95%D7%9C%D7%94-%D7%9C%D7%94%D7%AA%D7%92%D7%A8%D7%A9/,/divorce-lawyer/,CONFLICT,/,0,13160,78.9,HIGH,RESTORE_OR_TARGETED_301_REVIEW_AFTER_FOCUSED_GSC,HOLD_FOR_FOCUSED_GSC_THEN_RESTORE_OR_TARGETED_301,RESTORE_CURRENT_URL | TARGETED_301_TO_MAPPED_TARGET | HOLD_FOR_MANUAL_REVIEW,,,focused_gsc_export; restore_or_confirm_redirect_source; owner_approval,Do not create blanket homepage redirect; after focused GSC decide restore source URL or targeted 301 to mapped target,BLOCKED_FOCUSED_GSC_EXPORT_REQUIRED,NOT_FINAL_CACHED_GSC_BASELINE
FD-PURL-004,P0_RESTORE_OR_TARGETED_301_REVIEW,protected_source,/%D7%92%D7%99%D7%A9%D7%95%D7%A8-%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%9E%D7%94-%D7%96%D7%94-%D7%95%D7%90%D7%99%D7%9A-%D7%94%D7%AA%D7%94%D7%9C%D7%99%D7%9A-%D7%A2%D7%95%D7%91%D7%93/,/divorce-mediation/,CONFLICT,/,0,9247,70.3,HIGH,RESTORE_OR_TARGETED_301_REVIEW_AFTER_FOCUSED_GSC,HOLD_FOR_FOCUSED_GSC_THEN_RESTORE_OR_TARGETED_301,RESTORE_CURRENT_URL | TARGETED_301_TO_MAPPED_TARGET | HOLD_FOR_MANUAL_REVIEW,,,focused_gsc_export; restore_or_confirm_redirect_source; owner_approval,Do not create blanket homepage redirect; after focused GSC decide restore source URL or targeted 301 to mapped target,BLOCKED_FOCUSED_GSC_EXPORT_REQUIRED,NOT_FINAL_CACHED_GSC_BASELINE
FD-PURL-005,P0_RESTORE_OR_TARGETED_301_REVIEW,protected_source,/what-is-child-custody/,/child-custody/,CONFLICT,/,0,6358,70.2,HIGH,RESTORE_OR_TARGETED_301_REVIEW_AFTER_FOCUSED_GSC,HOLD_FOR_FOCUSED_GSC_THEN_RESTORE_OR_TARGETED_301,RESTORE_CURRENT_URL | TARGETED_301_TO_MAPPED_TARGET | HOLD_FOR_MANUAL_REVIEW,,,focused_gsc_export; restore_or_confirm_redirect_source; owner_approval,Do not create blanket homepage redirect; after focused GSC decide restore source URL or targeted 301 to mapped target,BLOCKED_FOCUSED_GSC_EXPORT_REQUIRED,NOT_FINAL_CACHED_GSC_BASELINE
FD-PURL-006,P0_KEEP_ASSET_LIVE,protected_asset,/wp-content/uploads/2021/03/%D7%A0%D7%95%D7%A1%D7%97-%D7%94%D7%A1%D7%9B%D7%9D-%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%93%D7%95%D7%92%D7%9E%D7%90-2021.docx,/consensual-divorce/,PASS,/wp-content/uploads/2021/03/%D7%A0%D7%95%D7%A1%D7%97-%D7%94%D7%A1%D7%9B%D7%9D-%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%93%D7%95%D7%92%D7%9E%D7%90-2021.docx,16,10158,43.8,HIGH,KEEP_ASSET_LIVE_NO_REDIRECT,KEEP_ASSET_LIVE,KEEP_ASSET_LIVE | REPLACE_ASSET_WITH_SAME_URL | HOLD_FOR_MANUAL_REVIEW,,,focused_gsc_export; owner_approval_before_redirect_or_retirement,Do not redirect asset; preserve URL unless owner approves same-URL replacement,BLOCKED_FOCUSED_GSC_EXPORT_REQUIRED,NOT_FINAL_CACHED_GSC_BASELINE
FD-PURL-007,P1_KEEP_LIVE_REVIEW_MERGE_LATER,protected_source,/free-divorce-agreement-template/,/consensual-divorce/,PASS,/free-divorce-agreement-template/,173,35601,25.1,HIGH,KEEP_LIVE_OR_301_ONLY_AFTER_APPROVAL,KEEP_LIVE_NOW_REVIEW_MERGE_OR_301_AFTER_FOCUSED_GSC,KEEP_LIVE | MERGE_AND_301_AFTER_APPROVAL | HOLD_FOR_MANUAL_REVIEW,,,focused_gsc_export; owner_approval_before_redirect_or_retirement,Do not retire or canonicalize yet; keep live until focused GSC and owner approval,BLOCKED_FOCUSED_GSC_EXPORT_REQUIRED,NOT_FINAL_CACHED_GSC_BASELINE
FD-PURL-008,P1_KEEP_LIVE_REVIEW_MERGE_LATER,protected_source,/joint-custody-shared-parenting/,/child-custody/,PASS,/joint-custody-shared-parenting/,4,16538,61.8,HIGH,KEEP_LIVE_OR_301_ONLY_AFTER_APPROVAL,KEEP_LIVE_NOW_REVIEW_MERGE_OR_301_AFTER_FOCUSED_GSC,KEEP_LIVE | MERGE_AND_301_AFTER_APPROVAL | HOLD_FOR_MANUAL_REVIEW,,,focused_gsc_export; owner_approval_before_redirect_or_retirement,Do not retire or canonicalize yet; keep live until focused GSC and owner approval,BLOCKED_FOCUSED_GSC_EXPORT_REQUIRED,NOT_FINAL_CACHED_GSC_BASELINE
FD-PURL-009,P1_KEEP_LIVE_REVIEW_MERGE_LATER,protected_source,/child-custody-modification/,/child-custody/,PASS,/child-custody-modification/,17,13491,54.4,HIGH,KEEP_LIVE_OR_301_ONLY_AFTER_APPROVAL,KEEP_LIVE_NOW_REVIEW_MERGE_OR_301_AFTER_FOCUSED_GSC,KEEP_LIVE | MERGE_AND_301_AFTER_APPROVAL | HOLD_FOR_MANUAL_REVIEW,,,focused_gsc_export; owner_approval_before_redirect_or_retirement,Do not retire or canonicalize yet; keep live until focused GSC and owner approval,BLOCKED_FOCUSED_GSC_EXPORT_REQUIRED,NOT_FINAL_CACHED_GSC_BASELINE
FD-PURL-010,P1_KEEP_LIVE_REVIEW_MERGE_LATER,protected_source,/divorce-costs-2025/,/divorce-lawyer/,PASS,/divorce-costs-2025/,31,13272,31.6,HIGH,KEEP_LIVE_OR_301_ONLY_AFTER_APPROVAL,KEEP_LIVE_NOW_REVIEW_MERGE_OR_301_AFTER_FOCUSED_GSC,KEEP_LIVE | MERGE_AND_301_AFTER_APPROVAL | HOLD_FOR_MANUAL_REVIEW,,,focused_gsc_export; owner_approval_before_redirect_or_retirement,Do not retire or canonicalize yet; keep live until focused GSC and owner approval,BLOCKED_FOCUSED_GSC_EXPORT_REQUIRED,NOT_FINAL_CACHED_GSC_BASELINE
FD-PURL-011,P1_KEEP_LIVE_REVIEW_MERGE_LATER,protected_source,/living-apart-together-legal-rights/,/divorce-property-division/,PASS,/living-apart-together-legal-rights/,53,10685,53.6,HIGH,KEEP_LIVE_OR_301_ONLY_AFTER_APPROVAL,KEEP_LIVE_NOW_REVIEW_MERGE_OR_301_AFTER_FOCUSED_GSC,KEEP_LIVE | MERGE_AND_301_AFTER_APPROVAL | HOLD_FOR_MANUAL_REVIEW,,,focused_gsc_export; owner_approval_before_redirect_or_retirement,Do not retire or canonicalize yet; keep live until focused GSC and owner approval,BLOCKED_FOCUSED_GSC_EXPORT_REQUIRED,NOT_FINAL_CACHED_GSC_BASELINE
