"item_type","target","draft_file","qa_status","word_count","merge_status","owner_decision_needed","upload_status","next_step","notes"
"page","/divorce-lawyer/","content-drafts/divorce-lawyer-public-body-he.md","PASS","2106","MERGED_DRAFT_READY","APPROVE_EDIT_HOLD_OR_LEGAL_REVIEW_REQUIRED","BLOCKED","Owner review, legal/source check, then CMS backup before upload","Wave 1A pillar candidate; update existing live page only"
"page","/consensual-divorce/","content-drafts/consensual-divorce-public-body-he.md","PASS","1656","MERGED_DRAFT_READY","APPROVE_EDIT_HOLD_OR_LEGAL_REVIEW_REQUIRED","BLOCKED","Owner review, legal/source check, then CMS backup before upload","Wave 1B support candidate; update existing live page only"
"page","/divorce-mediation/","content-drafts/divorce-mediation-public-body-he.md","PASS","1834","MERGED_DRAFT_READY","APPROVE_EDIT_HOLD_OR_LEGAL_REVIEW_REQUIRED","BLOCKED","Owner review, legal/source check, then CMS backup before upload","Wave 1B support candidate; update existing live page only"
"page","/divorce-property-division/","content-drafts/divorce-property-division-public-body-he.md","PASS","1851","FIXED_HIGH_RISK_MERGE_COMPLETE_6_MERGE_23_COVERED_6_SKIP","APPROVE_EDIT_HOLD_OR_LEGAL_REVIEW_REQUIRED","BLOCKED","Owner review, legal/source check, then CMS backup before upload","High-risk live retention resolved locally; update existing live page only"
"page","/family-dispute-resolution/","content-drafts/family-dispute-resolution-public-body-he.md","PASS","1793","MERGED_DRAFT_READY","APPROVE_EDIT_HOLD_OR_LEGAL_REVIEW_REQUIRED","BLOCKED","Owner review, legal/source check, then CMS backup before upload","Wave 1B support candidate; update existing live page only"
"page","/child-support/","content-drafts/child-support-public-body-he.md","PASS","1650","FIXED_HIGH_RISK_MERGE_COMPLETE_4_MERGE_25_COVERED_6_SKIP","APPROVE_EDIT_HOLD_OR_LEGAL_REVIEW_REQUIRED","BLOCKED","Owner review, legal/source check, then CMS backup before upload","High-risk live retention resolved locally; update existing live page only"
"page","/child-custody/","content-drafts/child-custody-public-body-he.md","PASS","1748","FIXED_HIGH_RISK_MERGE_COMPLETE_9_MERGE_20_COVERED_6_SKIP","APPROVE_EDIT_HOLD_OR_LEGAL_REVIEW_REQUIRED","BLOCKED","Owner review, legal/source check, then CMS backup before upload","High-risk live retention resolved locally; update existing live page only"
"gate","all-seven-targets","reports/family-divorce-live-target-backup-2026-05-21/manifest.csv","VERIFIED_LIVE_READ_ONLY","19236_live_snapshot_words","PUBLIC_TEXT_BACKUP_ONLY","NOT_OWNER_ACTION","BLOCKED","Export actual WordPress editor/database content before CMS execution","Public text snapshot is not sufficient rollback backup"
"gate","all-seven-targets","reports/family-divorce-public-body-static-qa-2026-05-21.csv","PASS","12638_draft_words","ALL_STATIC_QA_PASS","NOT_OWNER_ACTION","READY_FOR_OWNER_REVIEW","Use this packet for page-by-page approval decisions","Static QA does not replace legal/source approval"
"gate","protected-family-divorce-sources","reports/family-divorce-live-preupload-2026-05-21.csv","BLOCKED","5_conflicts","FIVE_PROTECTED_SOURCE_URLS_301_TO_HOME","NOT_OWNER_ACTION","BLOCKED","Use GSC API/export before redirect, noindex, canonical or sitemap decisions","Do not bundle URL migration with body upload"
"gate","upload-sequence","project-control/family-divorce-owner-review-packet-2026-05-21.md","RECOMMENDED","7_pages","WAVE_1A_THEN_WAVE_1B","OWNER_APPROVES_SCOPE","BLOCKED","Approve /divorce-lawyer/ first, then approve support pages page by page","No public upload, redirect or sitemap change is approved by this packet"
