"item_id","lane","purpose","minimum_access_or_input","measurement","safe_mvp_action","blocked_action","status","source"
"GBME-001","Jus-Tice GBP","Make the brand profile a credible Search/Maps touchpoint","Owner or manager access to verified Jus-Tice Business Profile; public Maps URL; website URL; category; phone; service area","GBP views searches calls website clicks directions messages and search terms where available","Verify profile fields and plan UTM website URL conventions","No Google Business Profile edit or account change approved","VERIFIED_PLANNING","https://support.google.com/business/answer/3039617"
"GBME-002","Local ranking","Align profile work with real Google ranking factors","Complete accurate profile info; verified profile; review reply process; photos/videos when real","Local discovery and GBP performance trend","Improve completeness and source proof; do not promise ranking","No paid/request path for better organic local rank","VERIFIED_RESEARCH","https://support.google.com/business/answer/7091"
"GBME-003","Review generation","Collect genuine customer feedback safely","Google review request link or QR from verified profile","Review link clicks; latest review date; review count","Ask real clients with owner-approved wording and no incentive","No incentives fake reviews pressure or negative-review suppression","MUST_NOT_SKIP","https://support.google.com/business/answer/3474122"
"GBME-004","Review replies","Keep lawyer/client trust without privacy leakage","Owner/lawyer access to reviews; approved reply policy","Reply coverage and risky-review queue","Use short professional privacy-safe replies after owner/lawyer approval","No public legal facts personal attacks or promotional replies","MUST_NOT_SKIP","https://support.google.com/business/answer/3474122"
"GBME-005","GBP performance export","Turn profile visibility into monthly reports","Signed-in owner/manager access or later Performance API access","Interactions searches views directions calls website clicks messages","Manual export or private screenshot first; API later","No API pull or committed private export approved","BLOCKED_OWNER_ACCESS","https://support.google.com/business/answer/9918094"
"GBME-006","Performance API later","Automate GBP metrics for managed profiles","Google Cloud project; GBP API access; managed location; approved OAuth","Daily/monthly metrics and search keyword impressions","Plan API only after owner/lawyer authorization and terms review","No OAuth API quota request or data sync approved","FUTURE_API","https://developers.google.com/my-business/reference/performance/rest"
"GBME-007","Reviews API later","Automate authorized review count/rating/reply management","Verified managed location; OAuth business management scope; lawyer authorization","Average rating total review count review update time reply status","Use only for lawyers who authorize access","No Google review import display reply automation or schema approved","FUTURE_API","https://developers.google.com/my-business/reference/rest/v4/accounts.locations.reviews/list"
"GBME-008","Lawyer onboarding","Make GBP/reputation setup part of paid onboarding","Lawyer GBP URL Place ID review request URL latest review date review count website social links service area","Profile completeness review freshness link coverage","Add fields to onboarding checklist and private first-wave prospect workflow","No public rating review badge or profile edit approved","VERIFIED_PLANNING","project-control/lawyer-acquisition-first-wave-2026-05-20.md"
"GBME-009","GA4 events","Connect GBP and profiles to business outcomes","GA4 event plan and dataLayer/click tracking approval","lead_form_submit phone_click whatsapp_click lawyer_signup_submit lawyer_profile_contact_click review_link_click","Plan key events and UTMs before marketing","No GA4 setting key-event or tag change approved","PLANNED","project-control/ga4-analytics-review.md"
"GBME-010","Lead attribution","Separate GBP traffic from Direct and homepage traffic","UTM convention; hidden lead attribution fields; CRM/source mapping","Source medium campaign practice area lawyer ID where allowed","Use source fields for GBP website links review links and outreach links","No CRM database or live lead-flow change approved","PLANNED","project-control/homepage-lawyer-acquisition-cta-2026-05-21.md"
"GBME-011","First-party reputation","Build Jus-Tice recommendations without mixing Google content","Moderated first-party recommendation records and permission status","Approved public first-party count and moderation turnaround","Keep Google links separate from Jus-Tice recommendations","No Google text copying no public review schema no fake ratings","VERIFIED_CURRENT_DIRECTION","project-control/google-reviews-reputation-system-2026-05-20.md"
"GBME-012","Off-site visibility","Create real authority footprint for paid lawyers","Official website social profiles Bar/license source GBP Justia Dun's/other real directory links","Source URL coverage and profile completeness","Store source URLs and verification dates; link only real profiles","No invented credentials rankings awards citations or duplicate profiles","PLANNED","project-control/maya-rotenberg-reputation-plan.md"
"GBME-013","Monthly lawyer report","Make paid value visible and renewable","GA4 events lead statuses GBP manual/API metrics profile completeness content links","Profile views contact clicks leads review link clicks review freshness content exposure","Create monthly report template after tracking fields exist","No claim of guaranteed leads cases or rankings","PLANNED","project-control/reputation-product-roadmap.md"
