page_title,target_keyword,proposed_slug,existing_matching_urls,existing_related_urls,recommended_action,redirect_needed,notes,status
"עורך דין גירושין: מדריך עומק","עורך דין גירושין","divorce-lawyer","https://jus-tice.co.il/family-law/","https://jus-tice.co.il/experienced-family-law-attorney/ | https://jus-tice.co.il/divorce-costs-2025/ | https://jus-tice.co.il/leading-divorce-lawyers-worldwide/","EDITORIAL_REPAIR_EXISTING_PAGE","NO","Broad family-law page and several divorce-related pages already overlap. Repair the existing live page now; continue old-content comparison and merge useful sections later.","APPROVED_FOR_EDITORIAL_REPAIR"
"גירושין בהסכמה","גירושין בהסכמה","consensual-divorce","https://jus-tice.co.il/what-is-a-divorce-settlement-agreement/","https://jus-tice.co.il/rabbinical-agreement-approval/ | https://jus-tice.co.il/divorce-costs-2025/ | https://jus-tice.co.il/family-law/","EDITORIAL_REPAIR_EXISTING_PAGE","YES_AFTER_APPROVAL","Existing divorce agreement page appears to cover much of the same intent. Repair existing live page now; decide merge/redirect only after content and traffic review.","APPROVED_FOR_EDITORIAL_REPAIR"
"גישור גירושין","גישור גירושין","divorce-mediation","https://jus-tice.co.il/divorce-mediation-cons-pros/","https://jus-tice.co.il/family-mediation-updated-trends/ | https://jus-tice.co.il/what-is-a-divorce-settlement-agreement/ | https://jus-tice.co.il/divorce-costs-2025/","EDITORIAL_REPAIR_EXISTING_PAGE","YES_AFTER_APPROVAL","Existing indexed mediation pages already target the topic. Repair existing live page now; merge stronger old material before any redirect decision.","APPROVED_FOR_EDITORIAL_REPAIR"
"מזונות ילדים","מזונות ילדים","child-support","https://jus-tice.co.il/family-law/ | https://jus-tice.co.il/experienced-family-law-attorney/","https://jus-tice.co.il/divorce-costs-2025/ | https://jus-tice.co.il/family-law-italy/","EDITORIAL_REPAIR_EXISTING_PAGE","UNKNOWN","Existing family-law pages include child-support claims. Repair existing live page now; GSC/content review still needed before final canonical decision.","APPROVED_FOR_EDITORIAL_REPAIR"
"משמורת ילדים וזמני שהות","משמורת ילדים","child-custody","https://jus-tice.co.il/%D7%AA%D7%97%D7%95%D7%9E%D7%99-%D7%94%D7%AA%D7%9E%D7%97%D7%95%D7%AA/%D7%93%D7%99%D7%A0%D7%99-%D7%9E%D7%A9%D7%A4%D7%97%D7%94/%D7%9E%D7%A9%D7%9E%D7%95%D7%A8%D7%AA-%D7%99%D7%9C%D7%93%D7%99%D7%9D/","https://jus-tice.co.il/mom-full-custody/ | https://jus-tice.co.il/custody-rights-for-fathers/ | https://jus-tice.co.il/tender-years-mother-custody-child-age-under-6/ | https://jus-tice.co.il/family-law/","EDITORIAL_REPAIR_EXISTING_PAGE","YES_AFTER_APPROVAL","Existing Hebrew URL is an exact topic match. Repair existing live page now; preserve traffic value and redirect only after approval.","APPROVED_FOR_EDITORIAL_REPAIR"
"חלוקת רכוש בגירושין","חלוקת רכוש בגירושין","divorce-property-division","https://jus-tice.co.il/family-law/","https://jus-tice.co.il/divorce-costs-2025/ | https://jus-tice.co.il/leading-divorce-lawyers-worldwide/","EDITORIAL_REPAIR_EXISTING_PAGE","UNKNOWN","Related content exists but exact standalone page is not fully resolved. Repair existing live page now; continue inventory and GSC review.","APPROVED_FOR_EDITORIAL_REPAIR"
"יישוב סכסוך במשפחה","בקשה ליישוב סכסוך","family-dispute-resolution","https://jus-tice.co.il/request-for-family-dispute-settlements","https://jus-tice.co.il/form-6-request-urgent-relief-dispute-settlement/ | https://jus-tice.co.il/is-a-law-for-the-settlement-of-family-disputes-successful/ | https://jus-tice.co.il/family-law/","EDITORIAL_REPAIR_EXISTING_PAGE","YES_AFTER_APPROVAL","Existing request-for-family-dispute-settlements page is a direct match. Repair existing live page now; merge/redirect decision remains approval-dependent.","APPROVED_FOR_EDITORIAL_REPAIR"
"עורך דין פלילי","עורך דין פלילי","criminal-lawyer","https://jus-tice.co.il/criminal-prosecutions/","https://jus-tice.co.il/%D7%A1%D7%93%D7%A8-%D7%93%D7%99%D7%9F-%D7%A4%D7%9C%D7%99%D7%9C%D7%99-%D7%97%D7%95%D7%A7-%D7%94%D7%9E%D7%A2%D7%A6%D7%A8%D7%99%D7%9D/ | https://jus-tice.co.il/lawyer-criminal-law-arrest-legal-representation-during-arrest/","IMPORT_AS_DRAFT_ONLY_MERGE_REVIEW_REQUIRED","YES_AFTER_APPROVAL","Criminal pillar draft is now 5,037 words and should not publish blindly because existing criminal prosecution/arrest pages already overlap. Compare old pages and GSC traffic before canonical/redirect decisions.","DRAFT_ONLY_CANNIBALIZATION_REVIEW_REQUIRED"
"חקירה במשטרה","חקירה במשטרה","police-investigation","https://jus-tice.co.il/criminal-prosecutions/","https://jus-tice.co.il/lawyer-criminal-law-arrest-legal-representation-during-arrest/ | https://jus-tice.co.il/%D7%A1%D7%93%D7%A8-%D7%93%D7%99%D7%9F-%D7%A4%D7%9C%D7%99%D7%9C%D7%99-%D7%97%D7%95%D7%A7-%D7%94%D7%9E%D7%A2%D7%A6%D7%A8%D7%99%D7%9D/","IMPORT_AS_DRAFT_ONLY_MERGE_REVIEW_REQUIRED","YES_AFTER_APPROVAL","Police-investigation supporting draft is 3,500 words and should not publish blindly because older criminal prosecution/arrest pages overlap. Keep it focused on investigation-specific urgent intent; compare old pages and GSC traffic before canonical/redirect decisions.","DRAFT_ONLY_CANNIBALIZATION_REVIEW_REQUIRED"
"מעצר ימים","מעצר ימים","pretrial-detention","https://jus-tice.co.il/lawyer-criminal-law-arrest-legal-representation-during-arrest/","https://jus-tice.co.il/extension-of-detention-for-more-than-thirty-days/ | https://jus-tice.co.il/%D7%A1%D7%93%D7%A8-%D7%93%D7%99%D7%9F-%D7%A4%D7%9C%D7%99%D7%9C%D7%99-%D7%97%D7%95%D7%A7-%D7%94%D7%9E%D7%A2%D7%A6%D7%A8%D7%99%D7%9D/","IMPORT_AS_DRAFT_ONLY_MERGE_REVIEW_REQUIRED","YES_AFTER_APPROVAL","Pretrial-detention supporting draft is 3,500 words and should not publish blindly because old arrest/procedure pages overlap. Keep it focused on arrest/remand release conditions and family action steps; compare old pages and GSC traffic before canonical/redirect decisions.","DRAFT_ONLY_CANNIBALIZATION_REVIEW_REQUIRED"
