map_id,wp_area,field_or_action,value,status,why,qa_check,blocked_until
RE-CMS-MAP-001,identity,target_url,https://jus-tice.co.il/real-estate-attorney/,VERIFIED_PLANNING,Existing high-impression commercial hub URL,Confirm status 200 before and after upload,Owner approves real-estate update
RE-CMS-MAP-002,identity,slug,/real-estate-attorney/,VERIFIED_PLANNING,No URL change in first rescue edit,Confirm slug unchanged in CMS,Owner approves real-estate update
RE-CMS-MAP-003,live_snapshot,http_canonical_robots,"HTTP 200; self-canonical; robots index follow",VERIFIED_LIVE,Live page is crawlable and should be preserved,Recheck source before and after upload,Owner approves real-estate update
RE-CMS-MAP-004,backup,current_body,Save full current live body before overwrite,REQUIRED_PRE_UPLOAD,Rollback protection,Backup file or CMS revision exists,Owner approves real-estate update
RE-CMS-MAP-005,backup,current_metadata,"Save current title H1 SEO title meta description OG canonical robots taxonomy related links schema source",REQUIRED_PRE_UPLOAD,Rollback protection,Backup values captured before edit,Owner approves real-estate update
RE-CMS-MAP-006,content,body_source,project-control/money-query-seo-rescue-edit-blocks-2026-05-19.md,READY_FOR_REVIEW,Exact intro practical CTA and internal-link blocks already exist,Use the real-estate section only,Owner approves edit source
RE-CMS-MAP-007,content,post_title_h1,"עורך דין מקרקעין לקנייה, מכירה ורישום נכס",RECOMMENDED,Clear commercial intent without fake trust or free-consultation language,Confirm exactly one visible H1,Owner approves metadata
RE-CMS-MAP-008,seo,seo_title,"עורך דין מקרקעין: קנייה, מכירה, חוזים ורישום זכויות | Jus-Tice",RECOMMENDED,Tighter money-query title and safer than current claim-heavy title,Confirm source title output,Owner approves metadata
RE-CMS-MAP-009,seo,meta_description,"מדריך מעשי למציאת עורך דין מקרקעין: בדיקות לפני קנייה או מכירה, חוזה, טאבו, מיסוי, מסירה מקבלן ומתי לפנות לייעוץ משפטי.",RECOMMENDED,Answers search intent without recommended or free-consultation claims,Confirm meta description in source,Owner approves metadata
RE-CMS-MAP-010,social,og_title,"עורך דין מקרקעין: קנייה, מכירה ורישום זכויות",RECOMMENDED,Short social title aligned with page topic,Confirm OG title in source,Owner approves metadata
RE-CMS-MAP-011,social,og_description,"מדריך מעשי למציאת עורך דין מקרקעין: בדיקות לפני קנייה או מכירה, חוזה, טאבו, מיסוי, מסירה מקבלן ומתי לפנות לייעוץ משפטי.",RECOMMENDED,Consistent share description,Confirm OG description in source,Owner approves metadata
RE-CMS-MAP-012,navigation,breadcrumb_label,עורך דין מקרקעין,RECOMMENDED,Short navigational label,Confirm breadcrumb and BreadcrumbList output,Owner approves metadata
RE-CMS-MAP-013,seo,canonical,https://jus-tice.co.il/real-estate-attorney/,VERIFIED_PLANNING,Self-canonical avoids migration risk,Confirm canonical unchanged,Owner approves upload
RE-CMS-MAP-014,seo,robots,index follow,VERIFIED_PLANNING,The live page is already indexable and should stay indexable after QA,Confirm no accidental noindex,Owner approves upload
RE-CMS-MAP-015,taxonomy,practice_area,existing real-estate practice area only,RECOMMENDED,Avoid taxonomy fragmentation during first page update,Confirm no new term was created,Owner approves taxonomy use
RE-CMS-MAP-016,body,intro_block,Use real-estate intro block from money-query rescue file,RECOMMENDED,Improves first-screen intent and reduces keyword-stuffed opening,Compare first paragraphs after upload,Owner approves body edit
RE-CMS-MAP-017,body,practical_section,Use real-estate practical section from money-query rescue file,RECOMMENDED,Adds user-intent structure around when to contact a real-estate lawyer,Confirm H2 and bullet list render,Owner approves body edit
