topic,current_or_planned_url,intended_role,primary_intent,required_sources,source_status,legal_claims_allowed,legal_claims_blocked,privacy_or_confidentiality_risk,required_disclaimer,recommended_action,approval_status,notes
cyber-lawyer,https://jus-tice.co.il/cyber-lawyer/,candidate_primary_service,lawyer-service,"National Cyber Directorate cyber event report; CERT overview; Computer Law Knesset PDFs; Privacy Protection Authority breach source where data is involved",PARTIAL_VERIFIED,"General explanation of when cyber incidents may need legal help; evidence-preservation checklist; official reporting path as public option","Guaranteed outcome; criminal guilt conclusions; compensation promises; claims that reporting replaces legal advice",HIGH,YES,KEEP_AS_CURRENT_CANDIDATE_AND_REVIEW_SOURCES,OWNER_AND_LEGAL_REVIEW_REQUIRED,"No title/H1/meta/content/link change approved"
cybercrime-lawyer-role,https://jus-tice.co.il/cybercrime-lawyer-roll/,support_or_boundary,cybercrime-lawyer-role,"Computer Law Knesset PDFs; police complaint service; National Cyber Directorate source where reporting is relevant",PARTIAL_VERIFIED,"Explain cybercrime/criminal-law boundary in general terms","Calling a user/offender guilty; advising evidence destruction; promising no investigation",HIGH,YES,SUPPORT_BOUNDARY_REVIEW,OWNER_AND_LEGAL_REVIEW_REQUIRED,"May support cyber or criminal clusters"
cyber-laws,https://jus-tice.co.il/cyber-laws/,informational_support,cyber-law-information,"Computer Law Knesset PDFs; Privacy Protection Law source; Privacy information-security regulations",PARTIAL_VERIFIED,"General legal framework overview; source-linked glossary","Current-law certainty without legal review; exhaustive legal list; advice for a specific case",MEDIUM,YES,KEEP_AS_INFORMATIONAL_SUPPORT,OWNER_AND_LEGAL_REVIEW_REQUIRED,"Do not let informational guide cannibalize lawyer-service page"
cyberattack-guide,https://jus-tice.co.il/what-is-cyberattack/,support_guide,cyberattack-explainer,"National Cyber Directorate cyber event report; CERT overview; Privacy Protection Authority breach report if personal data involved",VERIFIED_SOURCE_ANCHORS,"Practical incident checklist; who to notify; preserve logs/evidence","Technical forensics guarantees; instruction to retaliate; claim that every cyberattack creates legal compensation",HIGH,YES,EXPAND_WITH_SOURCE_CHECKLIST,OWNER_AND_LEGAL_REVIEW_REQUIRED,"Useful as support if tied to legal next steps carefully"
cyber-insurance,https://jus-tice.co.il/cyber-insurance/,business_support,insurance-business-risk,"National Cyber Directorate source; Privacy Protection Authority breach source; policy-specific insurer documents if supplied",PARTIAL_VERIFIED,"Explain insurance as business-risk topic and legal/compliance questions to ask","Coverage guarantees; advice on a specific policy; replacing broker/lawyer advice",MEDIUM,YES,KEEP_BUSINESS_SUPPORT,OWNER_AND_LEGAL_REVIEW_REQUIRED,"Avoid mixing insurance product intent with service pillar"
privacy-injury-old-url,old Hebrew privacy-injury URL,protected_support_or_migration_risk,privacy-injury,"Privacy Protection Authority breach report; database registration source; Privacy Protection Law source; information-security regulations",VERIFIED_SOURCE_ANCHORS,"General privacy harm explanation; evidence checklist; regulator/source links","Guaranteed damages; unsupported privacy violation conclusion; exposing sensitive examples",HIGH,YES,PROTECT_COMPARE_EXPAND,OWNER_AND_LEGAL_REVIEW_REQUIRED,"Has GSC impressions; do not redirect or rewrite blindly"
privacy-overview,https://jus-tice.co.il/articles/privacy-overview-current-hebrew-url/,thin_support,privacy-overview,"Privacy Protection Council; Privacy Protection Authority services; Privacy Protection Law source",PARTIAL_VERIFIED,"General privacy rights and source-linked overview","Specific legal remedy without source/legal review; outdated amendment claims",MEDIUM,YES,EXPAND_AFTER_SOURCE_REVIEW,OWNER_AND_LEGAL_REVIEW_REQUIRED,"Current URL in inventory uses Hebrew slug; verify exact URL before edits"
data-breach-reporting,PLANNED_OR_SUPPORT_SECTION,support_section,data-breach-response,"Privacy Protection Authority serious data breach reporting page; information-security regulations; National Cyber Directorate cyber event report",VERIFIED_SOURCE_ANCHORS,"Explain that certain serious database security incidents may require reporting; direct users to official source","Stating reporting duty applies to every incident; giving compliance advice without legal review",HIGH,YES,ADD_AS_SECTION_NOT_NEW_PAGE_YET,OWNER_AND_LEGAL_REVIEW_REQUIRED,"Use inside privacy/cyberattack pages after approval"
online-defamation-shaming,PLANNED_OR_EXISTING_TO_VERIFY,boundary_support,online-reputation-defamation,"Knesset Defamation Law PDFs; Google legal/privacy removal overview; police complaint service only if threat/crime involved",PARTIAL_VERIFIED,"Distinguish defamation/privacy/platform removal; evidence checklist","Guaranteeing removal; saying all harmful posts are defamation; encouraging threats or public escalation",HIGH,YES,SOURCE_LEGAL_BOUNDARY_REVIEW,OWNER_AND_LEGAL_REVIEW_REQUIRED,"GSC shaming row was low-sample wrong-page; do not create duplicate blindly"
google-removal,PLANNED_OR_SECTION,support_section,search-result-removal,"Google personal information removal guidance; Google legal/privacy delisting overview",VERIFIED_SOURCE_ANCHORS,"Explain Google removal as platform process separate from source-page removal","Claiming Google removal deletes original content; guaranteeing delisting; presenting platform process as Israeli law",MEDIUM,YES,ADD_AS_PROCESS_SECTION_AFTER_REVIEW,EDITORIAL_AND_LEGAL_REVIEW_REQUIRED,"Use cautiously for user practical value"
police-records-data-deletion,https://jus-tice.co.il/police-records-data-deletion/,boundary_page,criminal-record-data-privacy,"Police/government official procedure still needs exact source verification; Privacy Protection Authority sources if database-rights angle is used",NOT_FULLY_VERIFIED,"Only general classification until exact official source found","Detailed procedure or eligibility claims without source; mixing criminal-record deletion with privacy removal",HIGH,YES,CLASSIFY_AND_SOURCE_BEFORE_REWRITE,OWNER_AND_LEGAL_REVIEW_REQUIRED,"Thin/outdated page; do not connect to privacy/cyber blindly"
cybersex-trafficking,https://jus-tice.co.il/cybersex-trafficking/,sensitive_criminal_support,criminal-cyber-boundary,"Police complaint service; criminal-law sources; privacy/source links only if personal publication/data angle exists",PARTIAL_VERIFIED,"General explanation that sensitive online sexual exploitation/offense topics need urgent legal help and evidence preservation","Graphic details; invented facts; victim-blaming; legal outcome promises",VERY_HIGH,YES,KEEP_SENSITIVE_BOUNDARY_REVIEW,OWNER_AND_LEGAL_REVIEW_REQUIRED,"Connect to criminal/cyber only after legal review"
