cluster_id,pillar_url,role,intent,url,primary_query,new_title,priority_wave,clicks_16mo,impressions_16mo,action
medical-malpractice,https://jus-tice.co.il/medical-malpractice-lawyer/,cluster,hire-lawyer,https://jus-tice.co.il/medical-malpractice-in-the-united-states/,"עו""ד רשלנות רפואית בארצות הברית","עו""ד רשלנות רפואית בארצות הברית: שירותים, הליך ובחירת ייצוג",1,21.0,18043.0,REBUILD
medical-malpractice,https://jus-tice.co.il/medical-malpractice-lawyer/,cluster,informational-guide,https://jus-tice.co.il/malpractice-cerebral-palsy/,איך להגיש תביעת רשלנות רפואית בלידה,איך להגיש תביעת רשלנות רפואית בלידה: מדריך משפטי מעשי,1,0.0,7408.0,REBUILD
medical-malpractice,https://jus-tice.co.il/medical-malpractice-lawyer/,cluster,informational-guide,https://jus-tice.co.il/what-is-medical-malpractice-definition-examples/,הוכחת רשלנות רפואית,הוכחת רשלנות רפואית: מדריך משפטי מעשי,1,0.0,6895.0,REBUILD
medical-malpractice,https://jus-tice.co.il/medical-malpractice-lawyer/,cluster,informational-guide,https://jus-tice.co.il/medical-malpractice-common-errors-doctors-hospitals/,רשלנות רפואית: שגיאות נפוצות של רופאים ובתי חולים,רשלנות רפואית: שגיאות נפוצות של רופאים ובתי חולים,1,0.0,5584.0,REBUILD
medical-malpractice,https://jus-tice.co.il/medical-malpractice-lawyer/,cluster,informational-guide,https://jus-tice.co.il/anesthesia-medical-malpractice/,"רשלנות ברדמה (אנסתזיה): פיצויים, התעוררות בניתוח","רשלנות ברדמה (אנסתזיה): פיצויים, התעוררות בניתוח",1,3.0,4037.0,REBUILD
medical-malpractice,https://jus-tice.co.il/medical-malpractice-lawyer/,cluster,informational-guide,https://jus-tice.co.il/medical-malpractice-lawsuits-law-account/,דוח הוצאה ציבורית בתביעות רשלנות רפואית,תביעות רשלנות רפואית וההוצאה הציבורית | דוח 2022,1,7.0,2717.0,KEEP-IMPROVE
medical-malpractice,https://jus-tice.co.il/medical-malpractice-lawyer/,cluster,informational-guide,https://jus-tice.co.il/medical-malpractice-surgery/,"רשלנות בניתוח: סוגים, פיצויים ואיך מוכיחים","רשלנות בניתוח: סוגים, פיצויים ואיך מוכיחים",1,0.0,1443.0,REBUILD
medical-malpractice,https://jus-tice.co.il/medical-malpractice-lawyer/,cluster,hire-lawyer,https://jus-tice.co.il/medical-malpractice-lawyer-birth-recommended/,עורך דין רשלנות רפואית בלידה מומלץ,"עורך דין רשלנות רפואית בלידה מומלץ: שירותים, הליך ובחירת",1,0.0,1020.0,REBUILD
medical-malpractice,https://jus-tice.co.il/medical-malpractice-lawyer/,cluster,hire-lawyer,https://jus-tice.co.il/medical-malpractice-lawyers-law-medical-israel/,עורכי דין מובילים בתחום רשלנות רפואית בעולם,"עורכי דין מובילים בתחום רשלנות רפואית בעולם: שירותים, הליך",1,0.0,979.0,REBUILD
medical-malpractice,https://jus-tice.co.il/medical-malpractice-lawyer/,cluster,informational-guide,https://jus-tice.co.il/%d7%a8%d7%a9%d7%9c%d7%a0%d7%95%d7%aa-%d7%a8%d7%a4%d7%95%d7%90%d7%99%d7%aa-%d7%91%d7%90%d7%91%d7%97%d7%95%d7%9f-%d7%90%d7%91%d7%97%d7%a0%d7%94-%d7%a9%d7%92%d7%95%d7%99%d7%94-%d7%95%d7%9e%d7%90%d7%95/,רשלנות רפואית באבחון: אבחנה שגויה ומאוחרת: פיצויים,רשלנות רפואית באבחון: אבחנה שגויה ומאוחרת: פיצויים,1,0.0,782.0,REBUILD
