filename,size_bytes,used_in_master,notes
Pasted markdown(1).md,8896,SUPPORTING_OR_NOT_USED,
Pasted text (2).txt,6340,SUPPORTING_OR_NOT_USED,
Pasted text(2).txt,6998,SUPPORTING_OR_NOT_USED,
Pasted text(4).txt,5946,SUPPORTING_OR_NOT_USED,
Pasted text(5).txt,7432,SUPPORTING_OR_NOT_USED,
cannibalization-map.csv,684,YES,
cannibalization-report.csv,43797,YES,
competitive-analysis.md,5035,SUPPORTING_OR_NOT_USED,
content-inventory.csv,1034,YES,
current-site-state.md,1362,SUPPORTING_OR_NOT_USED,
gsc-needed.md,1633,SUPPORTING_OR_NOT_USED,
image.png,505148,SUPPORTING_OR_NOT_USED,
justice_content_master_starter.xlsx,420497,SUPPORTING_OR_NOT_USED,
justice_theme_project_organization.zip,628871,SUPPORTING_OR_NOT_USED,
legal-advertising-compliance.md,6351,SUPPORTING_OR_NOT_USED,
linear-tasks.md,2593,SUPPORTING_OR_NOT_USED,
performance-pages.csv,238800,YES,
performance-queries.csv,1774868,YES,
project-control-codex.rar,40035814,SUPPORTING_OR_NOT_USED,
project-control.rar,22960679,SUPPORTING_OR_NOT_USED,
query-page-combined.csv,541701,YES,
screencapture-din-co-il-2026-05-11-20_56_10.png,505148,SUPPORTING_OR_NOT_USED,
screencapture-jus-tice-co-il-2026-05-11-20_50_55(1).png,481465,SUPPORTING_OR_NOT_USED,
screencapture-jus-tice-co-il-2026-05-11-20_50_55.png,481465,SUPPORTING_OR_NOT_USED,
strategic-recap.md,7761,SUPPORTING_OR_NOT_USED,
theme-audit.md,1172,SUPPORTING_OR_NOT_USED,
