slot,practice_area,city,lawyer_name_private,contact_source_private,google_review_count,latest_review_date,has_website,has_profile_photo,likely_pain_point,plan_fit,outreach_status,next_followup_date,notes_private
1,family-law,,,,,,unknown,unknown,"Needs authority profile, fresh reviews and family-law content connection.",Featured,not_started,,
2,family-law,,,,,,unknown,unknown,"Needs authority profile, fresh reviews and family-law content connection.",Featured,not_started,,
3,criminal-law,,,,,,unknown,unknown,"Needs trust proof and urgent-intake lead handling.",Lead Partner,not_started,,
4,criminal-law,,,,,,unknown,unknown,"Needs trust proof and urgent-intake lead handling.",Lead Partner,not_started,,
5,traffic-law,,,,,,unknown,unknown,"Needs local visibility for license/risk searches.",Lead Partner,not_started,,
6,traffic-law,,,,,,unknown,unknown,"Needs local visibility for license/risk searches.",Featured,not_started,,
7,real-estate,,,,,,unknown,unknown,"Needs authority around purchase/sale, registration and transaction trust.",Featured,not_started,,
8,real-estate,,,,,,unknown,unknown,"Needs authority around purchase/sale, registration and transaction trust.",Featured,not_started,,
9,inheritance-wills,,,,,,unknown,unknown,"Needs content authority and trust for sensitive family disputes.",Pro,not_started,,
10,inheritance-wills,,,,,,unknown,unknown,"Needs content authority and trust for sensitive family disputes.",Pro,not_started,,
11,personal-injury,,,,,,unknown,unknown,"Needs evidence of trust and case-type clarity.",Lead Partner,not_started,,
12,personal-injury,,,,,,unknown,unknown,"Needs evidence of trust and case-type clarity.",Featured,not_started,,
13,medical-malpractice,,,,,,unknown,unknown,"Needs authority and expert-content support.",Featured,not_started,,
14,employment-law,,,,,,unknown,unknown,"Needs practical guide connection and local search visibility.",Pro,not_started,,
15,tax-law,,,,,,unknown,unknown,"Needs authority and clear consultation positioning.",Pro,not_started,,
16,immigration-international,,,,,,unknown,unknown,"Only pursue if current inbound demand exists.",Pro,not_started,,
17,family-law,,,,,,unknown,unknown,"Maya-adjacent practice fit for quick proof.",Featured,not_started,,
18,criminal-law,,,,,,unknown,unknown,"High urgency and high user demand.",Lead Partner,not_started,,
19,traffic-law,,,,,,unknown,unknown,"Good match for phone-call conversion.",Featured,not_started,,
20,real-estate,,,,,,unknown,unknown,"High transaction value; trust-building needed.",Featured,not_started,,
