section,item,status,count,source,issue,recommended_action,priority,notes,verification
"Page indexing","Indexed pages","INDEXED","198","GSC browser UI","Index coverage baseline","Use as baseline before migration","HIGH","Indexed URL list should be exported or sampled before redirect batches.","VERIFIED"
"Page indexing","Not indexed pages","NOT_INDEXED","1.58K","GSC browser UI","Large non-indexed inventory","Drill into each reason before noindex/delete/redirect decisions","CRITICAL","Nine reasons shown; visible reasons include redirect, duplicate, 404, crawled-not-indexed and canonical mismatch.","VERIFIED"
"Page indexing","Page with redirect","NOT_INDEXED_REASON","90","GSC browser UI","Redirected URLs exist","Compare with redirect-map and ensure no chains/loops","HIGH","Could be normal, but must be reconciled before English slug migration.","VERIFIED"
"Page indexing","Duplicate without user-selected canonical","NOT_INDEXED_REASON","38","GSC browser UI","Canonical/duplicate issue","Map duplicates to canonical primary URL and update canonical strategy","HIGH","Likely related to legacy category/tag/slug duplication.","VERIFIED"
"Page indexing","Not found (404)","NOT_INDEXED_REASON","2","GSC browser UI","Broken URLs","Export examples and map whether redirect or keep 404","MEDIUM","Do not redirect all 404s to homepage.","VERIFIED"
"Page indexing","Crawled - currently not indexed","NOT_INDEXED_REASON","785","GSC browser UI","Quality/thin/duplicate/discovery problem","Audit low-quality/thin pages and internal links","CRITICAL","This is the largest visible indexing issue and must guide content cleanup.","VERIFIED"
"Page indexing","Duplicate, Google chose different canonical than user","NOT_INDEXED_REASON","1","GSC browser UI","Google disagrees with canonical","Inspect URL and canonical tag","HIGH","Important for migration trust even if only one visible row.","VERIFIED"
"Sitemaps","Submitted sitemaps","UNKNOWN_OR_EMPTY","not visible","GSC browser UI","Submitted sitemap table visible but no sitemap row captured","Verify sitemap submission and XML validity","CRITICAL","Public shell checks found sitemap URLs returning homepage-like HTML, so sitemap setup is suspect.","PARTIAL"
"HTTPS","Non-HTTPS URLs","ISSUE","412","GSC browser UI","Non-HTTPS / HTTPS evaluation problem","Inspect examples, force HTTPS, repair mixed links/canonical sitemap consistency","CRITICAL","GSC shows 3 critical issues for Non-HTTPS URLs.","VERIFIED"
"HTTPS","HTTPS URLs","OK","25","GSC browser UI","Small HTTPS validated count","Use as baseline while fixing HTTPS evaluation","HIGH","Much lower than indexed page count; likely GSC evaluation/indexing inconsistency to investigate.","VERIFIED"
"HTTPS","HTTPS not evaluated","ISSUE","222","GSC browser UI","HTTPS not evaluated","Inspect examples; ensure pages are served/canonicalized over HTTPS","HIGH","A page must be served over HTTPS for good page experience eligibility.","VERIFIED"
