approval_id,target,decision_scope,recommended_owner_decision,allowed_if_approved,must_remain_blocked,required_prerequisites,verification,status,notes
FLR-APPROVAL-001,ALL_AFFECTED_PAGES,visible_repair_scope,APPROVE_VISIBLE_REPAIR_ONLY_OR_HOLD_PUBLIC_REPAIR,"Start current-URL visible repair workflow only","Full content upload; URL migration; redirects; canonicals; noindex; sitemap; taxonomy; related-card writes","Owner decision plus CMS rollback backup","Decision value recorded before operator action",OWNER_DECISION_PENDING,"Approval here is narrower than content upload approval."
FLR-APPROVAL-002,ALL_AFFECTED_PAGES,backup_gate,REQUIRE_CMS_BACKUP_FIRST,"Capture rollback fields from the CMS backup template","Editing from public HTML snapshots alone","Owner approval; safe rollback storage; page-level backup fields","Backup path and revision/content fields recorded",OWNER_DECISION_PENDING,"No editor save before backup."
FLR-APPROVAL-003,/divorce-agreement/,shortcode_repair,APPROVE_VISIBLE_REPAIR_ONLY,"Remove or replace raw justice_pdf_download and justice_contact_form output","URL change; canonical change; robots change; sitemap change; taxonomy change","Owner approval; CMS rollback backup; shortcode/PDF context capture","No raw justice_* shortcode text in fetched HTML",OWNER_DECISION_PENDING,"Highest priority visible defect."
FLR-APPROVAL-004,/divorce-agreement/,pdf_gate,UPLOAD_VERIFIED_PDF_OR_REMOVE_PDF_CTA_UNTIL_READY,"Use a verified PDF link or remove the download promise","404 PDF links; unverified document promise; protected asset deletion","Owner approval; CMS rollback backup; PDF/media state capture","PDF link absent or HTTP 200 with PDF content type",OWNER_DECISION_PENDING,"Default safe outcome is remove promise until PDF works."
FLR-APPROVAL-005,/divorce-agreement/,h1_repair,APPROVE_VISIBLE_REPAIR_ONLY,"Repair H1 structure on current URL","Bundled SEO migration or taxonomy/internal-link edits","Owner approval; CMS rollback backup","Safety checker reports h1_count_1",OWNER_DECISION_PENDING,"Coordinate with shortcode/PDF repair."
FLR-APPROVAL-006,/divorce-lawyer/,h1_repair,APPROVE_VISIBLE_REPAIR_ONLY,"Repair H1 structure on current URL","Canonical/redirect/noindex/sitemap decision","Owner approval; CMS rollback backup; SEO fields frozen","Safety checker reports h1_count_1",OWNER_DECISION_PENDING,"Canonical consolidation remains separate."
FLR-APPROVAL-007,/lawyer-divorce-guide-proceedings-costs-rights/,h1_repair,APPROVE_VISIBLE_REPAIR_ONLY,"Repair H1 structure on current URL","Canonical/redirect/noindex/sitemap decision","Owner approval; CMS rollback backup; SEO fields frozen","Safety checker reports h1_count_1",OWNER_DECISION_PENDING,"Duplicate pillar issue remains GSC-gated."
FLR-APPROVAL-008,/child-support/,h1_template_repair,APPROVE_VISIBLE_REPAIR_ONLY,"Repair H1/template structure on current URL","URL migration; taxonomy edit; internal-link rewrite","Owner approval; CMS rollback backup","Safety checker reports h1_count_1",OWNER_DECISION_PENDING,"Support page visible hygiene only."
FLR-APPROVAL-009,/child-custody/,h1_template_repair,APPROVE_VISIBLE_REPAIR_ONLY,"Repair H1/template structure on current URL","URL migration; taxonomy edit; internal-link rewrite","Owner approval; CMS rollback backup","Safety checker reports h1_count_1",OWNER_DECISION_PENDING,"Support page visible hygiene only."
FLR-APPROVAL-010,/divorce-mediation/,h1_template_repair,APPROVE_VISIBLE_REPAIR_ONLY,"Repair H1/template structure on current URL","URL migration; taxonomy edit; internal-link rewrite","Owner approval; CMS rollback backup","Safety checker reports h1_count_1",OWNER_DECISION_PENDING,"Support page visible hygiene only."
FLR-APPROVAL-011,DIVORCE_PILLAR_CANDIDATES,seo_consolidation,HOLD_PENDING_GSC,"Run/read focused GSC workflow only","Canonical target decision; redirect; noindex; sitemap removal; slug changes","Focused Family/Divorce GSC export; owner canonical decision","Current-date GSC output and owner decision recorded",BLOCKED_GSC_OWNER_DECISION,"Applies to /divorce-lawyer/ and long divorce-lawyer URL."
FLR-APPROVAL-012,PROTECTED_OLD_URLS_AND_ASSETS,protected_assets,HOLD_PROTECTED_ASSETS,"Preserve protected old URLs/assets during visible repair","Delete; redirect; noindex; canonicalize; remove from sitemap; overwrite media","Focused GSC; protected URL owner review","Protected assets unchanged",BLOCKED_GSC_OWNER_DECISION,"Keep protected source material out of visible repair batch."
FLR-APPROVAL-013,ALL_REPAIRED_PAGES,post_repair_qa,REQUIRE_POST_REPAIR_QA,"Rerun safety checker diagnostics and capture screenshots","Marking Family/Divorce upload-safe from planning docs alone","Approved repair completed; live routes stable","Fresh checker diagnostics screenshots and project-control update exist",BLOCKED_UNTIL_REPAIR,"Required before upload readiness can improve."
