"cluster","strategic_target_slug","current_heuristic_best_url","proposed_pillar_url_for_review","proposed_pillar_post_id","proposed_pillar_title","proposed_pillar_word_count","public_rows_in_cluster","rewrite_rows","expand_rows","review_classify_rows","issue","recommended_next_action","status","notes"
"family-law-divorce","divorce-lawyer","http://jus-tice.co.il/divorce-lawyer/","http://jus-tice.co.il/divorce-lawyer/","7274","עורך דין גירושין: מדריך עומק לבחירה נכונה, תהליך, עלויות, ילדים ורכוש","3205","184","26","25","0","TARGET_CANDIDATE_FOUND_NEEDS_GSC_CONFIRMATION","CONFIRM_PRIMARY_WITH_GSC_SERP_OWNER_REVIEW","REVIEW_ONLY_NO_URL_CHANGE","Strategic target is a planning candidate only; do not change URLs or redirects before owner approval."
"criminal-law","criminal-lawyer","http://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%A4%D7%9C%D7%99%D7%9C%D7%99-%D7%90%D7%99%D7%A8%D7%95%D7%A4%D7%94-%D7%94%D7%92%D7%A0%D7%94-%D7%A4%D7%9C%D7%99%D7%9C%D7%99%D7%AA-%D7%99%D7%A2%D7%99%D7%9C%D7%94-%D7%9E%D7%96%D7%A8%D7%97-%D7%90%D7%99%D7%A8%D7%95%D7%A4%D7%94/","http://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%A4%D7%9C%D7%99%D7%9C%D7%99-%D7%90%D7%99%D7%A8%D7%95%D7%A4%D7%94-%D7%94%D7%92%D7%A0%D7%94-%D7%A4%D7%9C%D7%99%D7%9C%D7%99%D7%AA-%D7%99%D7%A2%D7%99%D7%9C%D7%94-%D7%9E%D7%96%D7%A8%D7%97-%D7%90%D7%99%D7%A8%D7%95%D7%A4%D7%94/","7743","עורך דין פלילי אירופה | הגנה פלילית יעילה מזרח אירופה","140502","141","36","22","0","TARGET_PILLAR_NOT_FOUND_BY_PUBLIC_URL","CONFIRM_PRIMARY_WITH_GSC_SERP_OWNER_REVIEW","REVIEW_ONLY_NO_URL_CHANGE","Strategic target is a planning candidate only; do not change URLs or redirects before owner approval."
"real-estate","real-estate-lawyer","http://jus-tice.co.il/buying-property-in-greece/","http://jus-tice.co.il/buying-property-in-greece/","8932","רכישת נכס ביוון | תהליך קניית בית ביוון | כמה עולה דירה ביוון","29988","67","2","4","0","TARGET_PILLAR_NOT_FOUND_BY_PUBLIC_URL","CONFIRM_PRIMARY_WITH_GSC_SERP_OWNER_REVIEW","REVIEW_ONLY_NO_URL_CHANGE","Strategic target is a planning candidate only; do not change URLs or redirects before owner approval."
"medical-malpractice","medical-malpractice-lawyer","http://jus-tice.co.il/medical-malpractice-lawyer/","http://jus-tice.co.il/medical-malpractice-lawyer/","11607","עורך דין רשלנות רפואית | עו”ד רשלנות רפואית","5135","55","4","17","0","TARGET_CANDIDATE_FOUND_NEEDS_GSC_CONFIRMATION","CONFIRM_PRIMARY_WITH_GSC_SERP_OWNER_REVIEW","REVIEW_ONLY_NO_URL_CHANGE","Strategic target is a planning candidate only; do not change URLs or redirects before owner approval."
"personal-injury","personal-injury-lawyer","http://jus-tice.co.il/punitive-damage/","http://jus-tice.co.il/punitive-damage/","7473","פיצויים עונשיים | מהו פיצוי עונשי?","57276","24","9","2","0","TARGET_PILLAR_NOT_FOUND_BY_PUBLIC_URL","CONFIRM_PRIMARY_WITH_GSC_SERP_OWNER_REVIEW","REVIEW_ONLY_NO_URL_CHANGE","Strategic target is a planning candidate only; do not change URLs or redirects before owner approval."
"traffic-law","traffic-lawyer","http://jus-tice.co.il/traffic-lawyer/","http://jus-tice.co.il/traffic-lawyer/","1751","עורך דין תעבורה","1399","18","8","3","0","TARGET_CANDIDATE_FOUND_NEEDS_GSC_CONFIRMATION","CONFIRM_PRIMARY_WITH_GSC_SERP_OWNER_REVIEW","REVIEW_ONLY_NO_URL_CHANGE","Strategic target is a planning candidate only; do not change URLs or redirects before owner approval."
"employment-law","employment-lawyer","http://jus-tice.co.il/%D7%AA%D7%A469728-06-20%D7%9E%D7%93%D7%99%D7%A0%D7%AA-%D7%99%D7%A9%D7%A8%D7%90%D7%9C-%D7%A0-%D7%A1%D7%95%D7%9C%D7%95%D7%9E%D7%95%D7%9F/","http://jus-tice.co.il/%D7%AA%D7%A469728-06-20%D7%9E%D7%93%D7%99%D7%A0%D7%AA-%D7%99%D7%A9%D7%A8%D7%90%D7%9C-%D7%A0-%D7%A1%D7%95%D7%9C%D7%95%D7%9E%D7%95%D7%9F/","8073","הכרעת דין לנאשם בעבירות של קבלת שוחד מיני, מרמה והפרת אמונים בידי עובד ציבור (ת”פ 69728-06-20)","45300","40","22","3","0","TARGET_PILLAR_NOT_FOUND_BY_PUBLIC_URL","CONFIRM_PRIMARY_WITH_GSC_SERP_OWNER_REVIEW","REVIEW_ONLY_NO_URL_CHANGE","Strategic target is a planning candidate only; do not change URLs or redirects before owner approval."
"inheritance-wills","inheritance-lawyer","http://jus-tice.co.il/most-recommended-family-lawyer/","http://jus-tice.co.il/most-recommended-family-lawyer/","13152","המלצות 2026 עורך דין לענייני משפחה מומלץ | התייעצות עם עורך דין לענייני משפחה וירושה","31096","30","8","3","0","TARGET_PILLAR_NOT_FOUND_BY_PUBLIC_URL","CONFIRM_PRIMARY_WITH_GSC_SERP_OWNER_REVIEW","REVIEW_ONLY_NO_URL_CHANGE","Strategic target is a planning candidate only; do not change URLs or redirects before owner approval."
"cyber-privacy","cyber-privacy-lawyer","http://jus-tice.co.il/fbi-cyber-division/","http://jus-tice.co.il/fbi-cyber-division/","12495","יחידת ה-Cyber Division של ה-FBI | עו”ד סייבר","21917","16","5","1","0","TARGET_PILLAR_NOT_FOUND_BY_PUBLIC_URL","CONFIRM_PRIMARY_WITH_GSC_SERP_OWNER_REVIEW","REVIEW_ONLY_NO_URL_CHANGE","Strategic target is a planning candidate only; do not change URLs or redirects before owner approval."
"outdated-corona-legacy","","https://jus-tice.co.il/articles/%d7%94%d7%a0%d7%97%d7%99%d7%95%d7%aa-%d7%9c%d7%94%d7%aa%d7%9e%d7%95%d7%93%d7%93%d7%95%d7%aa-%d7%a2%d7%9d-%d7%a0%d7%92%d7%99%d7%a3-%d7%94%d7%a7%d7%95%d7%a8%d7%95%d7%a0%d7%94-19-covid/","https://jus-tice.co.il/articles/%d7%94%d7%a0%d7%97%d7%99%d7%95%d7%aa-%d7%9c%d7%94%d7%aa%d7%9e%d7%95%d7%93%d7%93%d7%95%d7%aa-%d7%a2%d7%9d-%d7%a0%d7%92%d7%99%d7%a3-%d7%94%d7%a7%d7%95%d7%a8%d7%95%d7%a0%d7%94-19-covid/","2235","הנחיות להתמודדות עם נגיף הקורונה 19-COVID","31027","29","29","0","0","NO_STRATEGIC_TARGET_SLUG_DEFINED","CONFIRM_PRIMARY_WITH_GSC_SERP_OWNER_REVIEW","REVIEW_ONLY_NO_URL_CHANGE","Strategic target is a planning candidate only; do not change URLs or redirects before owner approval."
