url,clicks_28d,impressions_28d,ctr_28d,position_28d,clicks_3m,impressions_3m,ctr_3m,position_3m,clicks_12m,impressions_12m,ctr_12m,position_12m,clicks_16m,impressions_16m,ctr_16m,position_16m,top_query_1,top_query_1_clicks,top_query_1_impressions,top_query_1_position,top_query_2,top_query_2_clicks,top_query_2_impressions,top_query_2_position,top_query_3,top_query_3_clicks,top_query_3_impressions,top_query_3_position,top_query_4,top_query_4_clicks,top_query_4_impressions,top_query_4_position,top_query_5,top_query_5_clicks,top_query_5_impressions,top_query_5_position,query_count,traffic_risk,mobile_clicks,desktop_clicks,mobile_impressions,desktop_impressions,main_country
https://jus-tice.co.il/wp-content/uploads/2022/06/06102016_1.pdf,32,274,11.68%,8.5,96,892,10.76%,8.2,608,5142,11.82%,9.8,975,7682,12.69%,9.3,רשות ניירות ערך בעלי תפקידים,20,171,4.9,רשות ניירות ערך טלפון,6,160,9.6,אילן ציוני,5,96,9.9,רעות קסלר,3,36,4.0,עדי הוברמן מזוז,2,41,7.8,78,HIGH,22,16,401,571,isr
https://jus-tice.co.il/%d7%aa%d7%97%d7%a0%d7%95%d7%aa-%d7%9e%d7%a9%d7%98%d7%a8%d7%94-%d7%9b%d7%aa%d7%95%d7%91%d7%aa-%d7%98%d7%9c%d7%a4%d7%95%d7%9f-%d7%a8%d7%a9%d7%99%d7%9e%d7%94-%d7%90%d7%a8%d7%a6%d7%99%d7%aa-%d7%9e%d7%a2%d7%95%d7%93%d7%9b%d7%9f,0,0,0%,0,0,0,0%,0,474,116816,0.41%,16.1,1036,220289,0.47%,17.4,תחנת משטרה גליל מערבי טלפון,6,339,5.1,משטרת מודיעין עילית טלפון,4,119,6.5,משטרת אריאל טלפון,3,480,8.9,משטרת בני ברק טלפון,3,404,9.1,תחנת משטרה אריאל,3,375,10.2,1366,HIGH,49,14,13641,35273,isr
https://jus-tice.co.il/lahav-433,0,0,0%,0,0,0,0%,0,302,23380,1.29%,13.2,302,23382,1.29%,13.2,להב 433 הגשת תלונה,17,440,7.6,להב 433 טלפון,10,609,7.3,להב 433,7,1616,12.2,להב 433 תנאי קבלה,3,430,10.6,להב 433 תפקידים,2,139,9.3,221,HIGH,34,13,3186,4113,isr
https://jus-tice.co.il,8,1723,0.46%,14.2,27,5153,0.52%,16.6,279,81329,0.34%,33.5,548,179385,0.31%,35.2,חיפוש עורך דין לפי שם,21,3891,9.3,תעודת יושר pdf,12,53,2.2,עורכי דין לפי התמחות,11,844,8.7,חיפוש עורכי דין,9,1401,12.3,ייעוץ עורך דין אונליין חינם,7,1779,11.6,1513,HIGH,81,51,15664,55284,isr
https://jus-tice.co.il/court-judge,0,11,0.00%,1.0,7,294,2.38%,15.7,234,33469,0.70%,28.3,534,54540,0.98%,27.0,שופט בכיר,4,106,4.8,שופט שלום,2,37,3.2,יקטרינה צווטקוב,2,19,15.5,שופט בבית משפט,1,91,4.5,דוד יצחק שופט,1,13,13.9,1544,HIGH,19,5,2310,10700,isr
https://jus-tice.co.il/%d7%9e%d7%97%d7%99%d7%a8%d7%95%d7%9f-%d7%9e%d7%95%d7%9e%d7%9c%d7%a5-%d7%a2%d7%95%d7%a8%d7%9a-%d7%93%d7%99%d7%9f-%d7%a4%d7%9c%d7%99%d7%9c%d7%99,0,0,0%,0,0,0,0%,0,232,37574,0.62%,43.6,382,60339,0.63%,43.3,עורך דין פלילי מחירון,11,731,4.6,כמה עולה עורך דין פלילי,3,306,4.1,שכר טרחה עורך דין פלילי,3,156,4.0,"עו""ד פלילי",1,2772,43.9,עורך דין פלילי,1,1052,27.9,467,HIGH,16,5,3250,27722,isr
https://jus-tice.co.il/how-much-will-a-criminal-defense-lawyer-cost,0,0,0%,0,0,0,0%,0,217,22996,0.94%,36.3,732,46748,1.57%,34.5,עורך דין פלילי מחירון,10,687,2.5,עורך דין פלילי שכר,7,443,1.7,כמה עולה עורך דין פלילי,6,275,2.5,ששי גז מחיר,6,260,6.5,עורך דין ששי גז מחיר,4,72,5.6,281,HIGH,31,4,3380,13771,isr
https://jus-tice.co.il/apply-for-police-criminal-information-certificates,0,0,0%,0,0,0,0%,0,187,38238,0.49%,21.1,461,83353,0.55%,21.4,תעודת יושר pdf,11,475,6.5,בקשה לתעודת מידע פלילי,10,1133,7.3,תעודת יושר מהמשטרה אונליין,5,512,12.8,תעודת מידע תעבורתי,4,187,7.1,טופס רישום פלילי,3,256,10.4,243,HIGH,20,27,6065,24829,isr
https://jus-tice.co.il/free-divorce-agreement-template,0,0,0%,0,0,0,0%,0,181,36539,0.50%,25.1,389,71177,0.55%,24.6,הסכם גירושין ללא עורך דין להורדה,32,815,5.4,טופס הסכם גירושין להורדה,8,215,6.8,הסכם גירושין דוגמא doc,7,604,5.8,הסכם גירושין בהסכמה,6,3965,10.3,דוגמא להסכם גירושין,6,666,8.2,251,HIGH,52,64,11030,22326,isr
https://jus-tice.co.il/shoplifting,0,0,0%,0,0,0,0%,0,162,11082,1.46%,31.6,396,21198,1.87%,31.9,גניבה מחנות,7,156,1.4,גניבה בסופר מצלמות,3,38,13.3,קופה בשירות עצמי גניבה,3,21,14.6,מניעת גניבות בחנויות,1,121,21.6,גניבה מחנויות,1,25,1.5,114,HIGH,9,6,616,5443,isr
https://jus-tice.co.il/%d7%94%d7%a8%d7%a9%d7%a2%d7%aa-%d7%a0%d7%90%d7%a9%d7%9d-%d7%91%d7%a2%d7%91%d7%99%d7%a8%d7%95%d7%aa-%d7%9e%d7%99%d7%9f-%d7%91%d7%91%d7%aa%d7%95-%d7%95%d7%90%d7%9c%d7%99%d7%9e%d7%95%d7%aa-%d7%9b%d7%9c%d7%a4%d7%99-%d7%99%d7%9c%d7%93%d7%99%d7%95,0,0,0%,0,0,0,0%,0,146,4313,3.39%,24.3,267,8568,3.12%,24.8,עורך דין עבירות אינוס,0,155,92.9,תיקון חור בספה מבד,0,28,70.7,אינוס במרמה,0,27,85.7,ייצוג עבירת אונס,0,26,97.7,תיק פלילי אינוס,0,20,82.2,35,HIGH,0,0,28,331,alb
