"id","post_type","status","current_url","current_slug","proposed_english_slug","title","h1","seo_title","meta_description","language","word_count","content_hash","excerpt","date_published","date_modified","author","categories","tags","practice_area","city","parent_page","canonical_url","internal_links_out","internal_links_in","media_count","featured_image","top_keyword","secondary_keywords","search_intent","topic_cluster","pillar_candidate","duplicate_title_risk","duplicate_topic_risk","cannibalization_group","gsc_clicks_3m","gsc_impressions_3m","gsc_ctr_3m","gsc_position_3m","gsc_clicks_12m","gsc_impressions_12m","traffic_risk","content_quality_score","recommended_action","redirect_needed","notes"
"19217","page","publish","http://jus-tice.co.il/family-dispute-resolution/","family-dispute-resolution","","יישוב סכסוך במשפחה: מה קורה לפני תביעה ומה צריך להכין","יישוב סכסוך במשפחה: מה קורה לפני תביעה ומה צריך להכין","","","he","2100","9b3a32ed9a15057f0178e141bdc55d2329c33534bd41bc7cbaae9e4984259dc9","מדריך לתהליך יישוב סכסוך במשפחה: פתיחת הליך, הכנה לפגישה, מצבי דחיפות, קשר לגירושין בהסכמה ומתי צריך עורך דין.","2026-05-10T13:23:44","2026-05-10T18:18:44","0","","","","","0","","https://jus-tice.co.il/child-custody/|https://jus-tice.co.il/child-support/|https://jus-tice.co.il/consensual-divorce/|https://jus-tice.co.il/divorce-lawyer/|https://jus-tice.co.il/divorce-mediation/|https://jus-tice.co.il/divorce-property-division/|https://jus-tice.co.il/lawyers/?area=family-law","","0","0","","","","","","","","","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","","PUBLIC_REST_EXPORT"
"19215","page","publish","http://jus-tice.co.il/divorce-property-division/","divorce-property-division","","חלוקת רכוש בגירושין: נכסים, חובות, דירה, פנסיה ועסק משפחתי","חלוקת רכוש בגירושין: נכסים, חובות, דירה, פנסיה ועסק משפחתי","","","he","2443","01e6745e74c3351a8f8b743cff5123c0c1095ed30654bde84266c7f823336e58","מדריך לחלוקת רכוש בגירושין: מיפוי נכסים וחובות, דירה, פנסיה, עסק, מתנות, ירושות, הסכמים והכנה לפגישה עם עורך דין.","2026-05-10T13:23:43","2026-05-10T18:18:43","0","","","","","0","","https://jus-tice.co.il/business-valuation-divorce/|https://jus-tice.co.il/child-custody/|https://jus-tice.co.il/child-support/|https://jus-tice.co.il/consensual-divorce/|https://jus-tice.co.il/divorce-lawyer/|https://jus-tice.co.il/divorce-mediation/|https://jus-tice.co.il/divorce-property-division/|https://jus-tice.co.il/family-dispute-resolution/|https://jus-tice.co.il/hidden-assets-divorce/|https://jus-tice.co.il/lawyers/?area=family-law|https://jus-tice.co.il/pension-division-divorce/|https://jus-tice.co.il/premarital-apartment-divorce/|https://jus-tice.co.il/prenuptial-agreement/|https://jus-tice.co.il/real-estate-partition-divorce/","","0","0","","","","","","","","","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","","PUBLIC_REST_EXPORT"
"19214","page","publish","http://jus-tice.co.il/child-custody/","child-custody","","משמורת ילדים וזמני שהות: איך מתכננים הסדר שמתאים לילדים","משמורת ילדים וזמני שהות: איך מתכננים הסדר שמתאים לילדים","","","he","2397","a139fcb5481e69c3f69d94b9406c7646c55b898f3a1c151a2e6b748a6adeec92","מדריך למשמורת ילדים, אחריות הורית וזמני שהות: לוחות זמנים, חגים, תקשורת בין הורים, מעבר מקום, סיכונים ומתי לפנות לעורך דין.","2026-05-10T13:23:42","2026-05-10T18:18:42","0","","","","","0","","https://jus-tice.co.il/child-support/|https://jus-tice.co.il/consensual-divorce/|https://jus-tice.co.il/divorce-lawyer/|https://jus-tice.co.il/divorce-mediation/|https://jus-tice.co.il/divorce-property-division/|https://jus-tice.co.il/family-dispute-resolution/|https://jus-tice.co.il/lawyers/?area=family-law","","0","0","","","","","","","","","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","","PUBLIC_REST_EXPORT"
"19213","page","publish","http://jus-tice.co.il/child-support/","child-support","","מזונות ילדים: מדריך מעשי לפני הסכם, תביעה או שינוי מצב","מזונות ילדים: מדריך מעשי לפני הסכם, תביעה או שינוי מצב","","","he","2767","58b45c0763591b69f9aaccb67368ca2a8c847bb4bb8adae02167bb3fc4064edd","מדריך עומק בנושא מזונות ילדים: מסמכים, הוצאות, זמני שהות, מדור, שינוי נסיבות, אכיפה וסימנים שמצריכים ייעוץ משפטי.","2026-05-10T13:23:41","2026-05-10T18:18:41","0","","","","","0","","https://jus-tice.co.il/child-custody/|https://jus-tice.co.il/consensual-divorce/|https://jus-tice.co.il/divorce-lawyer/|https://jus-tice.co.il/divorce-mediation/|https://jus-tice.co.il/divorce-property-division/|https://jus-tice.co.il/family-dispute-resolution/|https://jus-tice.co.il/lawyers/?area=family-law","","0","0","","","","","","","","","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","","PUBLIC_REST_EXPORT"
"19212","page","publish","http://jus-tice.co.il/divorce-mediation/","divorce-mediation","","גישור גירושין: מתי זה נכון, איך מתכוננים ומה חשוב לבדוק","גישור גירושין: מתי זה נכון, איך מתכוננים ומה חשוב לבדוק","","","he","2493","44addef86b4578c8934b8a2d6108a7cfc806ae264299a02f6a577eedb68d954a","מדריך לגישור גירושין: התאמת המסלול, הכנה לפגישות, גבולות הגישור, סיכונים, ילדים ורכוש, והנקודה שבה כדאי לערב עורך דין.","2026-05-10T13:23:40","2026-05-10T18:18:41","0","","","","","0","","https://jus-tice.co.il/child-custody/|https://jus-tice.co.il/child-support/|https://jus-tice.co.il/consensual-divorce/|https://jus-tice.co.il/divorce-lawyer/|https://jus-tice.co.il/divorce-property-division/|https://jus-tice.co.il/family-dispute-resolution/|https://jus-tice.co.il/lawyers/?area=family-law","","0","0","","","","","","","","","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","","PUBLIC_REST_EXPORT"
"19211","page","publish","http://jus-tice.co.il/consensual-divorce/","consensual-divorce","","גירושין בהסכמה: איך בונים הסכם שמחזיק לאורך זמן","גירושין בהסכמה: איך בונים הסכם שמחזיק לאורך זמן","","","he","2447","c3b9a137eb4b55c0f7b3d5bb5cd1b354b485990b7beb466b952a80e5ca57e8c2","מדריך לגירושין בהסכמה: מה צריך לכלול בהסכם, איך מזהים סיכונים, מה לבדוק לפני חתימה ומתי חשוב לערב עורך דין לענייני משפחה.","2026-05-10T13:23:39","2026-05-10T18:18:40","0","","","","","0","","https://jus-tice.co.il/child-custody/|https://jus-tice.co.il/child-support/|https://jus-tice.co.il/divorce-lawyer/|https://jus-tice.co.il/divorce-mediation/|https://jus-tice.co.il/divorce-property-division/|https://jus-tice.co.il/family-dispute-resolution/|https://jus-tice.co.il/lawyers/?area=family-law","","0","0","","","","","","","","","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","","PUBLIC_REST_EXPORT"
"19201","page","publish","http://jus-tice.co.il/lawyer-plans/","lawyer-plans","","מסלולים לעורכי דין","מסלולים לעורכי דין","","","he","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","","2026-05-10T10:37:54","2026-05-10T10:37:54","282","","","","","0","","","","0","0","","","","","","","","","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","","PUBLIC_REST_EXPORT"
"19200","page","publish","http://jus-tice.co.il/lawyer-dashboard/","lawyer-dashboard","","אזור אישי לעורכי דין","אזור אישי לעורכי דין","","","he","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","","2026-05-10T10:37:53","2026-05-10T10:37:53","282","","","","","0","","","","0","0","","","","","","","","","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","","PUBLIC_REST_EXPORT"
"19199","page","publish","http://jus-tice.co.il/lawyer-registration/","lawyer-registration","","הצטרפות עורכי דין","הצטרפות עורכי דין","","","he","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","","2026-05-10T10:37:52","2026-05-10T10:37:52","282","","","","","0","","","","0","0","","","","","","","","","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","","PUBLIC_REST_EXPORT"
"7274","page","publish","http://jus-tice.co.il/divorce-lawyer/","divorce-lawyer","","עורך דין גירושין: מדריך עומק לבחירה נכונה, תהליך, עלויות, ילדים ורכוש","עורך דין גירושין: מדריך עומק לבחירה נכונה, תהליך, עלויות, ילדים ורכוש","","","he","3205","6deae223b42390272e64b4bf4dc21c2e05f4fee7082eac03a9f9649a3519bafe","מדריך עומק למי שמחפש עורך דין גירושין: שלבי התהליך, בחירת עורך דין, ילדים, מזונות, רכוש, הסכמים, גישור ופנייה מסודרת לעורך דין מתאים.","2022-05-29T13:46:02","2026-05-10T18:18:39","282","","","","","0","","https://jus-tice.co.il/child-custody/|https://jus-tice.co.il/child-support/|https://jus-tice.co.il/consensual-divorce/|https://jus-tice.co.il/divorce-mediation/|https://jus-tice.co.il/divorce-property-division/|https://jus-tice.co.il/family-dispute-resolution/|https://jus-tice.co.il/lawyers/?area=family-law","","0","0","","","","","","","","","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","","PUBLIC_REST_EXPORT"
