id,title,status,priority,owner,category,files_changed,acceptance_criteria,verification_status,next_step,notes
T368,Create owner walkthrough for lawyer platform,IN_PROGRESS,HIGH,Codex,lawyer-retention,"project-control/lawyer-platform-owner-walkthrough-2026-05-20.md + project-control/current-status.md + project-control/task-board.csv","Owner has a simple operating guide for lawyer registration admin review dashboard reputation recommendations and manual activation","CREATED: walkthrough explains public URLs owner/admin flow lawyer flow first value reputation and blockers","Use walkthrough after PR #26 merge/deploy and refine after live QA","Repo docs only; no live CMS/payment/lawyer/customer changes"
T367,Start Google reviews and first-party reputation system,IN_PROGRESS,CRITICAL,Codex,lawyer-retention,"page-lawyer-dashboard.php + inc/lawyer-dashboard.php + inc/lawyer-onboarding.php + inc/lawyer-recommendations.php + functions.php + assets/css/premium-pass-3.css + project-control/google-reviews-reputation-system-2026-05-20.md + project-control/current-status.md + project-control/task-board.csv + Linear HAD-72","Lawyer dashboard starts tracking reputation/authority assets and lets lawyers request owner-reviewed Google/recommendation campaigns without sending anything automatically","PARTIAL VERIFIED: official Google Business Profile/API policy research captured; internal dashboard/admin workflow coded; Google review source admin fields added; first-party recommendation CPT/moderation added; no outbound messages or public review display; Linear HAD-72 created","Build approved public profile section and recommendation request intake/token flow","Branch code/docs only; no live CMS/payment/lawyer/customer/outbound-review messages changed"
T366,Prepare first lawyer acquisition wave,IN_PROGRESS,CRITICAL,Codex,revenue,"project-control/lawyer-acquisition-first-wave-2026-05-20.md + project-control/lawyer-acquisition-first-wave-template-2026-05-20.csv + project-control/current-status.md + project-control/task-board.csv + Linear HAD-71","Owner has a safe first-wave lawyer acquisition packet that can run before Meshulam recurring payments are fully approved","PLANNING CREATED: offer positioning, target practice areas, safe promise language and private first-20 template created; Linear HAD-71 created","Create private first-20 prospect list and begin owner-approved outreach/manual activation","Repo-only planning; no public CMS/database/payment/lawyer/customer/outbound-message changes"
T364,Create spam footprint discovery queue,COMPLETED,CRITICAL,Codex,technical-seo-brand,"project-control/spam-footprint-discovery-queue-2026-05-18.md + project-control/spam-footprint-discovery-queue-2026-05-18.csv + project-control/current-status.md + project-control/goal-execution-loop-2026-05-18.md + project-control/task-board.csv","Casino cleanup has exact discovery rules for GSC pages links and backlink exports before removals disavow or DB cleanup","VERIFIED PLANNING: live favicon/spam checker passed; prior spam investigation and Semrush playbook evidence reviewed","Export GSC Pages and Links filtered by casino bonos juego keno mostbet kasyno payid; test exact URLs live before removals","Repo-only discovery planning and read-only verification; no CMS database row article body title H1 meta URL slug taxonomy sitemap lawyer lead payment GA4 GSC wp-admin WordPress database value or uPress deployment changed"
T363,Prepare Search Console aftercare for favicon and casino spam cleanup,COMPLETED,CRITICAL,Codex,technical-seo-brand,"project-control/gsc-favicon-spam-aftercare-packet-2026-05-18.md + project-control/gsc-favicon-spam-aftercare-packet-2026-05-18.csv + project-control/current-status.md + project-control/goal-execution-loop-2026-05-18.md + project-control/task-board.csv","Owner has exact Search Console recrawl/removal steps after the live favicon and casino spam guard fix","VERIFIED LIVE: favicon/spam checker passed for homepage marker canonical scales favicon tags old J absence and casino examples 410/noindex","Owner or authorized GSC user requests homepage indexing and submits exact casino URLs in Removals","Repo-only operational guidance and read-only live verification; no CMS database row article body title H1 meta URL slug taxonomy sitemap lawyer lead payment GA4 GSC wp-admin WordPress database value or uPress deployment changed"
T362,Fix favicon search branding and casino spam removal signals,COMPLETED,CRITICAL,Codex,technical-seo-brand,"header.php + functions.php + inc/seo.php + inc/spam-url-guards.php + template-parts/layout/site-header.php + template-parts/layout/site-footer.php + tools/check-live-favicon-and-spam-guard.mjs + project-control/favicon-and-casino-spam-indexing-fix-2026-05-18.md + project-control/favicon-and-casino-spam-indexing-fix-2026-05-18.csv + project-control/current-status.md + project-control/goal-execution-loop-2026-05-18.md + project-control/task-board.csv","Homepage exposes one canonical crawlable scales favicon set; deleted casino spam paths return 410/noindex; header combines legacy scales logo with Jus-Tice wordmark and blinking red dot","VERIFIED LIVE: uPress Pull completed; cache-busted homepage marker 2026-05-18-brand-favicon-spam-guard-v1 present; six canonical brand-icon favicon tags present; old J favicon absent; casino spam examples return 410/noindex; visual header check passed","Request homepage recrawl in Search Console and optionally submit exact casino URLs in Removals for faster hiding","Theme-level technical SEO/brand fix only; root favicon paths remain server-level 404 outside theme but Google-supported homepage rel=icon tags are now stable; no CMS database row article body title H1 meta URL slug taxonomy sitemap lawyer lead payment GA4 GSC wp-admin WordPress database value changed"
T361,Create real estate hub support consolidation packet,COMPLETED,CRITICAL,Codex,real-estate-seo,"project-control/real-estate-cluster-consolidation-packet-2026-05-18.md + project-control/real-estate-cluster-consolidation-packet-2026-05-18.csv + project-control/current-status.md + project-control/goal-execution-loop-2026-05-18.md + project-control/task-board.csv","Real estate money hub and support page roles are defined before any public title H1 content link canonical or redirect edit","VERIFIED PLANNING: GSC query-page rows mined; Googlebot-style checks returned 200 indexable self-canonical for sampled real-estate pages","Prepare owner-approved public edit text for /real-estate-attorney/ and support-to-hub links from guide purchase-sale and registration pages","Repo-only planning and read-only live checks; no CMS database row article body title H1 meta URL slug redirect noindex canonical taxonomy sitemap lawyer lead payment GA4 GSC wp-admin WordPress database value or uPress deployment changed"
T360,Map high-impression money queries to recovery priorities,COMPLETED,CRITICAL,Codex,gsc-traffic-recovery,"project-control/gsc-money-query-opportunity-map-2026-05-18.md + project-control/gsc-money-query-opportunity-map-2026-05-18.csv + project-control/current-status.md + project-control/goal-execution-loop-2026-05-18.md + project-control/task-board.csv","Money-query rows with high impressions and weak CTR are mapped before public title content internal-link or redirect edits","VERIFIED PLANNING: filtered GSC query-page mirror for money keywords impressions >=100 and CTR <2.5%; live Googlebot-style sample returned 200 indexable for sampled priority URLs","Prepare real estate cluster consolidation packet then criminal cluster consolidation packet before CMS edits","Repo-only GSC opportunity planning and read-only live checks; no CMS database row article body title H1 meta URL slug redirect noindex canonical taxonomy sitemap lawyer lead payment GA4 GSC wp-admin WordPress database value or uPress deployment changed"
T359,Triage GSC traffic drop into commercial recovery priorities,COMPLETED,CRITICAL,Codex,gsc-traffic-recovery,"project-control/gsc-traffic-drop-triage-2026-05-18.md + project-control/gsc-traffic-drop-triage-2026-05-18.csv + project-control/current-status.md + project-control/goal-execution-loop-2026-05-18.md + project-control/task-board.csv","Traffic drop evidence is separated into legacy PDF/archive noise versus money-cluster recovery priorities before public edits","VERIFIED PLANNING: used local GSC mirror drop and URL master files; homepage row and sampled money-cluster visibility rows recorded","Mine query-page pairs for money clusters and prepare page-specific title snippet H1 and internal-link recommendations before CMS edits","Repo-only GSC triage; no CMS database row article body title H1 meta URL slug redirect noindex canonical taxonomy sitemap lawyer lead payment GA4 GSC wp-admin WordPress database value or uPress deployment changed"
T358,Fix inheritance topic dead links and review will route conflict,COMPLETED,CRITICAL,Codex,inheritance-wills-seo,"template-parts/sections/topic-clusters.php + functions.php + tools/check-live-html-sitemap.mjs + tools/check-live-owner-phone.mjs + project-control/will-route-conflict-review-2026-05-18.md + project-control/will-route-conflict-review-2026-05-18.csv + project-control/current-status.md + project-control/goal-execution-loop-2026-05-18.md + project-control/task-board.csv","Inheritance topic cluster no longer points to dead /will/ /will-contest/ /estate-administration routes and /will/ remains blocked for route-history review","VERIFIED LIVE: Codex clicked uPress Pull; sitemap owner-phone traffic-priority and reachability checks passed with marker 2026-05-18-inheritance-topic-links-v1","Review 10 will slug-conflict rows and approve specific equivalent redirects or true 404/410 decisions","Theme link correction and read-only route review; no CMS database row article body title H1 meta URL slug taxonomy sitemap lawyer lead payment GA4 GSC wp-admin setting changed"
