priority,url,clicks,impressions,ctr,avg_position,cluster,main_problem,first_safe_action,business_action
P1,https://jus-tice.co.il/real-estate-attorney,17,88601,0.02%,58.6,real-estate,"Huge visibility with almost no clicks","Rewrite title H1 intro CTA and contextual links while preserving URL","Recruit/feature real-estate lawyers"
P2,https://jus-tice.co.il/criminal-defense-attorney,10,62561,0.02%,56.4,criminal-law,"Urgent criminal intent not captured","Make it the criminal defense commercial hub linked from police investigation indictment and criminal pages","Route to criminal lawyers and monitor leads"
P3,https://jus-tice.co.il/lawyer-for-buying-or-selling-a-house,3,35650,0.01%,61.5,real-estate,"Transactional property page competing with real-estate hub","Turn into support page linking up to real-estate-attorney","Use as buyer/seller lead source"
P4,https://jus-tice.co.il/labor-lawyer,3,29862,0.01%,67.0,employment-law,"Strong demand but likely weak coverage","Improve landing intent and connect to unserved demand if no partner exists","Recruit employment-law partners"
P5,https://jus-tice.co.il/sex-crime-lawyer,34,27904,0.12%,56.0,criminal-law,"Sensitive high-value legal intent with weak click capture","Tone/legal review plus clearer urgent guidance and CTA","Route only to suitable criminal lawyers"
P6,https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%A8%D7%A9%D7%9C%D7%A0%D7%95%D7%AA-%D7%A8%D7%A4%D7%95%D7%90%D7%99%D7%AA-%D7%91%D7%9C%D7%99%D7%93%D7%94-%D7%9E%D7%95%D7%9E%D7%9C%D7%A5,1,27275,0.00%,60.6,medical-malpractice,"Medical malpractice money query is nearly invisible in CTR","Clarify title H1 and case-evaluation CTA","Recruit medical-malpractice lawyers"
P7,https://jus-tice.co.il/prenup-attorney,1,20894,0.00%,55.4,family-law,"Commercial prenup lawyer page is losing impressions","Differentiate commercial attorney page from informational prenup articles","Route to family-law/prenup lawyers"
P8,https://jus-tice.co.il/traffic-lawyer,0,20330,0.00%,67.9,traffic-law,"Zero clicks from 20k impressions","Rewrite service page and link from traffic support articles","Recruit/route traffic lawyers"
P9,https://jus-tice.co.il/immigration-lawyer,100,43300,0.23%,40.5,international-law,"Foreign-law demand exists but may lack partners","Segment country intents and link to relevant country pages","Log unsupported countries in Unserved Demand Ledger"
P10,https://jus-tice.co.il/german-passport,13,46747,0.03%,43.2,international-law,"High demand, unclear service coverage","Decide if serviceable; improve CTA or mark as partner recruitment target","Recruit German citizenship/passport partner"
